Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
14/03/2023	00:00:00	0.391	0.391	0.389	0.391	2204.52		
14/03/2023	00:05:00	0.391	0.392	0.39	0.391	6704.01		
14/03/2023	00:10:00	0.393	0.393	0.392	0.392	2232.06		
14/03/2023	00:15:00	0.391	0.392	0.391	0.392	1144.87		
14/03/2023	00:20:00	0.392	0.393	0.392	0.392	951.24		
14/03/2023	00:25:00	0.392	0.392	0.39	0.39	884.78		
14/03/2023	00:30:00	0.391	0.392	0.391	0.391	776.95		
14/03/2023	00:35:00	0.391	0.392	0.391	0.391	639.34		
14/03/2023	00:40:00	0.391	0.391	0.389	0.389	234.59		
14/03/2023	00:45:00	0.389	0.392	0.389	0.391	3226.84		
14/03/2023	00:50:00	0.392	0.393	0.391	0.391	2084.63		
14/03/2023	00:55:00	0.39	0.39	0.387	0.388	2594.48		
14/03/2023	01:00:00	0.388	0.389	0.387	0.387	6370.08		
14/03/2023	01:05:00	0.39	0.39	0.39	0.39	133.25		
14/03/2023	01:10:00	0.39	0.39	0.387	0.387	1997.35		
14/03/2023	01:15:00	0.387	0.389	0.387	0.388	2505.47		
14/03/2023	01:20:00	0.389	0.391	0.389	0.389	1290.91		
14/03/2023	01:25:00	0.389	0.39	0.389	0.39	1834.69		
14/03/2023	01:30:00	0.391	0.392	0.39	0.39	2103.39		
14/03/2023	01:35:00	0.391	0.391	0.391	0.391	196.9		
14/03/2023	01:40:00	0.391	0.392	0.391	0.391	2704.39		
14/03/2023	01:45:00	0.392	0.393	0.391	0.392	650.31		
14/03/2023	01:50:00	0.391	0.391	0.39	0.391	1023.24		
14/03/2023	01:55:00	0.391	0.392	0.39	0.39	758.26		
14/03/2023	02:00:00	0.391	0.394	0.391	0.394	5303.3		
14/03/2023	02:05:00	0.394	0.394	0.391	0.391	5638.04		
14/03/2023	02:10:00	0.391	0.391	0.391	0.391	0.0		
14/03/2023	02:15:00	0.391	0.392	0.391	0.392	528.91		
14/03/2023	02:20:00	0.391	0.391	0.391	0.391	1935.73		
14/03/2023	02:25:00	0.39	0.39	0.388	0.388	7010.95		
14/03/2023	02:30:00	0.389	0.391	0.388	0.39	5309.01		
14/03/2023	02:35:00	0.391	0.391	0.389	0.39	1636.96		
14/03/2023	02:40:00	0.389	0.39	0.389	0.39	2043.16		
14/03/2023	02:45:00	0.389	0.39	0.389	0.389	350.32		
14/03/2023	02:50:00	0.389	0.389	0.389	0.389	76.03		
14/03/2023	02:55:00	0.389	0.389	0.389	0.389	0.0		
14/03/2023	03:00:00	0.388	0.388	0.387	0.388	3981.49		
14/03/2023	03:05:00	0.387	0.387	0.387	0.387	525.08		
14/03/2023	03:10:00	0.387	0.387	0.387	0.387	0.0		
