Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
14/03/2023	00:00:00	11.984	11.997	11.955	11.959	7351.8		
14/03/2023	00:05:00	11.957	11.978	11.925	11.956	4535.31		
14/03/2023	00:10:00	11.957	11.997	11.932	11.939	5237.68		
14/03/2023	00:15:00	11.94	11.997	11.93	11.987	9508.31		
14/03/2023	00:20:00	11.982	11.999	11.964	11.982	3380.78		
14/03/2023	00:25:00	11.982	11.989	11.961	11.972	3623.3		
14/03/2023	00:30:00	11.971	12.011	11.968	11.974	14655.55		
14/03/2023	00:35:00	11.972	12.022	11.963	12.002	13677.17		
14/03/2023	00:40:00	12.01	12.016	11.958	11.967	3481.41		
14/03/2023	00:45:00	11.964	12.013	11.959	11.995	5776.08		
14/03/2023	00:50:00	11.994	12.0	11.961	11.969	7785.18		
14/03/2023	00:55:00	11.969	11.973	11.921	11.93	4247.77		
14/03/2023	01:00:00	11.93	11.936	11.9	11.926	4480.53		
14/03/2023	01:05:00	11.928	11.945	11.92	11.924	2590.0		
14/03/2023	01:10:00	11.926	11.935	11.895	11.904	2585.22		
14/03/2023	01:15:00	11.904	11.934	11.901	11.926	9104.87		
14/03/2023	01:20:00	11.927	11.938	11.908	11.911	4704.79		
14/03/2023	01:25:00	11.91	11.933	11.897	11.929	4863.88		
14/03/2023	01:30:00	11.927	11.927	11.897	11.921	10012.48		
14/03/2023	01:35:00	11.92	11.934	11.9	11.92	2133.05		
14/03/2023	01:40:00	11.918	11.95	11.91	11.945	5602.87		
14/03/2023	01:45:00	11.942	11.98	11.936	11.938	8495.73		
14/03/2023	01:50:00	11.94	11.971	11.931	11.952	3583.52		
14/03/2023	01:55:00	11.954	11.977	11.935	11.958	7408.65		
14/03/2023	02:00:00	11.958	12.014	11.958	11.99	7593.95		
14/03/2023	02:05:00	11.988	11.991	11.94	11.958	3751.86		
14/03/2023	02:10:00	11.955	11.96	11.932	11.938	4418.76		
14/03/2023	02:15:00	11.937	11.947	11.911	11.923	13697.97		
14/03/2023	02:20:00	11.922	11.947	11.922	11.929	2545.13		
14/03/2023	02:25:00	11.928	11.928	11.887	11.893	1765.12		
14/03/2023	02:30:00	11.896	11.934	11.887	11.932	2833.33		
14/03/2023	02:35:00	11.933	11.933	11.917	11.926	1768.43		
14/03/2023	02:40:00	11.927	11.927	11.893	11.907	9657.2		
14/03/2023	02:45:00	11.905	11.914	11.891	11.91	3441.38		
14/03/2023	02:50:00	11.911	11.924	11.888	11.898	3864.18		
14/03/2023	02:55:00	11.898	11.9	11.882	11.887	3188.7		
14/03/2023	03:00:00	11.888	11.914	11.885	11.885	3128.42		
14/03/2023	03:05:00	11.887	11.9	11.871	11.886	4822.18		
14/03/2023	03:10:00	11.885	11.915	11.883	11.892	2326.4		
14/03/2023	03:15:00	11.894	11.917	11.894	11.907	1951.7		
14/03/2023	03:20:00	11.91	11.915	11.883	11.883	2163.41		
14/03/2023	03:25:00	11.888	11.908	11.883	11.906	1909.45		
14/03/2023	03:30:00	11.905	11.935	11.903	11.927	3281.8		
14/03/2023	03:35:00	11.926	11.949	11.919	11.946	1341.21		
14/03/2023	03:40:00	11.949	11.949	11.938	11.947	1276.88		
14/03/2023	03:45:00	11.947	11.958	11.944	11.952	802.09		
14/03/2023	03:50:00	11.949	11.958	11.94	11.958	873.2		
14/03/2023	03:55:00	11.956	11.971	11.952	11.968	2973.85		
14/03/2023	04:00:00	11.969	11.975	11.962	11.97	2120.04		
14/03/2023	04:05:00	11.97	11.97	11.948	11.952	2582.39		
14/03/2023	04:10:00	11.955	11.968	11.942	11.945	2637.36		
14/03/2023	04:15:00	11.947	11.947	11.91	11.913	4673.1		
14/03/2023	04:20:00	11.912	11.961	11.908	11.923	12754.14		
14/03/2023	04:25:00	11.926	11.973	11.911	11.915	27902.05		
14/03/2023	04:30:00	11.916	11.921	11.898	11.918	5321.2		
14/03/2023	04:35:00	11.921	11.966	11.916	11.937	13668.84		
14/03/2023	04:40:00	11.938	11.948	11.914	11.937	6132.85		
14/03/2023	04:45:00	11.939	11.957	11.932	11.956	2262.73		
14/03/2023	04:50:00	11.956	11.961	11.936	11.96	4197.29		
14/03/2023	04:55:00	11.961	12.001	11.96	11.992	16718.09		
14/03/2023	05:00:00	11.992	11.998	11.987	11.99	4454.01		
14/03/2023	05:05:00	11.993	11.999	11.98	11.985	5215.68		
14/03/2023	05:10:00	11.985	12.081	11.984	12.065	19044.28		
14/03/2023	05:15:00	12.063	12.073	11.97	11.983	14763.17		
14/03/2023	05:20:00	11.983	11.993	11.961	11.978	16120.33		
14/03/2023	05:25:00	11.978	12.006	11.947	11.996	10864.1		
14/03/2023	05:30:00	11.997	12.038	11.981	11.982	6804.31		
14/03/2023	05:35:00	11.981	12.003	11.936	11.953	6787.12		
14/03/2023	05:40:00	11.955	11.964	11.939	11.947	4089.32		
14/03/2023	05:45:00	11.948	11.993	11.948	11.989	5778.02		
14/03/2023	05:50:00	11.989	11.997	11.945	11.947	9753.27		
14/03/2023	05:55:00	11.953	12.018	11.952	12.018	8099.46		
14/03/2023	06:00:00	12.019	12.06	12.019	12.059	6100.94		
14/03/2023	06:05:00	12.059	12.118	12.057	12.112	13002.48		
14/03/2023	06:10:00	12.112	12.114	12.024	12.049	10167.45		
14/03/2023	06:15:00	12.05	12.112	12.049	12.111	9816.99		
14/03/2023	06:20:00	12.113	12.199	12.113	12.195	14463.6		
14/03/2023	06:25:00	12.193	12.226	12.154	12.192	29281.48		
14/03/2023	06:30:00	12.19	12.23	12.182	12.214	23140.61		
14/03/2023	06:35:00	12.214	12.22	12.192	12.199	19031.37		
14/03/2023	06:40:00	12.196	12.22	12.122	12.123	15669.07		
14/03/2023	06:45:00	12.123	12.204	12.123	12.203	10251.49		
14/03/2023	06:50:00	12.204	12.204	12.12	12.13	6351.14		
14/03/2023	06:55:00	12.131	12.196	12.123	12.133	6569.8		
14/03/2023	07:00:00	12.134	12.176	12.134	12.17	3240.95		
14/03/2023	07:05:00	12.168	12.198	12.152	12.197	4195.61		
14/03/2023	07:10:00	12.199	12.207	12.153	12.167	5876.71		
14/03/2023	07:15:00	12.171	12.172	12.142	12.145	1233.37		
14/03/2023	07:20:00	12.152	12.178	12.147	12.171	2336.62		
14/03/2023	07:25:00	12.174	12.179	12.105	12.109	11620.5		
14/03/2023	07:30:00	12.109	12.142	12.096	12.117	6507.82		
14/03/2023	07:35:00	12.118	12.122	12.09	12.09	2870.21		
14/03/2023	07:40:00	12.09	12.1	12.047	12.048	5336.89		
14/03/2023	07:45:00	12.046	12.064	11.993	12.018	7805.94		
14/03/2023	07:50:00	12.019	12.05	12.012	12.044	5420.32		
14/03/2023	07:55:00	12.046	12.07	12.032	12.039	4934.23		
14/03/2023	08:00:00	12.039	12.052	11.96	11.964	14358.88		
14/03/2023	08:05:00	11.964	11.992	11.946	11.953	17701.43		
14/03/2023	08:10:00	11.955	11.958	11.885	11.91	16480.45		
14/03/2023	08:15:00	11.909	12.001	11.89	12.0	10830.68		
14/03/2023	08:20:00	12.001	12.004	11.977	11.995	8197.67		
14/03/2023	08:25:00	11.99	12.037	11.99	12.034	7105.63		
14/03/2023	08:30:00	12.029	12.06	12.02	12.048	5073.56		
14/03/2023	08:35:00	12.049	12.076	12.049	12.055	3695.18		
14/03/2023	08:40:00	12.053	12.094	12.039	12.076	10381.94		
14/03/2023	08:45:00	12.074	12.126	12.068	12.126	10533.31		
14/03/2023	08:50:00	12.126	12.145	12.103	12.122	11227.94		
14/03/2023	08:55:00	12.122	12.207	12.12	12.196	14614.2		
14/03/2023	09:00:00	12.195	12.243	12.137	12.147	32476.67		
14/03/2023	09:05:00	12.148	12.158	12.108	12.115	13835.3		
14/03/2023	09:10:00	12.116	12.194	12.108	12.182	6100.59		
14/03/2023	09:15:00	12.184	12.185	12.107	12.117	10071.55		
14/03/2023	09:20:00	12.117	12.124	12.084	12.089	11155.86		
14/03/2023	09:25:00	12.091	12.125	12.058	12.075	13674.2		
14/03/2023	09:30:00	12.076	12.083	12.037	12.058	11079.43		
14/03/2023	09:35:00	12.056	12.1	12.056	12.087	6477.7		
14/03/2023	09:40:00	12.086	12.094	12.068	12.071	2246.03		
14/03/2023	09:45:00	12.071	12.1	12.065	12.091	1860.87		
14/03/2023	09:50:00	12.091	12.118	12.081	12.117	5500.57		
14/03/2023	09:55:00	12.117	12.121	12.112	12.112	2479.94		
14/03/2023	10:00:00	12.111	12.128	12.088	12.088	2629.16		
14/03/2023	10:05:00	12.087	12.127	12.082	12.127	9145.61		
14/03/2023	10:10:00	12.129	12.129	12.085	12.088	6061.97		
14/03/2023	10:15:00	12.087	12.103	12.061	12.097	3773.92		
14/03/2023	10:20:00	12.098	12.139	12.095	12.101	5357.38		
14/03/2023	10:25:00	12.097	12.1	12.075	12.075	5064.61		
14/03/2023	10:30:00	12.074	12.091	12.071	12.085	3126.13		
14/03/2023	10:35:00	12.085	12.085	12.059	12.07	3648.51		
14/03/2023	10:40:00	12.069	12.081	12.052	12.056	2076.69		
14/03/2023	10:45:00	12.055	12.071	12.046	12.065	5562.14		
14/03/2023	10:50:00	12.065	12.075	12.039	12.065	5179.44		
14/03/2023	10:55:00	12.066	12.14	12.047	12.133	8100.82		
14/03/2023	11:00:00	12.136	12.146	12.058	12.07	8784.42		
14/03/2023	11:05:00	12.068	12.097	12.044	12.066	6596.65		
14/03/2023	11:10:00	12.069	12.127	12.069	12.101	7862.03		
14/03/2023	11:15:00	12.104	12.112	12.069	12.073	11323.13		
14/03/2023	11:20:00	12.069	12.084	12.049	12.082	6159.33		
14/03/2023	11:25:00	12.076	12.094	12.023	12.036	6636.78		
14/03/2023	11:30:00	12.038	12.049	12.024	12.03	4171.7		
14/03/2023	11:35:00	12.029	12.09	12.017	12.076	4138.8		
14/03/2023	11:40:00	12.076	12.088	12.054	12.057	1698.68		
14/03/2023	11:45:00	12.057	12.059	12.027	12.047	12271.87		
14/03/2023	11:50:00	12.045	12.067	12.029	12.06	4624.04		
14/03/2023	11:55:00	12.059	12.063	12.04	12.042	3602.02		
14/03/2023	12:00:00	12.045	12.091	12.017	12.035	12311.32		
14/03/2023	12:05:00	12.03	12.053	12.009	12.039	7249.75		
14/03/2023	12:10:00	12.033	12.067	12.033	12.04	5291.37		
14/03/2023	12:15:00	12.039	12.066	12.024	12.055	5876.85		
14/03/2023	12:20:00	12.061	12.068	12.021	12.024	4377.6		
14/03/2023	12:25:00	12.023	12.06	11.972	12.015	12671.41		
14/03/2023	12:30:00	12.013	12.311	11.981	12.298	78826.01		
14/03/2023	12:35:00	12.3	12.3	12.12	12.238	41830.76		
14/03/2023	12:40:00	12.237	12.412	12.19	12.401	52894.24		
14/03/2023	12:45:00	12.403	12.5	12.296	12.477	80494.41		
14/03/2023	12:50:00	12.482	12.535	12.429	12.525	36389.57		
14/03/2023	12:55:00	12.525	12.55	12.466	12.519	37990.84		
14/03/2023	13:00:00	12.518	12.634	12.515	12.593	48630.65		
14/03/2023	13:05:00	12.593	12.61	12.542	12.594	34397.58		
14/03/2023	13:10:00	12.593	12.646	12.547	12.634	29312.86		
14/03/2023	13:15:00	12.631	12.637	12.411	12.429	31791.57		
14/03/2023	13:20:00	12.429	12.508	12.409	12.472	21841.67		
14/03/2023	13:25:00	12.477	12.511	12.425	12.495	14878.59		
14/03/2023	13:30:00	12.491	12.578	12.475	12.555	19631.51		
14/03/2023	13:35:00	12.555	12.58	12.544	12.577	5941.33		
14/03/2023	13:40:00	12.58	12.605	12.557	12.576	9568.95		
14/03/2023	13:45:00	12.583	12.65	12.577	12.614	14170.19		
14/03/2023	13:50:00	12.619	12.647	12.549	12.581	17300.65		
14/03/2023	13:55:00	12.578	12.607	12.524	12.604	14661.63		
14/03/2023	14:00:00	12.605	12.631	12.548	12.58	24794.4		
14/03/2023	14:05:00	12.579	12.64	12.548	12.635	20909.96		
14/03/2023	14:10:00	12.635	12.71	12.616	12.709	25833.5		
14/03/2023	14:15:00	12.709	12.76	12.701	12.742	26439.44		
14/03/2023	14:20:00	12.741	12.805	12.736	12.795	30363.82		
14/03/2023	14:25:00	12.795	12.809	12.741	12.802	18868.2		
14/03/2023	14:30:00	12.802	12.802	12.75	12.789	18592.32		
14/03/2023	14:35:00	12.788	12.807	12.743	12.777	20991.37		
14/03/2023	14:40:00	12.771	12.85	12.706	12.742	46996.92		
14/03/2023	14:45:00	12.742	12.822	12.74	12.804	10218.25		
14/03/2023	14:50:00	12.804	12.855	12.776	12.818	18433.36		
14/03/2023	14:55:00	12.816	12.852	12.743	12.749	20787.75		
14/03/2023	15:00:00	12.752	12.786	12.727	12.754	9757.78		
