Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
22/07/2023	00:00:00	1.296	1.299	1.293	1.294	5375.3		
22/07/2023	00:05:00	1.294	1.296	1.289	1.291	2741.0		
22/07/2023	00:10:00	1.29	1.293	1.288	1.292	1593.8		
22/07/2023	00:15:00	1.293	1.294	1.292	1.293	6411.5		
22/07/2023	00:20:00	1.293	1.293	1.291	1.292	711.9		
22/07/2023	00:25:00	1.291	1.292	1.288	1.289	926.0		
22/07/2023	00:30:00	1.29	1.29	1.29	1.29	329.9		
22/07/2023	00:35:00	1.29	1.293	1.29	1.293	6339.5		
22/07/2023	00:40:00	1.293	1.294	1.291	1.291	2657.1		
22/07/2023	00:45:00	1.294	1.294	1.288	1.289	19172.3		
22/07/2023	00:50:00	1.289	1.292	1.289	1.29	2077.0		
22/07/2023	00:55:00	1.292	1.292	1.29	1.292	428.5		
22/07/2023	01:00:00	1.294	1.296	1.291	1.291	2340.4		
22/07/2023	01:05:00	1.29	1.292	1.288	1.29	2457.5		
22/07/2023	01:10:00	1.288	1.29	1.288	1.289	217.2		
22/07/2023	01:15:00	1.289	1.289	1.285	1.286	6629.4		
22/07/2023	01:20:00	1.285	1.285	1.283	1.285	8855.8		
22/07/2023	01:25:00	1.284	1.285	1.283	1.284	4390.7		
22/07/2023	01:30:00	1.284	1.287	1.284	1.284	2809.3		
22/07/2023	01:35:00	1.284	1.284	1.283	1.284	1944.5		
22/07/2023	01:40:00	1.284	1.286	1.282	1.285	4278.9		
22/07/2023	01:45:00	1.286	1.289	1.285	1.288	824.5		
22/07/2023	01:50:00	1.288	1.288	1.286	1.286	770.2		
22/07/2023	01:55:00	1.286	1.29	1.286	1.288	3001.7		
22/07/2023	02:00:00	1.288	1.301	1.288	1.293	26798.2		
22/07/2023	02:05:00	1.295	1.298	1.293	1.293	13033.4		
22/07/2023	02:10:00	1.295	1.295	1.294	1.294	171.2		
22/07/2023	02:15:00	1.29	1.291	1.289	1.289	3887.9		
22/07/2023	02:20:00	1.29	1.29	1.287	1.287	6461.6		
22/07/2023	02:25:00	1.288	1.288	1.286	1.286	3117.2		
22/07/2023	02:30:00	1.286	1.288	1.285	1.288	2206.2		
