Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
14/03/2023	00:00:00	0.2387	0.2395	0.2381	0.2388	169989		
14/03/2023	00:05:00	0.2388	0.2388	0.2372	0.2384	160487		
14/03/2023	00:10:00	0.2382	0.2393	0.2377	0.2381	51095		
14/03/2023	00:15:00	0.2381	0.2393	0.2379	0.2393	91259		
14/03/2023	00:20:00	0.2391	0.2396	0.2384	0.2393	110057		
14/03/2023	00:25:00	0.2392	0.2393	0.2383	0.2391	90805		
14/03/2023	00:30:00	0.2391	0.2403	0.2391	0.2393	81493		
14/03/2023	00:35:00	0.2393	0.2401	0.239	0.2394	32444		
14/03/2023	00:40:00	0.2399	0.24	0.2387	0.2387	50274		
14/03/2023	00:45:00	0.2386	0.2397	0.2384	0.2392	36344		
14/03/2023	00:50:00	0.239	0.239	0.2385	0.2385	49785		
14/03/2023	00:55:00	0.2384	0.2385	0.237	0.237	79185		
14/03/2023	01:00:00	0.2371	0.2374	0.2366	0.2374	57141		
14/03/2023	01:05:00	0.2373	0.238	0.2373	0.2375	26382		
14/03/2023	01:10:00	0.2375	0.2378	0.2368	0.2369	22773		
14/03/2023	01:15:00	0.237	0.2375	0.237	0.2375	44565		
14/03/2023	01:20:00	0.2374	0.2376	0.2368	0.2369	31178		
14/03/2023	01:25:00	0.237	0.2375	0.2368	0.2374	45311		
14/03/2023	01:30:00	0.2379	0.2381	0.2376	0.238	48368		
14/03/2023	01:35:00	0.238	0.2384	0.2375	0.2384	46752		
14/03/2023	01:40:00	0.2382	0.2388	0.2376	0.2385	53925		
14/03/2023	01:45:00	0.2386	0.2392	0.238	0.2381	21442		
14/03/2023	01:50:00	0.238	0.2386	0.2379	0.2385	35780		
14/03/2023	01:55:00	0.2384	0.2388	0.2379	0.2383	25070		
14/03/2023	02:00:00	0.2385	0.2395	0.2385	0.2392	42292		
14/03/2023	02:05:00	0.2391	0.2391	0.2381	0.2384	30477		
14/03/2023	02:10:00	0.2383	0.2383	0.238	0.2383	58069		
14/03/2023	02:15:00	0.2383	0.2385	0.2383	0.2385	13092		
14/03/2023	02:20:00	0.2384	0.2387	0.2384	0.2385	5297		
14/03/2023	02:25:00	0.2384	0.2385	0.2379	0.2385	32911		
14/03/2023	02:30:00	0.2384	0.239	0.2383	0.239	29939		
14/03/2023	02:35:00	0.2389	0.2389	0.2385	0.2386	17608		
14/03/2023	02:40:00	0.2386	0.239	0.2385	0.2387	14445		
14/03/2023	02:45:00	0.2387	0.2387	0.2384	0.2387	22830		
14/03/2023	02:50:00	0.2387	0.2389	0.2385	0.2385	17598		
14/03/2023	02:55:00	0.2385	0.2391	0.2385	0.2391	35620		
14/03/2023	03:00:00	0.239	0.2396	0.2388	0.2396	50740		
14/03/2023	03:05:00	0.2394	0.2401	0.2393	0.2397	139416		
14/03/2023	03:10:00	0.2397	0.2401	0.2397	0.2397	59324		
14/03/2023	03:15:00	0.2396	0.2397	0.2392	0.2392	25918		
14/03/2023	03:20:00	0.2391	0.2391	0.2386	0.2387	60253		
14/03/2023	03:25:00	0.2387	0.2395	0.2387	0.2395	33206		
14/03/2023	03:30:00	0.2395	0.2402	0.2395	0.2402	38152		
14/03/2023	03:35:00	0.2401	0.241	0.2401	0.241	33654		
14/03/2023	03:40:00	0.2408	0.2413	0.2408	0.2411	13392		
14/03/2023	03:45:00	0.2411	0.2413	0.2407	0.2412	30686		
14/03/2023	03:50:00	0.2412	0.2412	0.2408	0.2412	6186		
14/03/2023	03:55:00	0.2412	0.2414	0.2411	0.2414	5943		
14/03/2023	04:00:00	0.2412	0.2414	0.2409	0.2409	15046		
14/03/2023	04:05:00	0.2409	0.2412	0.2406	0.2412	62814		
14/03/2023	04:10:00	0.2412	0.2414	0.2407	0.2408	25310		
14/03/2023	04:15:00	0.2407	0.2408	0.2404	0.2407	38804		
14/03/2023	04:20:00	0.2406	0.2406	0.2403	0.2403	18732		
14/03/2023	04:25:00	0.2403	0.2403	0.24	0.2401	9273		
14/03/2023	04:30:00	0.24	0.2402	0.2395	0.2402	29640		
14/03/2023	04:35:00	0.2403	0.2405	0.2402	0.2402	20484		
14/03/2023	04:40:00	0.2403	0.2404	0.2394	0.2396	27978		
14/03/2023	04:45:00	0.2398	0.2404	0.2398	0.2402	14057		
14/03/2023	04:50:00	0.2404	0.2404	0.2395	0.2399	132389		
14/03/2023	04:55:00	0.2399	0.2402	0.2399	0.2402	22898		
14/03/2023	05:00:00	0.2403	0.2405	0.2402	0.2405	19328		
14/03/2023	05:05:00	0.2404	0.2408	0.2404	0.2408	15034		
14/03/2023	05:10:00	0.2407	0.242	0.2406	0.2415	145556		
14/03/2023	05:15:00	0.2416	0.2416	0.239	0.2396	78834		
