Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
14/03/2023	00:00:00	126.6	126.8	126.5	126.5	200.448		
14/03/2023	00:05:00	126.6	126.6	126.3	126.5	127.54		
14/03/2023	00:10:00	126.4	126.6	126.2	126.3	106.726		
14/03/2023	00:15:00	126.3	126.7	126.2	126.6	272.772		
14/03/2023	00:20:00	126.6	126.8	126.5	126.8	220.927		
14/03/2023	00:25:00	126.7	126.8	126.6	126.6	96.665		
14/03/2023	00:30:00	126.7	127.0	126.6	126.8	172.84		
14/03/2023	00:35:00	126.7	127.0	126.6	126.9	116.796		
14/03/2023	00:40:00	127.0	127.0	126.7	126.8	111.398		
14/03/2023	00:45:00	126.7	127.3	126.7	127.1	111.829		
14/03/2023	00:50:00	127.2	127.2	127.1	127.1	49.441		
14/03/2023	00:55:00	127.1	127.1	126.7	126.7	44.342		
14/03/2023	01:00:00	126.8	127.0	126.7	127.0	388.363		
14/03/2023	01:05:00	127.1	127.4	127.1	127.1	128.699		
14/03/2023	01:10:00	127.2	127.2	126.8	126.8	58.378		
14/03/2023	01:15:00	126.8	127.1	126.8	127.1	32.38		
14/03/2023	01:20:00	127.1	127.4	127.0	127.2	227.229		
14/03/2023	01:25:00	127.1	127.5	127.1	127.4	183.099		
14/03/2023	01:30:00	127.4	127.4	127.1	127.2	85.947		
14/03/2023	01:35:00	127.1	127.2	127.0	127.1	118.932		
14/03/2023	01:40:00	127.0	127.3	126.9	127.0	292.059		
14/03/2023	01:45:00	127.0	127.3	126.7	126.8	132.295		
14/03/2023	01:50:00	126.8	127.1	126.8	127.0	114.427		
14/03/2023	01:55:00	126.9	127.1	126.8	126.9	166.021		
14/03/2023	02:00:00	126.9	127.5	126.9	127.5	229.427		
14/03/2023	02:05:00	127.4	127.4	127.0	127.2	168.003		
14/03/2023	02:10:00	127.2	127.2	127.0	127.0	108.74		
14/03/2023	02:15:00	127.0	127.1	126.9	127.0	173.929		
14/03/2023	02:20:00	127.0	127.1	127.0	127.1	34.863		
14/03/2023	02:25:00	127.0	127.1	126.8	126.8	170.397		
14/03/2023	02:30:00	126.8	127.0	126.7	126.9	24.914		
14/03/2023	02:35:00	127.0	127.1	126.8	126.8	20.809		
14/03/2023	02:40:00	126.9	126.9	126.7	126.8	39.625		
14/03/2023	02:45:00	126.8	127.0	126.8	126.8	180.927		
14/03/2023	02:50:00	126.7	126.8	126.3	126.4	111.746		
14/03/2023	02:55:00	126.4	126.5	126.3	126.5	61.775		
14/03/2023	03:00:00	126.6	126.7	126.5	126.5	101.201		
14/03/2023	03:05:00	126.5	126.7	126.5	126.6	49.83		
14/03/2023	03:10:00	126.6	126.8	126.6	126.7	54.141		
14/03/2023	03:15:00	126.6	126.9	126.6	126.8	31.603		
14/03/2023	03:20:00	126.8	126.8	126.7	126.7	24.409		
14/03/2023	03:25:00	126.7	126.8	126.7	126.8	66.907		
14/03/2023	03:30:00	126.8	127.0	126.7	126.9	43.161		
14/03/2023	03:35:00	126.9	127.1	126.9	127.1	35.309		
14/03/2023	03:40:00	127.1	127.1	126.9	127.0	72.815		
14/03/2023	03:45:00	127.0	127.7	126.5	127.0	4901.506		
14/03/2023	03:50:00	127.0	127.0	126.7	126.8	63.18		
14/03/2023	03:55:00	126.8	127.0	126.8	126.9	51.872		
14/03/2023	04:00:00	126.9	127.0	126.7	126.7	73.493		
14/03/2023	04:05:00	126.8	126.8	126.5	126.6	40.332		
14/03/2023	04:10:00	126.6	126.7	126.6	126.6	45.012		
14/03/2023	04:15:00	126.5	126.6	126.5	126.5	43.889		
14/03/2023	04:20:00	126.4	126.5	126.4	126.4	93.74		
14/03/2023	04:25:00	126.4	126.5	126.4	126.4	124.823		
14/03/2023	04:30:00	126.5	126.5	126.3	126.5	451.732		
14/03/2023	04:35:00	126.5	126.5	126.3	126.4	17.901		
14/03/2023	04:40:00	126.4	126.4	126.3	126.3	2.471		
14/03/2023	04:45:00	126.3	126.5	126.2	126.4	645.487		
14/03/2023	04:50:00	126.3	126.4	126.3	126.3	95.233		
14/03/2023	04:55:00	126.3	126.5	126.3	126.4	46.579		
14/03/2023	05:00:00	126.4	126.5	126.4	126.5	31.542		
14/03/2023	05:05:00	126.5	126.6	126.4	126.6	86.472		
14/03/2023	05:10:00	126.6	127.5	126.6	127.4	668.751		
14/03/2023	05:15:00	127.4	127.4	126.2	126.3	299.091		
14/03/2023	05:20:00	126.3	126.6	126.0	126.0	143.27		
14/03/2023	05:25:00	126.0	126.2	125.6	126.2	181.696		
14/03/2023	05:30:00	126.1	126.6	126.1	126.2	73.296		
14/03/2023	05:35:00	126.2	126.2	126.0	126.0	167.275		
14/03/2023	05:40:00	126.0	126.1	125.9	125.9	246.909		
14/03/2023	05:45:00	125.9	126.4	125.9	126.4	40.376		
14/03/2023	05:50:00	126.4	126.4	126.0	126.0	82.441		
14/03/2023	05:55:00	126.0	126.5	126.0	126.5	89.611		
14/03/2023	06:00:00	126.6	127.0	126.6	127.0	129.379		
14/03/2023	06:05:00	126.9	127.1	126.8	127.1	67.089		
14/03/2023	06:10:00	127.1	127.1	126.4	126.5	75.015		
14/03/2023	06:15:00	126.6	126.9	126.6	126.8	48.543		
14/03/2023	06:20:00	126.9	126.9	126.7	126.9	87.514		
14/03/2023	06:25:00	126.9	127.0	126.6	126.9	85.173		
14/03/2023	06:30:00	126.9	126.9	126.6	126.6	39.641		
14/03/2023	06:35:00	126.6	126.6	126.4	126.4	60.204		
14/03/2023	06:40:00	126.4	126.4	126.2	126.3	46.642		
14/03/2023	06:45:00	126.3	126.6	126.3	126.3	123.339		
14/03/2023	06:50:00	126.3	126.4	126.2	126.3	232.527		
14/03/2023	06:55:00	126.2	126.7	126.2	126.5	117.137		
14/03/2023	07:00:00	126.5	126.7	126.5	126.5	232.075		
14/03/2023	07:05:00	126.5	126.8	126.5	126.7	24.101		
14/03/2023	07:10:00	126.8	126.9	126.7	126.8	94.8		
14/03/2023	07:15:00	126.8	126.8	126.6	126.7	30.817		
14/03/2023	07:20:00	126.7	127.0	126.7	126.9	166.552		
14/03/2023	07:25:00	126.9	127.1	126.6	126.6	138.95		
14/03/2023	07:30:00	126.5	126.9	126.4	126.7	164.787		
14/03/2023	07:35:00	126.7	126.8	126.6	126.8	14.29		
14/03/2023	07:40:00	126.8	126.9	126.5	126.5	113.041		
14/03/2023	07:45:00	126.5	126.7	126.0	126.2	349.445		
14/03/2023	07:50:00	126.2	126.6	126.2	126.6	59.637		
14/03/2023	07:55:00	126.6	126.6	126.3	126.5	121.942		
14/03/2023	08:00:00	126.5	126.6	126.4	126.4	72.889		
14/03/2023	08:05:00	126.4	126.5	126.1	126.1	85.125		
14/03/2023	08:10:00	126.0	126.1	125.2	125.4	636.012		
14/03/2023	08:15:00	125.4	126.6	125.2	126.6	661.212		
14/03/2023	08:20:00	126.5	127.1	126.5	127.1	421.755		
14/03/2023	08:25:00	127.0	127.1	126.8	127.0	117.732		
14/03/2023	08:30:00	127.0	127.5	127.0	127.4	248.985		
14/03/2023	08:35:00	127.5	127.7	127.2	127.2	122.836		
14/03/2023	08:40:00	127.1	127.2	126.9	127.1	195.021		
14/03/2023	08:45:00	127.0	127.3	127.0	127.0	75.058		
14/03/2023	08:50:00	127.1	127.2	127.0	127.2	51.957		
14/03/2023	08:55:00	127.2	127.2	126.9	127.0	81.9		
14/03/2023	09:00:00	127.0	127.1	126.6	126.8	170.057		
14/03/2023	09:05:00	126.8	127.0	126.7	126.8	61.531		
14/03/2023	09:10:00	126.8	127.0	126.6	127.0	94.642		
14/03/2023	09:15:00	127.1	127.1	126.9	126.9	84.977		
14/03/2023	09:20:00	126.9	126.9	126.7	126.8	148.027		
14/03/2023	09:25:00	126.9	127.0	126.7	126.7	68.611		
14/03/2023	09:30:00	126.6	126.9	126.5	126.9	93.764		
14/03/2023	09:35:00	126.9	127.0	126.8	126.8	63.047		
14/03/2023	09:40:00	126.8	126.9	126.7	126.7	116.315		
14/03/2023	09:45:00	126.7	126.8	126.7	126.8	52.344		
14/03/2023	09:50:00	126.8	126.8	126.7	126.8	188.477		
14/03/2023	09:55:00	126.8	126.9	126.7	126.9	48.191		
14/03/2023	10:00:00	126.9	126.9	126.7	126.8	163.478		
14/03/2023	10:05:00	126.7	126.9	126.6	126.9	76.122		
14/03/2023	10:10:00	126.9	127.0	126.8	126.9	82.548		
14/03/2023	10:15:00	126.8	126.9	126.7	126.9	63.122		
14/03/2023	10:20:00	127.0	127.3	127.0	127.0	262.025		
14/03/2023	10:25:00	127.0	127.1	126.9	127.1	135.77		
14/03/2023	10:30:00	127.1	127.2	127.0	127.0	110.169		
14/03/2023	10:35:00	127.0	127.0	126.6	126.6	125.049		
14/03/2023	10:40:00	126.7	126.8	126.6	126.8	100.823		
14/03/2023	10:45:00	126.8	126.9	126.7	126.8	23.321		
14/03/2023	10:50:00	126.9	126.9	126.6	126.6	137.839		
14/03/2023	10:55:00	126.7	127.0	126.6	126.9	203.116		
14/03/2023	11:00:00	127.0	127.2	126.6	126.9	317.098		
14/03/2023	11:05:00	126.9	127.0	126.6	126.9	238.978		
14/03/2023	11:10:00	126.9	127.1	126.8	127.0	332.907		
14/03/2023	11:15:00	127.1	127.4	126.7	127.0	520.176		
14/03/2023	11:20:00	127.0	127.1	126.7	126.9	573.122		
14/03/2023	11:25:00	126.9	127.0	126.7	126.8	220.88		
14/03/2023	11:30:00	126.7	127.0	126.7	127.0	270.491		
14/03/2023	11:35:00	126.9	127.7	126.9	127.5	559.487		
14/03/2023	11:40:00	127.6	127.7	127.3	127.3	281.024		
14/03/2023	11:45:00	127.3	127.3	127.1	127.3	188.06		
14/03/2023	11:50:00	127.3	127.4	127.3	127.3	120.492		
14/03/2023	11:55:00	127.3	127.3	126.9	126.9	123.879		
14/03/2023	12:00:00	127.0	127.4	126.9	126.9	160.141		
14/03/2023	12:05:00	126.9	127.2	126.8	127.0	351.619		
14/03/2023	12:10:00	126.9	127.0	126.9	126.9	219.774		
14/03/2023	12:15:00	126.9	127.2	126.8	127.2	394.592		
14/03/2023	12:20:00	127.2	127.3	126.9	127.0	629.451		
14/03/2023	12:25:00	127.1	127.5	126.9	127.1	241.376		
14/03/2023	12:30:00	127.1	129.9	126.9	129.1	2911.375		
14/03/2023	12:35:00	129.0	129.0	127.6	128.6	1237.918		
14/03/2023	12:40:00	128.6	130.6	128.4	130.5	1355.31		
14/03/2023	12:45:00	130.5	131.1	129.8	130.7	2560.945		
14/03/2023	12:50:00	130.7	132.0	130.4	132.0	1730.382		
14/03/2023	12:55:00	132.0	132.0	131.2	131.7	655.374		
14/03/2023	13:00:00	131.8	133.3	131.8	133.2	1126.019		
14/03/2023	13:05:00	133.2	133.2	132.3	133.1	712.934		
14/03/2023	13:10:00	133.1	133.7	132.8	133.6	1724.052		
14/03/2023	13:15:00	133.7	134.2	132.2	132.2	3242.199		
14/03/2023	13:20:00	132.2	132.9	132.2	132.5	1014.639		
14/03/2023	13:25:00	132.4	132.7	131.9	132.7	478.216		
14/03/2023	13:30:00	132.7	134.2	132.7	134.0	1523.616		
14/03/2023	13:35:00	134.0	134.8	134.0	134.4	1510.766		
14/03/2023	13:40:00	134.4	135.1	134.0	134.2	1053.527		
14/03/2023	13:45:00	134.2	135.0	134.2	134.8	191.668		
14/03/2023	13:50:00	134.8	135.0	133.4	133.9	752.979		
14/03/2023	13:55:00	133.9	134.9	133.9	134.6	307.466		
14/03/2023	14:00:00	134.7	134.9	134.1	134.7	647.337		
14/03/2023	14:05:00	134.7	135.5	134.5	135.2	1015.548		
14/03/2023	14:10:00	135.1	135.3	134.9	135.1	294.393		
14/03/2023	14:15:00	135.1	136.1	134.7	134.7	831.258		
14/03/2023	14:20:00	134.7	134.8	134.3	134.6	1205.42		
14/03/2023	14:25:00	134.5	134.7	134.2	134.6	241.085		
14/03/2023	14:30:00	134.6	134.6	134.1	134.4	173.218		
14/03/2023	14:35:00	134.5	134.6	133.9	134.1	170.277		
14/03/2023	14:40:00	134.0	134.3	133.4	133.6	642.462		
14/03/2023	14:45:00	133.7	134.5	133.5	134.3	267.388		
14/03/2023	14:50:00	134.3	135.0	134.3	134.6	362.402		
14/03/2023	14:55:00	134.6	135.1	134.4	134.5	494.431		
14/03/2023	15:00:00	134.5	135.2	134.2	134.9	265.912		
14/03/2023	15:05:00	135.0	135.7	135.0	135.7	352.945		
14/03/2023	15:10:00	135.7	136.0	135.4	135.6	792.953		
14/03/2023	15:15:00	135.7	136.0	135.2	135.2	410.295		
14/03/2023	15:20:00	135.2	135.4	134.7	134.7	337.072		
14/03/2023	15:25:00	134.6	134.8	134.3	134.4	296.209		
14/03/2023	15:30:00	134.4	135.2	134.3	135.1	283.3		
14/03/2023	15:35:00	135.2	135.4	135.1	135.3	258.208		
14/03/2023	15:40:00	135.2	135.4	135.0	135.2	202.776		
14/03/2023	15:45:00	135.2	135.4	135.1	135.3	216.417		
14/03/2023	15:50:00	135.4	135.7	135.1	135.3	221.628		
14/03/2023	15:55:00	135.3	135.4	135.1	135.3	219.583		
14/03/2023	16:00:00	135.3	135.6	135.1	135.4	247.856		
14/03/2023	16:05:00	135.3	135.3	134.6	135.0	1027.076		
14/03/2023	16:10:00	135.0	135.0	134.5	134.7	551.265		
14/03/2023	16:15:00	134.7	134.8	134.2	134.3	467.634		
14/03/2023	16:20:00	134.2	134.4	133.7	133.8	595.419		
14/03/2023	16:25:00	133.9	134.0	133.5	133.6	392.983		
14/03/2023	16:30:00	133.6	134.1	133.6	134.0	391.146		
14/03/2023	16:35:00	134.0	134.0	133.5	133.8	241.883		
14/03/2023	16:40:00	133.7	133.7	133.2	133.5	244.998		
14/03/2023	16:45:00	133.5	134.1	133.5	134.1	184.391		
14/03/2023	16:50:00	134.0	134.2	133.7	134.1	216.839		
14/03/2023	16:55:00	134.1	134.3	134.0	134.0	143.285		
14/03/2023	17:00:00	134.1	134.5	134.1	134.5	84.417		
14/03/2023	17:05:00	134.4	134.4	133.9	133.9	80.219		
14/03/2023	17:10:00	133.8	134.2	133.8	134.1	123.879		
14/03/2023	17:15:00	134.1	134.1	133.2	133.3	180.046		
