Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
22/07/2023	00:00:00	243.8	243.8	243.5	243.8	462.905		
22/07/2023	00:05:00	243.8	243.9	243.6	243.9	720.053		
22/07/2023	00:10:00	243.9	244.0	243.7	244.0	512.719		
22/07/2023	00:15:00	244.0	244.2	243.9	244.2	899.338		
22/07/2023	00:20:00	244.2	244.2	244.1	244.2	82.144		
22/07/2023	00:25:00	244.2	244.2	243.9	244.0	263.328		
22/07/2023	00:30:00	244.0	244.3	243.9	244.2	1143.583		
22/07/2023	00:35:00	244.1	244.6	244.1	244.5	1926.982		
22/07/2023	00:40:00	244.5	244.5	244.3	244.4	726.597		
22/07/2023	00:45:00	244.4	244.6	244.1	244.3	1658.793		
22/07/2023	00:50:00	244.3	244.7	244.2	244.6	2041.035		
22/07/2023	00:55:00	244.6	244.8	244.5	244.7	1515.669		
22/07/2023	01:00:00	244.7	244.7	244.2	244.2	680.689		
22/07/2023	01:05:00	244.2	244.4	244.2	244.4	357.704		
22/07/2023	01:10:00	244.4	244.6	244.3	244.5	615.62		
22/07/2023	01:15:00	244.5	244.5	244.3	244.5	625.874		
22/07/2023	01:20:00	244.5	244.5	244.3	244.5	144.209		
22/07/2023	01:25:00	244.4	244.5	244.4	244.5	72.28		
22/07/2023	01:30:00	244.5	244.5	244.2	244.2	464.191		
22/07/2023	01:35:00	244.1	244.3	244.1	244.2	428.985		
22/07/2023	01:40:00	244.2	244.3	244.0	244.3	496.119		
22/07/2023	01:45:00	244.3	244.4	244.1	244.2	481.713		
22/07/2023	01:50:00	244.2	244.3	244.1	244.1	512.716		
22/07/2023	01:55:00	244.2	244.2	244.1	244.1	169.583		
22/07/2023	02:00:00	244.1	244.2	244.0	244.1	665.575		
22/07/2023	02:05:00	244.2	244.5	244.1	244.4	491.044		
22/07/2023	02:10:00	244.4	244.5	244.2	244.5	347.166		
22/07/2023	02:15:00	244.5	244.6	244.4	244.4	364.734		
22/07/2023	02:20:00	244.5	244.6	244.4	244.4	435.343		
22/07/2023	02:25:00	244.4	244.6	244.2	244.3	839.119		
22/07/2023	02:30:00	244.3	244.4	244.2	244.4	222.168		
22/07/2023	02:35:00	244.4	244.6	244.3	244.6	271.83		
22/07/2023	02:40:00	244.6	244.6	244.4	244.5	314.485		
22/07/2023	02:45:00	244.4	244.7	244.4	244.7	477.78		
22/07/2023	02:50:00	244.7	244.8	244.5	244.7	1323.604		
22/07/2023	02:55:00	244.7	244.8	244.5	244.6	999.426		
22/07/2023	03:00:00	244.6	244.7	244.4	244.4	422.725		
22/07/2023	03:05:00	244.5	244.6	244.4	244.5	522.727		
22/07/2023	03:10:00	244.5	244.5	244.3	244.5	349.429		
22/07/2023	03:15:00	244.5	244.7	244.4	244.7	835.868		
22/07/2023	03:20:00	244.7	244.9	244.6	244.7	1579.635		
22/07/2023	03:25:00	244.7	244.8	244.4	244.6	521.893		
22/07/2023	03:30:00	244.6	244.7	244.4	244.4	545.47		
22/07/2023	03:35:00	244.4	244.6	244.4	244.5	188.866		
22/07/2023	03:40:00	244.6	244.6	244.5	244.6	145.238		
22/07/2023	03:45:00	244.6	244.7	244.5	244.6	302.689		
22/07/2023	03:50:00	244.6	244.7	244.5	244.7	220.327		
22/07/2023	03:55:00	244.7	244.7	244.4	244.5	394.448		
22/07/2023	04:00:00	244.4	244.6	244.3	244.3	713.336		
22/07/2023	04:05:00	244.3	244.4	244.3	244.4	269.109		
22/07/2023	04:10:00	244.4	244.4	244.3	244.3	233.882		
22/07/2023	04:15:00	244.3	244.5	244.2	244.4	403.188		
22/07/2023	04:20:00	244.5	244.6	244.3	244.6	770.243		
22/07/2023	04:25:00	244.6	244.7	244.5	244.6	497.058		
22/07/2023	04:30:00	244.5	244.7	244.5	244.6	206.77		
22/07/2023	04:35:00	244.7	244.8	244.6	244.6	379.372		
22/07/2023	04:40:00	244.6	244.8	244.6	244.8	214.283		
22/07/2023	04:45:00	244.8	244.8	244.3	244.4	613.371		
22/07/2023	04:50:00	244.4	244.5	244.3	244.4	400.422		
22/07/2023	04:55:00	244.4	244.6	244.3	244.6	243.85		
22/07/2023	05:00:00	244.6	244.6	244.4	244.5	246.563		
22/07/2023	05:05:00	244.4	244.6	244.4	244.4	432.612		
22/07/2023	05:10:00	244.5	244.5	244.2	244.2	282.626		
22/07/2023	05:15:00	244.2	244.4	244.2	244.3	398.694		
22/07/2023	05:20:00	244.3	244.4	244.2	244.3	357.773		
22/07/2023	05:25:00	244.3	244.4	244.2	244.2	270.056		
22/07/2023	05:30:00	244.2	244.3	244.0	244.2	456.708		
22/07/2023	05:35:00	244.2	244.4	244.1	244.2	409.977		
22/07/2023	05:40:00	244.2	244.3	244.2	244.2	120.586		
22/07/2023	05:45:00	244.3	244.3	244.1	244.2	229.071		
22/07/2023	05:50:00	244.2	244.2	244.0	244.2	295.933		
22/07/2023	05:55:00	244.2	244.4	244.1	244.2	535.585		
22/07/2023	06:00:00	244.2	244.4	244.2	244.2	1030.243		
22/07/2023	06:05:00	244.3	244.3	244.1	244.1	317.47		
22/07/2023	06:10:00	244.2	244.2	244.0	244.1	281.89		
22/07/2023	06:15:00	244.1	244.1	243.8	243.9	1405.692		
22/07/2023	06:20:00	243.9	243.9	243.7	243.7	304.124		
22/07/2023	06:25:00	243.8	243.9	243.7	243.9	452.575		
