Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
14/03/2023	00:00:00	4.624	4.638	4.615	4.616	538.53		
14/03/2023	00:05:00	4.611	4.614	4.603	4.606	762.27		
14/03/2023	00:10:00	4.606	4.624	4.606	4.624	109.65		
14/03/2023	00:15:00	4.599	4.623	4.599	4.623	385.88		
14/03/2023	00:20:00	4.623	4.624	4.617	4.623	171.85		
14/03/2023	00:25:00	4.618	4.63	4.617	4.63	941.3		
14/03/2023	00:30:00	4.638	4.649	4.633	4.643	602.59		
14/03/2023	00:35:00	4.625	4.625	4.624	4.625	171.98		
14/03/2023	00:40:00	4.633	4.633	4.623	4.627	555.73		
14/03/2023	00:45:00	4.622	4.663	4.621	4.663	243.79		
14/03/2023	00:50:00	4.649	4.654	4.64	4.654	471.3		
14/03/2023	00:55:00	4.659	4.659	4.629	4.635	570.79		
14/03/2023	01:00:00	4.636	4.651	4.624	4.648	872.67		
14/03/2023	01:05:00	4.648	4.649	4.648	4.649	194.05		
14/03/2023	01:10:00	4.643	4.647	4.638	4.647	485.89		
14/03/2023	01:15:00	4.637	4.641	4.635	4.639	533.09		
14/03/2023	01:20:00	4.644	4.668	4.638	4.667	340.75		
14/03/2023	01:25:00	4.661	4.672	4.654	4.672	1063.56		
14/03/2023	01:30:00	4.675	4.69	4.669	4.673	416.9		
14/03/2023	01:35:00	4.662	4.684	4.661	4.684	176.84		
14/03/2023	01:40:00	4.673	4.673	4.642	4.65	1285.23		
14/03/2023	01:45:00	4.655	4.686	4.655	4.686	674.69		
14/03/2023	01:50:00	4.688	4.71	4.682	4.7	1427.56		
14/03/2023	01:55:00	4.7	4.727	4.7	4.726	777.42		
14/03/2023	02:00:00	4.722	4.74	4.716	4.74	774.54		
14/03/2023	02:05:00	4.73	4.73	4.695	4.715	534.78		
14/03/2023	02:10:00	4.692	4.7	4.692	4.692	621.61		
14/03/2023	02:15:00	4.692	4.711	4.69	4.71	566.01		
14/03/2023	02:20:00	4.699	4.723	4.698	4.71	264.7		
14/03/2023	02:25:00	4.708	4.714	4.683	4.683	289.17		
14/03/2023	02:30:00	4.686	4.687	4.681	4.681	238.15		
14/03/2023	02:35:00	4.681	4.688	4.675	4.675	191.68		
14/03/2023	02:40:00	4.675	4.675	4.675	4.675	171.17		
14/03/2023	02:45:00	4.675	4.675	4.675	4.675	0.0		
14/03/2023	02:50:00	4.685	4.687	4.683	4.684	180.63		
14/03/2023	02:55:00	4.682	4.682	4.675	4.675	146.34		
14/03/2023	03:00:00	4.676	4.676	4.673	4.673	606.55		
14/03/2023	03:05:00	4.667	4.673	4.666	4.666	181.29		
14/03/2023	03:10:00	4.671	4.674	4.671	4.674	67.62		
14/03/2023	03:15:00	4.672	4.675	4.672	4.675	762.19		
14/03/2023	03:20:00	4.675	4.687	4.672	4.672	250.37		
14/03/2023	03:25:00	4.678	4.678	4.678	4.678	27.0		
14/03/2023	03:30:00	4.699	4.716	4.698	4.699	242.32		
14/03/2023	03:35:00	4.7	4.71	4.698	4.71	575.17		
14/03/2023	03:40:00	4.703	4.738	4.703	4.716	592.04		
14/03/2023	03:45:00	4.716	4.716	4.716	4.716	0.0		
14/03/2023	03:50:00	4.712	4.718	4.703	4.704	550.19		
14/03/2023	03:55:00	4.705	4.709	4.704	4.708	389.27		
14/03/2023	04:00:00	4.705	4.705	4.704	4.704	84.5		
14/03/2023	04:05:00	4.7	4.701	4.693	4.701	40.41		
14/03/2023	04:10:00	4.701	4.701	4.701	4.701	0.0		
14/03/2023	04:15:00	4.706	4.707	4.697	4.698	775.18		
14/03/2023	04:20:00	4.7	4.705	4.7	4.705	75.88		
14/03/2023	04:25:00	4.7	4.725	4.699	4.725	868.72		
14/03/2023	04:30:00	4.725	4.726	4.695	4.696	258.89		
14/03/2023	04:35:00	4.69	4.693	4.689	4.689	284.72		
14/03/2023	04:40:00	4.7	4.7	4.69	4.69	187.35		
14/03/2023	04:45:00	4.69	4.694	4.688	4.688	437.9		
14/03/2023	04:50:00	4.693	4.7	4.693	4.7	243.18		
14/03/2023	04:55:00	4.704	4.715	4.7	4.715	840.47		
14/03/2023	05:00:00	4.714	4.714	4.706	4.713	312.17		
14/03/2023	05:05:00	4.7	4.74	4.7	4.732	1156.85		
14/03/2023	05:10:00	4.732	4.86	4.732	4.832	12664.19		
14/03/2023	05:15:00	4.824	4.829	4.688	4.694	3026.02		
14/03/2023	05:20:00	4.717	4.723	4.669	4.691	2405.52		
14/03/2023	05:25:00	4.685	4.695	4.661	4.692	816.26		
14/03/2023	05:30:00	4.702	4.722	4.685	4.691	652.54		
14/03/2023	05:35:00	4.696	4.696	4.658	4.669	717.39		
14/03/2023	05:40:00	4.675	4.683	4.668	4.676	1935.1		
14/03/2023	05:45:00	4.676	4.696	4.674	4.696	835.25		
14/03/2023	05:50:00	4.692	4.696	4.654	4.654	813.89		
14/03/2023	05:55:00	4.677	4.679	4.667	4.675	563.36		
14/03/2023	06:00:00	4.685	4.689	4.678	4.689	261.01		
14/03/2023	06:05:00	4.691	4.722	4.683	4.722	1191.07		
14/03/2023	06:10:00	4.714	4.714	4.685	4.691	197.06		
14/03/2023	06:15:00	4.697	4.713	4.697	4.713	96.95		
14/03/2023	06:20:00	4.718	4.719	4.717	4.717	27.53		
14/03/2023	06:25:00	4.717	4.717	4.685	4.703	457.68		
14/03/2023	06:30:00	4.706	4.714	4.706	4.714	568.72		
14/03/2023	06:35:00	4.705	4.705	4.698	4.698	98.11		
14/03/2023	06:40:00	4.685	4.685	4.676	4.676	24.03		
14/03/2023	06:45:00	4.681	4.691	4.676	4.685	837.78		
14/03/2023	06:50:00	4.679	4.684	4.679	4.684	306.4		
14/03/2023	06:55:00	4.68	4.692	4.67	4.692	827.22		
14/03/2023	07:00:00	4.692	4.7	4.692	4.7	388.56		
14/03/2023	07:05:00	4.701	4.714	4.7	4.714	644.24		
14/03/2023	07:10:00	4.714	4.714	4.705	4.713	258.84		
14/03/2023	07:15:00	4.711	4.711	4.708	4.711	151.99		
14/03/2023	07:20:00	4.711	4.711	4.711	4.711	0.0		
14/03/2023	07:25:00	4.701	4.701	4.664	4.664	1699.4		
14/03/2023	07:30:00	4.66	4.664	4.642	4.663	1628.21		
14/03/2023	07:35:00	4.662	4.662	4.658	4.659	47.52		
14/03/2023	07:40:00	4.671	4.676	4.655	4.662	896.28		
14/03/2023	07:45:00	4.66	4.66	4.629	4.631	1259.18		
14/03/2023	07:50:00	4.639	4.668	4.639	4.668	567.21		
14/03/2023	07:55:00	4.669	4.676	4.654	4.665	2252.25		
14/03/2023	08:00:00	4.664	4.676	4.644	4.644	1119.94		
14/03/2023	08:05:00	4.641	4.661	4.641	4.652	893.67		
14/03/2023	08:10:00	4.646	4.646	4.622	4.625	1222.87		
14/03/2023	08:15:00	4.631	4.652	4.628	4.652	277.71		
14/03/2023	08:20:00	4.653	4.653	4.642	4.642	187.63		
14/03/2023	08:25:00	4.648	4.658	4.643	4.658	338.51		
14/03/2023	08:30:00	4.658	4.672	4.658	4.672	373.45		
14/03/2023	08:35:00	4.666	4.666	4.657	4.657	160.31		
14/03/2023	08:40:00	4.658	4.658	4.65	4.653	242.31		
14/03/2023	08:45:00	4.653	4.653	4.653	4.653	0.0		
14/03/2023	08:50:00	4.654	4.66	4.646	4.66	636.2		
14/03/2023	08:55:00	4.65	4.656	4.638	4.656	1098.89		
14/03/2023	09:00:00	4.652	4.653	4.645	4.645	427.02		
14/03/2023	09:05:00	4.647	4.653	4.647	4.653	293.14		
14/03/2023	09:10:00	4.647	4.653	4.646	4.653	421.52		
14/03/2023	09:15:00	4.659	4.659	4.654	4.656	218.43		
14/03/2023	09:20:00	4.647	4.655	4.647	4.649	305.72		
14/03/2023	09:25:00	4.652	4.652	4.645	4.645	44.29		
14/03/2023	09:30:00	4.637	4.637	4.623	4.628	759.95		
14/03/2023	09:35:00	4.649	4.662	4.649	4.661	91.35		
14/03/2023	09:40:00	4.649	4.654	4.644	4.654	171.73		
14/03/2023	09:45:00	4.654	4.654	4.654	4.654	0.0		
14/03/2023	09:50:00	4.654	4.654	4.654	4.654	5.0		
14/03/2023	09:55:00	4.66	4.668	4.654	4.668	710.44		
14/03/2023	10:00:00	4.668	4.679	4.661	4.661	609.44		
14/03/2023	10:05:00	4.67	4.673	4.67	4.673	170.56		
14/03/2023	10:10:00	4.673	4.68	4.662	4.662	945.01		
14/03/2023	10:15:00	4.672	4.672	4.672	4.672	29.83		
