Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
22/07/2023	00:00:00	29901.72	29907.97	29901.71	29907.97	24.63		
22/07/2023	00:05:00	29907.96	29908.98	29904.0	29908.97	28.20491		
22/07/2023	00:10:00	29908.97	29919.37	29903.47	29919.36	33.05064		
22/07/2023	00:15:00	29919.36	29932.59	29919.36	29932.58	22.8691		
22/07/2023	00:20:00	29932.59	29932.59	29932.58	29932.58	16.22502		
22/07/2023	00:25:00	29932.59	29935.57	29928.09	29935.57	72.39923		
22/07/2023	00:30:00	29935.56	29942.0	29935.56	29941.99	31.63024		
22/07/2023	00:35:00	29942.0	29949.99	29941.99	29949.99	20.34375		
22/07/2023	00:40:00	29949.98	29956.49	29949.98	29956.49	18.07002		
22/07/2023	00:45:00	29956.49	29962.06	29943.85	29953.91	60.51258		
22/07/2023	00:50:00	29953.9	29999.0	29953.9	29972.73	86.86766		
22/07/2023	00:55:00	29972.74	29983.8	29968.63	29983.79	49.37702		
22/07/2023	01:00:00	29983.8	29987.45	29957.48	29957.48	44.16597		
22/07/2023	01:05:00	29957.49	29966.47	29956.27	29960.43	42.6271		
22/07/2023	01:10:00	29960.42	29967.3	29957.57	29962.22	45.43158		
22/07/2023	01:15:00	29962.23	29962.23	29946.62	29956.2	24.3731		
22/07/2023	01:20:00	29956.19	29956.79	29946.7	29956.79	37.06477		
22/07/2023	01:25:00	29956.79	29956.79	29945.38	29945.38	35.64625		
22/07/2023	01:30:00	29945.38	29945.39	29923.32	29928.38	69.4945		
22/07/2023	01:35:00	29928.38	29928.39	29921.0	29921.01	38.4931		
22/07/2023	01:40:00	29921.01	29928.0	29916.41	29926.0	50.36997		
22/07/2023	01:45:00	29926.01	29936.0	29922.57	29934.23	45.93993		
22/07/2023	01:50:00	29934.24	29945.92	29930.0	29943.17	23.51452		
22/07/2023	01:55:00	29943.16	29943.17	29924.0	29924.01	22.09525		
22/07/2023	02:00:00	29924.0	29930.31	29918.2	29922.0	48.00587		
22/07/2023	02:05:00	29921.99	29943.89	29921.99	29934.43	65.51825		
22/07/2023	02:10:00	29934.43	29943.26	29924.11	29940.0	25.14303		
22/07/2023	02:15:00	29940.01	29946.21	29940.0	29946.2	13.33122		
22/07/2023	02:20:00	29946.21	29956.47	29946.2	29953.16	21.08718		
22/07/2023	02:25:00	29953.17	29953.17	29934.0	29934.0	25.00341		
22/07/2023	02:30:00	29934.01	29945.0	29928.0	29944.99	32.19985		
22/07/2023	02:35:00	29944.99	29951.83	29944.99	29951.82	9.6106		
22/07/2023	02:40:00	29951.83	29955.54	29951.07	29951.07	28.30216		
22/07/2023	02:45:00	29951.07	29961.53	29951.07	29960.93	24.78839		
22/07/2023	02:50:00	29960.93	29967.24	29936.7	29951.84	156.6292		
22/07/2023	02:55:00	29951.84	29960.0	29924.51	29935.48	101.28314		
22/07/2023	03:00:00	29935.47	29937.98	29912.0	29912.0	48.88702		
22/07/2023	03:05:00	29912.0	29925.65	29904.63	29904.63	78.91892		
22/07/2023	03:10:00	29904.64	29905.23	29898.01	29904.63	339.89459		
22/07/2023	03:15:00	29904.63	29915.0	29896.0	29910.0	344.58548		
22/07/2023	03:20:00	29909.99	29930.0	29909.99	29930.0	95.56313		
22/07/2023	03:25:00	29929.99	29937.34	29926.47	29937.34	37.08461		
22/07/2023	03:30:00	29937.33	29937.34	29916.0	29916.01	29.24673		
22/07/2023	03:35:00	29916.0	29928.01	29916.0	29926.01	32.17167		
22/07/2023	03:40:00	29926.01	29926.01	29910.0	29915.68	92.40629		
22/07/2023	03:45:00	29915.67	29924.26	29915.67	29924.26	81.25924		
22/07/2023	03:50:00	29924.25	29926.62	29924.25	29926.62	30.65158		
22/07/2023	03:55:00	29926.61	29926.62	29903.4	29903.41	25.94507		
22/07/2023	04:00:00	29903.4	29909.02	29900.0	29900.01	41.53142		
22/07/2023	04:05:00	29900.01	29900.01	29900.0	29900.01	11.09018		
22/07/2023	04:10:00	29900.01	29900.15	29896.31	29900.15	22.06248		
22/07/2023	04:15:00	29900.14	29914.48	29900.14	29914.48	13.63841		
22/07/2023	04:20:00	29914.48	29920.0	29914.47	29916.01	25.27812		
22/07/2023	04:25:00	29916.0	29916.6	29916.0	29916.6	14.20736		
22/07/2023	04:30:00	29916.6	29919.65	29916.59	29919.65	15.55351		
22/07/2023	04:35:00	29919.65	29932.69	29919.64	29928.01	40.15105		
22/07/2023	04:40:00	29928.0	29928.01	29928.0	29928.01	5.19557		
22/07/2023	04:45:00	29928.0	29932.0	29868.82	29885.69	122.12903		
22/07/2023	04:50:00	29885.69	29886.29	29870.0	29870.81	36.46494		
22/07/2023	04:55:00	29870.8	29884.0	29870.8	29884.0	19.19039		
22/07/2023	05:00:00	29884.0	29885.76	29883.99	29885.76	63.7591		
22/07/2023	05:05:00	29885.75	29900.0	29875.07	29885.09	336.48104		
22/07/2023	05:10:00	29885.09	29885.09	29872.3	29872.89	185.30135		
22/07/2023	05:15:00	29872.89	29881.78	29872.89	29876.49	22.77501		
22/07/2023	05:20:00	29876.48	29879.1	29868.0	29879.09	30.02641		
22/07/2023	05:25:00	29879.1	29879.1	29870.0	29870.01	23.24824		
22/07/2023	05:30:00	29870.0	29870.6	29860.0	29870.59	23.31486		
22/07/2023	05:35:00	29870.59	29881.17	29870.59	29881.16	30.45037		
22/07/2023	05:40:00	29881.16	29881.17	29875.58	29875.58	16.49305		
22/07/2023	05:45:00	29875.58	29875.59	29862.1	29862.1	14.50783		
22/07/2023	05:50:00	29862.1	29865.67	29858.0	29865.67	28.53734		
22/07/2023	05:55:00	29865.67	29875.59	29865.66	29870.01	26.39581		
22/07/2023	06:00:00	29870.01	29874.0	29848.0	29863.55	82.36202		
22/07/2023	06:05:00	29863.55	29863.55	29850.0	29855.99	19.28586		
22/07/2023	06:10:00	29856.0	29857.49	29855.99	29857.49	14.90457		
22/07/2023	06:15:00	29857.48	29872.66	29857.48	29872.65	21.81397		
22/07/2023	06:20:00	29872.65	29872.66	29866.0	29867.99	17.74162		
22/07/2023	06:25:00	29867.99	29877.89	29867.99	29877.89	17.17707		
22/07/2023	06:30:00	29877.89	29879.11	29877.88	29879.11	10.17872		
22/07/2023	06:35:00	29879.1	29884.81	29879.1	29884.81	16.59452		
22/07/2023	06:40:00	29884.81	29887.97	29882.0	29887.96	28.68723		
22/07/2023	06:45:00	29887.96	29887.97	29881.42	29881.43	16.58448		
22/07/2023	06:50:00	29881.42	29889.77	29881.42	29889.76	18.03024		
22/07/2023	06:55:00	29889.77	29894.0	29889.76	29890.01	27.87645		
22/07/2023	07:00:00	29890.0	29890.01	29881.4	29881.41	24.15052		
22/07/2023	07:05:00	29881.41	29889.07	29880.0	29889.07	21.41066		
22/07/2023	07:10:00	29889.07	29889.07	29884.86	29884.86	19.34055		
22/07/2023	07:15:00	29884.86	29884.87	29870.55	29870.55	15.87935		
22/07/2023	07:20:00	29870.56	29877.37	29862.73	29868.0	50.48561		
22/07/2023	07:25:00	29867.99	29928.57	29867.99	29916.48	194.25882		
22/07/2023	07:30:00	29916.48	29973.5	29916.47	29966.12	153.25188		
22/07/2023	07:35:00	29966.12	29969.64	29941.0	29945.6	60.27176		
22/07/2023	07:40:00	29945.6	29990.0	29945.6	29970.11	92.0084		
22/07/2023	07:45:00	29970.11	29979.99	29970.1	29971.87	46.58791		
22/07/2023	07:50:00	29971.86	29971.87	29946.96	29952.66	81.17992		
