Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
22/07/2023	00:00:00	27.32	27.32	27.31	27.31	12681		
22/07/2023	00:05:00	27.31	27.31	27.3	27.31	6663		
22/07/2023	00:10:00	27.31	27.31	27.3	27.31	17523		
22/07/2023	00:15:00	27.31	27.31	27.3	27.31	18495		
22/07/2023	00:20:00	27.31	27.31	27.3	27.31	11054		
22/07/2023	00:25:00	27.31	27.31	27.3	27.31	18029		
22/07/2023	00:30:00	27.31	27.31	27.3	27.31	8996		
22/07/2023	00:35:00	27.31	27.31	27.3	27.3	15843		
22/07/2023	00:40:00	27.3	27.31	27.3	27.31	1919		
22/07/2023	00:45:00	27.3	27.31	27.3	27.31	3632		
22/07/2023	00:50:00	27.3	27.31	27.3	27.31	16872		
22/07/2023	00:55:00	27.3	27.31	27.3	27.3	4683		
22/07/2023	01:00:00	27.31	27.31	27.3	27.3	3527		
22/07/2023	01:05:00	27.3	27.31	27.3	27.31	3413		
22/07/2023	01:10:00	27.31	27.31	27.3	27.3	7019		
22/07/2023	01:15:00	27.3	27.31	27.29	27.3	3523		
22/07/2023	01:20:00	27.29	27.3	27.29	27.29	1642		
22/07/2023	01:25:00	27.3	27.3	27.29	27.29	5664		
22/07/2023	01:30:00	27.3	27.3	27.29	27.3	4668		
22/07/2023	01:35:00	27.3	27.3	27.29	27.29	7944		
22/07/2023	01:40:00	27.3	27.3	27.29	27.3	6834		
22/07/2023	01:45:00	27.3	27.31	27.3	27.31	1209		
22/07/2023	01:50:00	27.3	27.31	27.3	27.3	2565		
22/07/2023	01:55:00	27.3	27.3	27.3	27.3	0		
22/07/2023	02:00:00	27.3	27.31	27.3	27.31	1337		
22/07/2023	02:05:00	27.3	27.31	27.3	27.31	678		
22/07/2023	02:10:00	27.31	27.31	27.3	27.3	2820		
22/07/2023	02:15:00	27.3	27.31	27.3	27.3	2176		
22/07/2023	02:20:00	27.31	27.31	27.3	27.31	2758		
22/07/2023	02:25:00	27.3	27.31	27.3	27.31	767		
22/07/2023	02:30:00	27.3	27.31	27.3	27.31	303		
22/07/2023	02:35:00	27.31	27.31	27.3	27.3	4025		
22/07/2023	02:40:00	27.3	27.3	27.29	27.3	2892		
22/07/2023	02:45:00	27.3	27.3	27.29	27.3	30862		
22/07/2023	02:50:00	27.29	27.3	27.29	27.29	1347		
22/07/2023	02:55:00	27.3	27.3	27.29	27.29	15242		
22/07/2023	03:00:00	27.29	27.3	27.29	27.29	7103		
22/07/2023	03:05:00	27.29	27.3	27.29	27.29	1533		
22/07/2023	03:10:00	27.29	27.3	27.29	27.29	3222		
22/07/2023	03:15:00	27.29	27.3	27.29	27.29	9977		
22/07/2023	03:20:00	27.29	27.3	27.28	27.29	14000		
22/07/2023	03:25:00	27.29	27.29	27.28	27.29	6264		
22/07/2023	03:30:00	27.29	27.29	27.28	27.29	7590		
22/07/2023	03:35:00	27.29	27.29	27.28	27.28	9668		
22/07/2023	03:40:00	27.28	27.28	27.27	27.28	26639		
22/07/2023	03:45:00	27.27	27.28	27.27	27.27	7387		
22/07/2023	03:50:00	27.27	27.28	27.27	27.27	12470		
22/07/2023	03:55:00	27.28	27.28	27.26	27.26	34453		
22/07/2023	04:00:00	27.26	27.27	27.26	27.26	27053		
22/07/2023	04:05:00	27.26	27.27	27.26	27.26	77624		
22/07/2023	04:10:00	27.26	27.27	27.26	27.26	18504		
22/07/2023	04:15:00	27.26	27.26	27.26	27.26	28439		
22/07/2023	04:20:00	27.26	27.26	27.26	27.26	16242		
22/07/2023	04:25:00	27.26	27.26	27.25	27.25	8132		
22/07/2023	04:30:00	27.26	27.26	27.25	27.25	15573		
22/07/2023	04:35:00	27.25	27.26	27.25	27.25	3424		
22/07/2023	04:40:00	27.25	27.26	27.25	27.25	13456		
22/07/2023	04:45:00	27.25	27.26	27.25	27.26	2301		
22/07/2023	04:50:00	27.25	27.25	27.25	27.25	1440		
22/07/2023	04:55:00	27.25	27.26	27.25	27.25	2537		
22/07/2023	05:00:00	27.25	27.26	27.25	27.25	9398		
22/07/2023	05:05:00	27.26	27.26	27.25	27.26	6535		
22/07/2023	05:10:00	27.26	27.26	27.25	27.26	4778		
22/07/2023	05:15:00	27.25	27.26	27.25	27.26	4016		
22/07/2023	05:20:00	27.26	27.26	27.25	27.26	25971		
22/07/2023	05:25:00	27.26	27.27	27.26	27.26	14376		
22/07/2023	05:30:00	27.27	27.28	27.26	27.27	20546		
22/07/2023	05:35:00	27.27	27.28	27.27	27.28	4692		
22/07/2023	05:40:00	27.27	27.28	27.27	27.27	7843		
22/07/2023	05:45:00	27.27	27.28	27.27	27.27	4008		
22/07/2023	05:50:00	27.28	27.28	27.27	27.27	3161		
22/07/2023	05:55:00	27.28	27.28	27.27	27.27	4886		
22/07/2023	06:00:00	27.27	27.28	27.27	27.27	16445		
22/07/2023	06:05:00	27.27	27.28	27.27	27.28	2171		
22/07/2023	06:10:00	27.28	27.28	27.27	27.28	2506		
22/07/2023	06:15:00	27.27	27.28	27.27	27.27	4023		
22/07/2023	06:20:00	27.27	27.28	27.27	27.27	18580		
22/07/2023	06:25:00	27.28	27.28	27.27	27.28	3448		
22/07/2023	06:30:00	27.28	27.28	27.27	27.28	5447		
22/07/2023	06:35:00	27.27	27.28	27.27	27.28	6147		
22/07/2023	06:40:00	27.28	27.28	27.27	27.27	25428		
22/07/2023	06:45:00	27.27	27.28	27.27	27.27	17648		
22/07/2023	06:50:00	27.28	27.28	27.26	27.26	78671		
22/07/2023	06:55:00	27.26	27.27	27.26	27.26	7021		
22/07/2023	07:00:00	27.27	27.27	27.26	27.26	12559		
22/07/2023	07:05:00	27.26	27.27	27.26	27.26	9891		
22/07/2023	07:10:00	27.26	27.27	27.26	27.26	6665		
22/07/2023	07:15:00	27.26	27.27	27.26	27.26	5687		
22/07/2023	07:20:00	27.27	27.29	27.26	27.28	41669		
22/07/2023	07:25:00	27.28	27.29	27.28	27.29	5743		
22/07/2023	07:30:00	27.29	27.29	27.27	27.28	63843		
22/07/2023	07:35:00	27.28	27.28	27.27	27.27	6912		
22/07/2023	07:40:00	27.27	27.28	27.26	27.27	40467		
22/07/2023	07:45:00	27.27	27.27	27.26	27.27	27842		
22/07/2023	07:50:00	27.27	27.27	27.26	27.27	7292		
22/07/2023	07:55:00	27.26	27.27	27.26	27.27	3449		
22/07/2023	08:00:00	27.27	27.27	27.26	27.26	4796		
22/07/2023	08:05:00	27.27	27.27	27.26	27.26	7303		
22/07/2023	08:10:00	27.26	27.27	27.26	27.27	5915		
22/07/2023	08:15:00	27.26	27.27	27.26	27.26	11060		
22/07/2023	08:20:00	27.26	27.27	27.26	27.26	11531		
22/07/2023	08:25:00	27.26	27.27	27.26	27.26	11800		
22/07/2023	08:30:00	27.26	27.27	27.26	27.26	8079		
22/07/2023	08:35:00	27.27	27.27	27.26	27.26	17655		
22/07/2023	08:40:00	27.26	27.27	27.26	27.26	45652		
22/07/2023	08:45:00	27.26	27.27	27.25	27.26	68403		
22/07/2023	08:50:00	27.26	27.27	27.26	27.27	11119		
22/07/2023	08:55:00	27.27	27.27	27.26	27.27	4793		
22/07/2023	09:00:00	27.26	27.27	27.26	27.27	34596		
22/07/2023	09:05:00	27.27	27.28	27.26	27.27	20687		
22/07/2023	09:10:00	27.28	27.28	27.27	27.28	8995		
22/07/2023	09:15:00	27.28	27.28	27.27	27.28	24277		
22/07/2023	09:20:00	27.28	27.28	27.27	27.28	40076		
22/07/2023	09:25:00	27.28	27.28	27.27	27.28	52487		
22/07/2023	09:30:00	27.28	27.28	27.27	27.27	17024		
22/07/2023	09:35:00	27.28	27.28	27.27	27.28	14148		
22/07/2023	09:40:00	27.28	27.28	27.27	27.28	23994		
22/07/2023	09:45:00	27.27	27.29	27.27	27.28	33410		
22/07/2023	09:50:00	27.28	27.29	27.27	27.28	33476		
22/07/2023	09:55:00	27.29	27.29	27.28	27.28	19403		
22/07/2023	10:00:00	27.29	27.3	27.28	27.3	69392		
22/07/2023	10:05:00	27.3	27.3	27.28	27.3	33356		
22/07/2023	10:10:00	27.29	27.3	27.29	27.3	53144		
22/07/2023	10:15:00	27.3	27.3	27.29	27.3	36744		
22/07/2023	10:20:00	27.3	27.31	27.29	27.3	29539		
22/07/2023	10:25:00	27.31	27.31	27.29	27.29	42092		
22/07/2023	10:30:00	27.3	27.31	27.3	27.3	11157		
22/07/2023	10:35:00	27.3	27.31	27.3	27.31	15479		
22/07/2023	10:40:00	27.3	27.3	27.29	27.3	14439		
22/07/2023	10:45:00	27.3	27.3	27.29	27.3	16517		
22/07/2023	10:50:00	27.29	27.3	27.29	27.3	39794		
22/07/2023	10:55:00	27.3	27.31	27.3	27.3	31937		
22/07/2023	11:00:00	27.3	27.31	27.3	27.3	12689		
22/07/2023	11:05:00	27.3	27.31	27.29	27.29	8209		
22/07/2023	11:10:00	27.29	27.3	27.29	27.29	6828		
22/07/2023	11:15:00	27.29	27.3	27.29	27.29	10136		
22/07/2023	11:20:00	27.29	27.3	27.29	27.29	9310		
22/07/2023	11:25:00	27.29	27.3	27.29	27.29	8960		
22/07/2023	11:30:00	27.29	27.3	27.28	27.29	11943		
22/07/2023	11:35:00	27.29	27.29	27.28	27.28	14186		
22/07/2023	11:40:00	27.28	27.29	27.28	27.28	2007		
22/07/2023	11:45:00	27.29	27.29	27.28	27.28	12777		
