Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
22/07/2023	00:00:00	0.0793	0.0794	0.0792	0.0793	135147		
22/07/2023	00:05:00	0.0792	0.0793	0.0791	0.0792	135952		
22/07/2023	00:10:00	0.0792	0.0793	0.0791	0.0793	24953		
22/07/2023	00:15:00	0.0793	0.0794	0.0793	0.0794	2615		
22/07/2023	00:20:00	0.0794	0.0795	0.0794	0.0795	66982		
22/07/2023	00:25:00	0.0794	0.0795	0.0794	0.0794	58368		
22/07/2023	00:30:00	0.0793	0.0794	0.0793	0.0794	10919		
22/07/2023	00:35:00	0.0793	0.0796	0.0793	0.0795	144674		
22/07/2023	00:40:00	0.0795	0.0795	0.0795	0.0795	30307		
22/07/2023	00:45:00	0.0795	0.0795	0.0793	0.0794	205527		
22/07/2023	00:50:00	0.0794	0.0797	0.0794	0.0796	66518		
22/07/2023	00:55:00	0.0795	0.0796	0.0795	0.0796	8237		
22/07/2023	01:00:00	0.0796	0.0797	0.0795	0.0795	116514		
22/07/2023	01:05:00	0.0795	0.0795	0.0793	0.0795	313038		
22/07/2023	01:10:00	0.0795	0.0796	0.0794	0.0796	120913		
22/07/2023	01:15:00	0.0795	0.0796	0.0794	0.0796	96913		
22/07/2023	01:20:00	0.0796	0.0797	0.0795	0.0795	53078		
22/07/2023	01:25:00	0.0796	0.0797	0.0796	0.0796	77513		
22/07/2023	01:30:00	0.0796	0.0796	0.0793	0.0793	73735		
22/07/2023	01:35:00	0.0793	0.0793	0.0792	0.0793	170188		
22/07/2023	01:40:00	0.0793	0.0793	0.0793	0.0793	16896		
22/07/2023	01:45:00	0.0793	0.0794	0.0793	0.0793	98996		
22/07/2023	01:50:00	0.0793	0.0793	0.0792	0.0792	11847		
22/07/2023	01:55:00	0.0792	0.0793	0.0791	0.0791	47041		
22/07/2023	02:00:00	0.0792	0.0793	0.079	0.079	152893		
22/07/2023	02:05:00	0.079	0.0791	0.079	0.0791	12581		
22/07/2023	02:10:00	0.0791	0.0792	0.0791	0.0791	16090		
22/07/2023	02:15:00	0.0792	0.0793	0.0791	0.0793	45077		
22/07/2023	02:20:00	0.0793	0.0794	0.0793	0.0793	91997		
22/07/2023	02:25:00	0.0793	0.0793	0.0792	0.0792	16113		
22/07/2023	02:30:00	0.0793	0.0793	0.0793	0.0793	15100		
22/07/2023	02:35:00	0.0793	0.0793	0.0793	0.0793	1599		
22/07/2023	02:40:00	0.0793	0.0794	0.0793	0.0794	395026		
22/07/2023	02:45:00	0.0794	0.0794	0.0794	0.0794	57576		
22/07/2023	02:50:00	0.0795	0.0795	0.0794	0.0795	93455		
22/07/2023	02:55:00	0.0795	0.0796	0.0793	0.0794	75193		
22/07/2023	03:00:00	0.0794	0.0794	0.0793	0.0793	74846		
22/07/2023	03:05:00	0.0793	0.0793	0.0792	0.0792	18211		
22/07/2023	03:10:00	0.0792	0.0792	0.0791	0.0792	301826		
22/07/2023	03:15:00	0.0793	0.0794	0.0793	0.0794	56931		
22/07/2023	03:20:00	0.0795	0.0795	0.0795	0.0795	104319		
22/07/2023	03:25:00	0.0795	0.0796	0.0794	0.0796	166531		
22/07/2023	03:30:00	0.0796	0.0796	0.0794	0.0794	16610		
22/07/2023	03:35:00	0.0795	0.0796	0.0795	0.0796	64285		
22/07/2023	03:40:00	0.0797	0.0797	0.0796	0.0796	32986		
22/07/2023	03:45:00	0.0796	0.0797	0.0796	0.0797	92457		
22/07/2023	03:50:00	0.0797	0.0798	0.0797	0.0798	132772		
22/07/2023	03:55:00	0.0797	0.0798	0.0795	0.0795	96797		
22/07/2023	04:00:00	0.0796	0.0796	0.0794	0.0794	27426		
22/07/2023	04:05:00	0.0795	0.0795	0.0795	0.0795	20287		
22/07/2023	04:10:00	0.0795	0.0795	0.0794	0.0794	44497		
22/07/2023	04:15:00	0.0795	0.0796	0.0795	0.0796	24616		
22/07/2023	04:20:00	0.0796	0.0797	0.0796	0.0796	33548		
22/07/2023	04:25:00	0.0796	0.0797	0.0796	0.0796	58797		
22/07/2023	04:30:00	0.0796	0.0796	0.0796	0.0796	0		
22/07/2023	04:35:00	0.0797	0.0797	0.0796	0.0796	41285		
22/07/2023	04:40:00	0.0796	0.0796	0.0795	0.0795	5118		
22/07/2023	04:45:00	0.0796	0.0796	0.0794	0.0794	123612		
22/07/2023	04:50:00	0.0794	0.0795	0.0792	0.0792	73508		
22/07/2023	04:55:00	0.0793	0.0794	0.0793	0.0793	16536		
22/07/2023	05:00:00	0.0794	0.0795	0.0792	0.0792	20530		
22/07/2023	05:05:00	0.0793	0.0793	0.0792	0.0792	65910		
22/07/2023	05:10:00	0.0792	0.0792	0.0791	0.0791	86338		
22/07/2023	05:15:00	0.0792	0.0792	0.0792	0.0792	12751		
22/07/2023	05:20:00	0.0792	0.0793	0.0792	0.0792	86640		
22/07/2023	05:25:00	0.0793	0.0793	0.0791	0.0792	174990		
22/07/2023	05:30:00	0.0792	0.0792	0.0792	0.0792	15462		
22/07/2023	05:35:00	0.0793	0.0793	0.0793	0.0793	2063		
22/07/2023	05:40:00	0.0792	0.0793	0.0792	0.0793	12649		
22/07/2023	05:45:00	0.0792	0.0792	0.0792	0.0792	4365		
22/07/2023	05:50:00	0.0793	0.0793	0.0792	0.0793	16022		
22/07/2023	05:55:00	0.0794	0.0794	0.0792	0.0792	10981		
22/07/2023	06:00:00	0.0792	0.0794	0.0792	0.0793	80685		
22/07/2023	06:05:00	0.0792	0.0792	0.0791	0.0792	73040		
22/07/2023	06:10:00	0.0793	0.0793	0.0792	0.0792	14999		
22/07/2023	06:15:00	0.0792	0.0793	0.0792	0.0792	25394		
22/07/2023	06:20:00	0.0792	0.0793	0.0791	0.0792	34333		
22/07/2023	06:25:00	0.0792	0.0792	0.0791	0.0791	1131		
22/07/2023	06:30:00	0.0792	0.0792	0.0791	0.0791	16695		
22/07/2023	06:35:00	0.0791	0.0792	0.0791	0.0792	12741		
22/07/2023	06:40:00	0.0791	0.0792	0.0791	0.0792	7301		
22/07/2023	06:45:00	0.0792	0.0793	0.0792	0.0792	71334		
22/07/2023	06:50:00	0.0792	0.0793	0.0792	0.0792	23776		
22/07/2023	06:55:00	0.0793	0.0793	0.0792	0.0792	11263		
22/07/2023	07:00:00	0.0792	0.0792	0.0792	0.0792	45380		
22/07/2023	07:05:00	0.0792	0.0792	0.0791	0.0792	20444		
22/07/2023	07:10:00	0.0792	0.0792	0.0792	0.0792	178321		
22/07/2023	07:15:00	0.0792	0.0792	0.079	0.079	26069		
22/07/2023	07:20:00	0.079	0.0791	0.079	0.079	101234		
22/07/2023	07:25:00	0.0791	0.0795	0.0791	0.0794	481855		
22/07/2023	07:30:00	0.0795	0.0795	0.0794	0.0794	90278		
22/07/2023	07:35:00	0.0794	0.0795	0.0793	0.0793	77856		
22/07/2023	07:40:00	0.0794	0.0796	0.0794	0.0796	105846		
22/07/2023	07:45:00	0.0796	0.0796	0.0795	0.0795	27601		
22/07/2023	07:50:00	0.0794	0.0796	0.0794	0.0796	152139		
22/07/2023	07:55:00	0.0796	0.0796	0.0795	0.0795	2892		
22/07/2023	08:00:00	0.0795	0.0796	0.0793	0.0793	368144		
22/07/2023	08:05:00	0.0794	0.0795	0.0793	0.0795	25413		
22/07/2023	08:10:00	0.0794	0.0796	0.0794	0.0796	124563		
22/07/2023	08:15:00	0.0796	0.0796	0.0795	0.0795	41303		
22/07/2023	08:20:00	0.0795	0.0796	0.0795	0.0796	11202		
22/07/2023	08:25:00	0.0795	0.0796	0.0795	0.0795	11783		
22/07/2023	08:30:00	0.0794	0.0795	0.0794	0.0795	58146		
22/07/2023	08:35:00	0.0795	0.0796	0.0795	0.0795	481083		
22/07/2023	08:40:00	0.0795	0.0796	0.0795	0.0796	6072		
22/07/2023	08:45:00	0.0797	0.0797	0.0794	0.0795	76300		
22/07/2023	08:50:00	0.0795	0.0796	0.0795	0.0795	18498		
22/07/2023	08:55:00	0.0796	0.0796	0.0795	0.0796	20457		
22/07/2023	09:00:00	0.0796	0.0796	0.0794	0.0794	16493		
22/07/2023	09:05:00	0.0794	0.0796	0.0794	0.0795	25100		
22/07/2023	09:10:00	0.0796	0.0796	0.0795	0.0795	49393		
22/07/2023	09:15:00	0.0795	0.0795	0.0795	0.0795	243492		
22/07/2023	09:20:00	0.0795	0.0795	0.0794	0.0795	28893		
22/07/2023	09:25:00	0.0795	0.0796	0.0795	0.0796	6284		
22/07/2023	09:30:00	0.0796	0.0796	0.0794	0.0794	122684		
22/07/2023	09:35:00	0.0795	0.0796	0.0795	0.0796	30880		
