Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
14/03/2023	00:00:00	1.5232	1.5235	1.504	1.5049	71197		
14/03/2023	00:05:00	1.5048	1.5057	1.4933	1.4987	45666		
14/03/2023	00:10:00	1.4989	1.5001	1.4819	1.4863	36334		
14/03/2023	00:15:00	1.4863	1.5003	1.4862	1.4984	42196		
14/03/2023	00:20:00	1.4998	1.505	1.4986	1.5041	18862		
14/03/2023	00:25:00	1.5019	1.5064	1.4988	1.5025	29879		
14/03/2023	00:30:00	1.5025	1.5155	1.5025	1.5086	36847		
14/03/2023	00:35:00	1.5075	1.5116	1.5044	1.5081	33471		
14/03/2023	00:40:00	1.5082	1.512	1.5043	1.5054	29728		
14/03/2023	00:45:00	1.5053	1.5126	1.5	1.5072	29452		
14/03/2023	00:50:00	1.5078	1.5106	1.5008	1.5028	22398		
14/03/2023	00:55:00	1.5	1.5	1.4918	1.4934	20135		
14/03/2023	01:00:00	1.4933	1.4968	1.4875	1.4919	25472		
14/03/2023	01:05:00	1.4919	1.4964	1.4915	1.4925	11326		
14/03/2023	01:10:00	1.4926	1.4964	1.4897	1.4904	14056		
14/03/2023	01:15:00	1.49	1.4997	1.4898	1.4995	9697		
14/03/2023	01:20:00	1.4995	1.5051	1.4994	1.4994	11510		
14/03/2023	01:25:00	1.5002	1.5073	1.5002	1.5073	31765		
14/03/2023	01:30:00	1.5061	1.5061	1.5012	1.5023	13621		
14/03/2023	01:35:00	1.5021	1.5048	1.4983	1.5027	10950		
14/03/2023	01:40:00	1.5019	1.5056	1.498	1.5056	14450		
14/03/2023	01:45:00	1.5056	1.5092	1.5031	1.5065	27405		
14/03/2023	01:50:00	1.506	1.51	1.5059	1.5063	9888		
14/03/2023	01:55:00	1.5063	1.5078	1.503	1.5069	9013		
14/03/2023	02:00:00	1.507	1.5132	1.5057	1.5117	29943		
14/03/2023	02:05:00	1.511	1.5141	1.509	1.5122	16112		
14/03/2023	02:10:00	1.5121	1.5212	1.5104	1.515	46968		
14/03/2023	02:15:00	1.5151	1.5586	1.5138	1.5284	223673		
14/03/2023	02:20:00	1.5278	1.5386	1.5228	1.5363	60732		
14/03/2023	02:25:00	1.5342	1.5516	1.5274	1.5284	117728		
14/03/2023	02:30:00	1.5273	1.5535	1.5233	1.5497	73571		
14/03/2023	02:35:00	1.5496	1.5496	1.5302	1.5318	45505		
14/03/2023	02:40:00	1.5317	1.5335	1.5224	1.5246	32676		
14/03/2023	02:45:00	1.5243	1.5244	1.5206	1.5206	14682		
14/03/2023	02:50:00	1.5216	1.53	1.521	1.529	8221		
14/03/2023	02:55:00	1.5288	1.5302	1.5244	1.5274	21135		
14/03/2023	03:00:00	1.5262	1.5262	1.5107	1.5132	29687		
14/03/2023	03:05:00	1.5141	1.5192	1.5141	1.5172	5240		
14/03/2023	03:10:00	1.5179	1.5235	1.517	1.517	4624		
14/03/2023	03:15:00	1.5176	1.523	1.5176	1.5201	6451		
14/03/2023	03:20:00	1.5219	1.5227	1.5121	1.5139	11934		
14/03/2023	03:25:00	1.5138	1.5188	1.5138	1.5169	3706		
14/03/2023	03:30:00	1.5183	1.5282	1.5172	1.5266	20090		
14/03/2023	03:35:00	1.5278	1.5354	1.5277	1.5354	30930		
14/03/2023	03:40:00	1.5347	1.5476	1.5346	1.5464	47890		
14/03/2023	03:45:00	1.5462	1.559	1.5412	1.5566	95432		
14/03/2023	03:50:00	1.556	1.578	1.5503	1.5737	137785		
14/03/2023	03:55:00	1.573	1.6015	1.5631	1.5932	190712		
14/03/2023	04:00:00	1.5919	1.5936	1.575	1.5753	71356		
14/03/2023	04:05:00	1.5745	1.5754	1.5667	1.5735	22955		
14/03/2023	04:10:00	1.5729	1.604	1.5711	1.5978	128251		
14/03/2023	04:15:00	1.5985	1.6215	1.5911	1.6215	285293		
14/03/2023	04:20:00	1.6201	1.6868	1.6189	1.6768	669911		
14/03/2023	04:25:00	1.6764	1.7243	1.674	1.705	441071		
14/03/2023	04:30:00	1.7063	1.75	1.6966	1.743	480525		
14/03/2023	04:35:00	1.7429	1.7434	1.7261	1.7284	197506		
14/03/2023	04:40:00	1.7292	1.7399	1.6989	1.7009	250672		
14/03/2023	04:45:00	1.7006	1.7676	1.6815	1.751	506735		
14/03/2023	04:50:00	1.751	1.7525	1.7249	1.7377	226259		
14/03/2023	04:55:00	1.7377	1.7554	1.7222	1.73	213834		
14/03/2023	05:00:00	1.7291	1.7295	1.7131	1.7186	143201		
14/03/2023	05:05:00	1.719	1.75	1.7156	1.7333	203921		
14/03/2023	05:10:00	1.7307	1.7441	1.7258	1.7298	187121		
14/03/2023	05:15:00	1.7302	1.7339	1.6833	1.685	291180		
14/03/2023	05:20:00	1.6851	1.7178	1.6846	1.6945	127199		
14/03/2023	05:25:00	1.6921	1.7087	1.67	1.6856	146727		
14/03/2023	05:30:00	1.6874	1.7051	1.6874	1.7026	92374		
14/03/2023	05:35:00	1.7015	1.7043	1.6807	1.682	95433		
14/03/2023	05:40:00	1.682	1.6965	1.6749	1.6961	91961		
14/03/2023	05:45:00	1.6961	1.7149	1.6944	1.7	99064		
14/03/2023	05:50:00	1.7004	1.7101	1.6935	1.6964	82667		
14/03/2023	05:55:00	1.6963	1.7227	1.694	1.7124	83489		
14/03/2023	06:00:00	1.7131	1.7131	1.641	1.6563	290010		
14/03/2023	06:05:00	1.6562	1.6596	1.6427	1.6534	149035		
14/03/2023	06:10:00	1.6538	1.6548	1.6388	1.6464	76821		
14/03/2023	06:15:00	1.6463	1.658	1.646	1.6531	77879		
14/03/2023	06:20:00	1.6538	1.6671	1.6522	1.6555	138265		
14/03/2023	06:25:00	1.6565	1.6622	1.6495	1.6551	71694		
14/03/2023	06:30:00	1.6553	1.6593	1.648	1.6585	39449		
14/03/2023	06:35:00	1.6585	1.6585	1.6426	1.6474	44914		
14/03/2023	06:40:00	1.6483	1.65	1.6285	1.638	154335		
14/03/2023	06:45:00	1.6382	1.6435	1.6355	1.6377	31140		
14/03/2023	06:50:00	1.6372	1.6402	1.6342	1.635	19859		
14/03/2023	06:55:00	1.6352	1.6414	1.6289	1.6297	68059		
14/03/2023	07:00:00	1.6294	1.6423	1.6293	1.6375	29351		
14/03/2023	07:05:00	1.6381	1.6393	1.6329	1.6372	17033		
14/03/2023	07:10:00	1.6375	1.6382	1.6216	1.6261	52067		
14/03/2023	07:15:00	1.6254	1.6289	1.6224	1.6278	60004		
14/03/2023	07:20:00	1.6278	1.641	1.6254	1.6362	55607		
14/03/2023	07:25:00	1.6353	1.6353	1.6142	1.6145	72887		
