Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
14/03/2023	00:00:00	44.79	44.83	44.57	44.61	163.484		
14/03/2023	00:05:00	44.53	44.79	44.4	44.77	241.24		
14/03/2023	00:10:00	44.65	44.96	44.65	44.75	463.112		
14/03/2023	00:15:00	44.74	44.99	44.62	44.98	827.49		
14/03/2023	00:20:00	44.95	45.1	44.81	45.03	367.743		
14/03/2023	00:25:00	45.0	45.02	44.84	44.91	651.906		
14/03/2023	00:30:00	44.88	45.05	44.82	44.82	211.115		
14/03/2023	00:35:00	44.8	44.92	44.74	44.76	402.556		
14/03/2023	00:40:00	44.83	44.89	44.58	44.6	144.273		
14/03/2023	00:45:00	44.56	44.9	44.46	44.77	252.075		
14/03/2023	00:50:00	44.75	44.75	44.52	44.52	129.314		
14/03/2023	00:55:00	44.52	44.52	44.17	44.29	314.404		
14/03/2023	01:00:00	44.3	44.38	44.24	44.38	220.634		
14/03/2023	01:05:00	44.36	44.51	44.36	44.41	218.399		
14/03/2023	01:10:00	44.45	44.53	44.31	44.31	155.817		
14/03/2023	01:15:00	44.38	44.56	44.38	44.55	54.872		
14/03/2023	01:20:00	44.53	44.63	44.5	44.5	106.222		
14/03/2023	01:25:00	44.48	44.56	44.36	44.55	245.423		
14/03/2023	01:30:00	44.56	44.56	44.33	44.45	249.82		
14/03/2023	01:35:00	44.44	44.5	44.37	44.49	102.123		
14/03/2023	01:40:00	44.48	44.62	44.39	44.58	284.998		
14/03/2023	01:45:00	44.58	44.69	44.42	44.42	436.584		
14/03/2023	01:50:00	44.42	44.48	44.24	44.25	418.941		
14/03/2023	01:55:00	44.25	44.36	44.07	44.36	921.225		
14/03/2023	02:00:00	44.38	44.78	44.38	44.66	939.199		
14/03/2023	02:05:00	44.64	44.64	44.44	44.5	496.793		
14/03/2023	02:10:00	44.47	44.47	44.26	44.28	459.625		
14/03/2023	02:15:00	44.29	44.34	44.23	44.28	220.125		
14/03/2023	02:20:00	44.3	44.36	44.28	44.31	58.268		
14/03/2023	02:25:00	44.24	44.25	44.12	44.19	102.173		
14/03/2023	02:30:00	44.19	44.35	44.11	44.35	105.685		
14/03/2023	02:35:00	44.36	44.36	44.23	44.26	92.279		
14/03/2023	02:40:00	44.23	44.29	44.17	44.17	88.55		
14/03/2023	02:45:00	44.18	44.22	44.09	44.12	242.379		
14/03/2023	02:50:00	44.12	44.18	43.96	43.99	150.434		
14/03/2023	02:55:00	44.09	44.15	44.03	44.08	98.693		
14/03/2023	03:00:00	44.1	44.22	44.07	44.07	135.496		
14/03/2023	03:05:00	44.1	44.29	44.1	44.19	1445.067		
14/03/2023	03:10:00	44.2	44.27	44.14	44.15	92.603		
14/03/2023	03:15:00	44.19	44.33	44.18	44.29	97.677		
14/03/2023	03:20:00	44.26	44.27	44.17	44.18	308.51		
14/03/2023	03:25:00	44.18	44.32	44.15	44.31	138.18		
14/03/2023	03:30:00	44.33	44.35	44.26	44.31	183.678		
14/03/2023	03:35:00	44.32	44.43	44.27	44.39	74.454		
14/03/2023	03:40:00	44.4	44.46	44.37	44.38	108.34		
14/03/2023	03:45:00	44.37	44.37	44.31	44.34	78.331		
14/03/2023	03:50:00	44.3	44.38	44.25	44.38	194.092		
14/03/2023	03:55:00	44.39	44.49	44.35	44.45	203.673		
14/03/2023	04:00:00	44.45	44.45	44.35	44.37	265.31		
14/03/2023	04:05:00	44.35	44.35	44.12	44.22	1235.041		
14/03/2023	04:10:00	44.22	44.24	44.18	44.21	110.367		
14/03/2023	04:15:00	44.19	44.19	44.11	44.11	81.014		
14/03/2023	04:20:00	44.09	44.12	44.06	44.08	119.965		
14/03/2023	04:25:00	44.1	44.12	44.03	44.03	52.924		
14/03/2023	04:30:00	44.02	44.09	43.95	44.04	127.391		
14/03/2023	04:35:00	44.05	44.13	44.05	44.1	38.573		
14/03/2023	04:40:00	44.13	44.13	43.93	43.94	185.467		
14/03/2023	04:45:00	43.97	44.13	43.97	44.09	60.53		
14/03/2023	04:50:00	44.12	44.14	44.03	44.05	92.762		
14/03/2023	04:55:00	44.09	44.13	44.07	44.1	57.39		
14/03/2023	05:00:00	44.08	44.12	44.04	44.07	97.552		
14/03/2023	05:05:00	44.04	44.07	43.98	44.0	132.717		
14/03/2023	05:10:00	44.0	44.56	44.0	44.46	1191.217		
14/03/2023	05:15:00	44.51	44.54	43.88	43.96	565.382		
14/03/2023	05:20:00	43.94	44.04	43.84	43.89	189.616		
14/03/2023	05:25:00	43.9	43.99	43.7	43.99	270.021		
14/03/2023	05:30:00	44.0	44.26	43.96	43.96	294.248		
14/03/2023	05:35:00	43.95	44.08	43.84	43.84	97.193		
14/03/2023	05:40:00	43.87	43.87	43.73	43.75	323.896		
14/03/2023	05:45:00	43.8	44.02	43.8	44.02	95.922		
14/03/2023	05:50:00	44.0	44.03	43.77	43.8	173.587		
14/03/2023	05:55:00	43.8	44.01	43.75	44.01	87.429		
14/03/2023	06:00:00	44.02	44.18	44.02	44.18	109.054		
14/03/2023	06:05:00	44.19	44.27	44.12	44.23	63.149		
14/03/2023	06:10:00	44.22	44.22	43.91	43.91	104.678		
14/03/2023	06:15:00	43.99	44.11	43.98	43.98	156.107		
14/03/2023	06:20:00	44.06	44.12	44.06	44.1	97.215		
14/03/2023	06:25:00	44.11	44.16	43.98	44.01	154.045		
