Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
14/03/2023	00:00:00	0.1376	0.1376	0.1367	0.1367	40877		
14/03/2023	00:05:00	0.1366	0.1369	0.1361	0.1368	27705		
14/03/2023	00:10:00	0.1368	0.1373	0.1366	0.1367	31386		
14/03/2023	00:15:00	0.1367	0.1372	0.1366	0.1372	21636		
14/03/2023	00:20:00	0.137	0.1375	0.1369	0.1374	17335		
14/03/2023	00:25:00	0.1373	0.1373	0.1368	0.1371	52797		
14/03/2023	00:30:00	0.1371	0.1376	0.1369	0.1372	28693		
14/03/2023	00:35:00	0.1371	0.1375	0.137	0.1371	16117		
14/03/2023	00:40:00	0.1373	0.1374	0.1366	0.1366	26189		
14/03/2023	00:45:00	0.1366	0.1373	0.1365	0.1371	35215		
14/03/2023	00:50:00	0.1371	0.1371	0.1366	0.1366	21142		
14/03/2023	00:55:00	0.1366	0.1366	0.136	0.136	41705		
14/03/2023	01:00:00	0.1359	0.1361	0.1357	0.1361	14747		
14/03/2023	01:05:00	0.136	0.1364	0.136	0.1362	19953		
14/03/2023	01:10:00	0.1362	0.1363	0.1357	0.1358	19831		
14/03/2023	01:15:00	0.1358	0.1365	0.1358	0.1365	22839		
14/03/2023	01:20:00	0.1365	0.1366	0.1362	0.1362	30919		
14/03/2023	01:25:00	0.1362	0.1365	0.136	0.1365	21045		
14/03/2023	01:30:00	0.1363	0.1364	0.1361	0.1364	4823		
14/03/2023	01:35:00	0.1364	0.1364	0.1361	0.1364	9224		
14/03/2023	01:40:00	0.1363	0.1367	0.1362	0.1366	10292		
14/03/2023	01:45:00	0.1368	0.1369	0.1364	0.1364	20146		
14/03/2023	01:50:00	0.1365	0.1366	0.1363	0.1363	13746		
14/03/2023	01:55:00	0.1363	0.1364	0.136	0.1363	29363		
14/03/2023	02:00:00	0.1364	0.137	0.1364	0.1369	69911		
14/03/2023	02:05:00	0.1368	0.1368	0.1364	0.1364	18343		
14/03/2023	02:10:00	0.1363	0.1363	0.1362	0.1363	3603		
14/03/2023	02:15:00	0.1363	0.1363	0.1361	0.1362	24399		
14/03/2023	02:20:00	0.1362	0.1363	0.1362	0.1363	3063		
14/03/2023	02:25:00	0.1362	0.1362	0.1356	0.1356	28664		
14/03/2023	02:30:00	0.1358	0.1365	0.1358	0.1364	42492		
14/03/2023	02:35:00	0.1366	0.1366	0.1364	0.1364	6431		
14/03/2023	02:40:00	0.1364	0.1365	0.1363	0.1364	12212		
14/03/2023	02:45:00	0.1364	0.1364	0.1361	0.1361	16850		
14/03/2023	02:50:00	0.1362	0.1362	0.1361	0.1361	3792		
14/03/2023	02:55:00	0.1361	0.1362	0.1361	0.1362	7346		
14/03/2023	03:00:00	0.1362	0.1366	0.1362	0.1362	19990		
14/03/2023	03:05:00	0.1362	0.1364	0.1362	0.1362	4379		
14/03/2023	03:10:00	0.1363	0.1363	0.1361	0.1361	4973		
14/03/2023	03:15:00	0.1362	0.1364	0.1362	0.1362	35992		
14/03/2023	03:20:00	0.1362	0.1362	0.1361	0.1361	9682		
14/03/2023	03:25:00	0.136	0.1362	0.1358	0.1362	20576		
14/03/2023	03:30:00	0.1363	0.1367	0.1363	0.1366	4746		
14/03/2023	03:35:00	0.1366	0.1368	0.1366	0.1368	15576		
14/03/2023	03:40:00	0.1369	0.1369	0.1369	0.1369	965		
14/03/2023	03:45:00	0.1369	0.137	0.1369	0.137	769		
14/03/2023	03:50:00	0.137	0.137	0.1368	0.1369	1988		
14/03/2023	03:55:00	0.137	0.1372	0.137	0.1371	8327		
14/03/2023	04:00:00	0.1371	0.1372	0.1369	0.1371	7295		
14/03/2023	04:05:00	0.1369	0.1369	0.1367	0.1367	7414		
14/03/2023	04:10:00	0.1368	0.1368	0.1368	0.1368	506		
14/03/2023	04:15:00	0.1367	0.1367	0.1365	0.1365	11307		
14/03/2023	04:20:00	0.1364	0.1367	0.1363	0.1367	22822		
14/03/2023	04:25:00	0.1366	0.1366	0.1365	0.1365	3524		
14/03/2023	04:30:00	0.1364	0.1366	0.1362	0.1366	15132		
14/03/2023	04:35:00	0.1367	0.1368	0.1367	0.1368	4364		
14/03/2023	04:40:00	0.1366	0.1366	0.1363	0.1364	21257		
14/03/2023	04:45:00	0.1364	0.1366	0.1364	0.1366	6758		
14/03/2023	04:50:00	0.1366	0.1367	0.1366	0.1367	11239		
14/03/2023	04:55:00	0.1365	0.1369	0.1365	0.1369	7616		
14/03/2023	05:00:00	0.1369	0.1373	0.1369	0.1373	11877		
14/03/2023	05:05:00	0.1372	0.1373	0.1371	0.1371	16781		
14/03/2023	05:10:00	0.1371	0.1383	0.1371	0.1382	66130		
14/03/2023	05:15:00	0.1382	0.1382	0.1366	0.1366	60665		
14/03/2023	05:20:00	0.1367	0.1367	0.1363	0.1364	5469		
14/03/2023	05:25:00	0.1364	0.137	0.1358	0.1366	46557		
14/03/2023	05:30:00	0.1368	0.1378	0.1368	0.1371	29125		
14/03/2023	05:35:00	0.1371	0.1373	0.1365	0.1366	10611		
14/03/2023	05:40:00	0.1365	0.1367	0.1364	0.1365	8204		
14/03/2023	05:45:00	0.1366	0.1371	0.1366	0.1369	6961		
14/03/2023	05:50:00	0.137	0.137	0.1364	0.1364	10894		
14/03/2023	05:55:00	0.1364	0.1369	0.1362	0.1369	5701		
14/03/2023	06:00:00	0.1369	0.1374	0.1369	0.1374	13894		
14/03/2023	06:05:00	0.1374	0.1379	0.1374	0.1379	28467		
14/03/2023	06:10:00	0.1379	0.1379	0.1368	0.1369	38554		
14/03/2023	06:15:00	0.1369	0.1372	0.1369	0.137	39626		
14/03/2023	06:20:00	0.137	0.1377	0.137	0.1375	78807		
14/03/2023	06:25:00	0.1377	0.1383	0.1374	0.1381	70151		
14/03/2023	06:30:00	0.138	0.138	0.1374	0.1374	3595		
14/03/2023	06:35:00	0.1375	0.1375	0.137	0.1372	9446		
14/03/2023	06:40:00	0.1371	0.1371	0.137	0.137	2772		
14/03/2023	06:45:00	0.137	0.1374	0.137	0.1374	5451		
14/03/2023	06:50:00	0.1373	0.1382	0.1371	0.1379	265613		
14/03/2023	06:55:00	0.1378	0.1382	0.1377	0.138	18051		
14/03/2023	07:00:00	0.1378	0.138	0.1375	0.138	12712		
14/03/2023	07:05:00	0.1381	0.1387	0.1375	0.1381	69923		
14/03/2023	07:10:00	0.1382	0.1382	0.1376	0.1376	16645		
14/03/2023	07:15:00	0.1376	0.1376	0.1373	0.1374	24011		
14/03/2023	07:20:00	0.1375	0.1377	0.137	0.1377	66638		
14/03/2023	07:25:00	0.1376	0.1376	0.1365	0.1365	57944		
14/03/2023	07:30:00	0.1366	0.1369	0.1365	0.1367	12512		
14/03/2023	07:35:00	0.1368	0.1368	0.136	0.1362	197035		
14/03/2023	07:40:00	0.1362	0.1364	0.1358	0.1358	13821		
14/03/2023	07:45:00	0.1359	0.136	0.135	0.1351	76037		
14/03/2023	07:50:00	0.1352	0.1355	0.1352	0.1355	22465		
14/03/2023	07:55:00	0.1356	0.1358	0.1354	0.1354	18206		
14/03/2023	08:00:00	0.1354	0.1356	0.135	0.135	21993		
14/03/2023	08:05:00	0.1349	0.1349	0.1345	0.1346	51032		
14/03/2023	08:10:00	0.1345	0.1345	0.1338	0.1339	37989		
14/03/2023	08:15:00	0.1339	0.1348	0.1338	0.1348	63315		
14/03/2023	08:20:00	0.135	0.135	0.1347	0.135	6101		
14/03/2023	08:25:00	0.1349	0.135	0.1349	0.135	4041		
14/03/2023	08:30:00	0.1352	0.1357	0.1352	0.1357	58737		
14/03/2023	08:35:00	0.1356	0.1359	0.1356	0.1359	4908		
14/03/2023	08:40:00	0.1357	0.1357	0.1354	0.1354	46733		
14/03/2023	08:45:00	0.1353	0.1357	0.1352	0.1355	12305		
14/03/2023	08:50:00	0.1355	0.1357	0.1355	0.1355	2668		
14/03/2023	08:55:00	0.1358	0.1358	0.1353	0.1353	3510		
14/03/2023	09:00:00	0.1354	0.1354	0.1348	0.1349	3112		
14/03/2023	09:05:00	0.135	0.1353	0.1349	0.135	10744		
14/03/2023	09:10:00	0.1349	0.1352	0.1345	0.1349	42557		
14/03/2023	09:15:00	0.1353	0.1355	0.1349	0.1349	4797		
14/03/2023	09:20:00	0.1348	0.1349	0.1347	0.1347	1678		
14/03/2023	09:25:00	0.1348	0.1351	0.1346	0.1346	18716		
14/03/2023	09:30:00	0.1345	0.1351	0.1344	0.1351	27627		
14/03/2023	09:35:00	0.1353	0.1356	0.1353	0.1356	4536		
14/03/2023	09:40:00	0.1356	0.1356	0.1354	0.1355	5865		
14/03/2023	09:45:00	0.1354	0.1356	0.1353	0.1354	6694		
14/03/2023	09:50:00	0.1354	0.1355	0.1354	0.1354	6027		
14/03/2023	09:55:00	0.1356	0.1357	0.1356	0.1357	6384		
14/03/2023	10:00:00	0.1356	0.1358	0.1356	0.1358	2626		
14/03/2023	10:05:00	0.1357	0.1358	0.1357	0.1357	9235		
14/03/2023	10:10:00	0.1359	0.1359	0.1357	0.1357	19376		
14/03/2023	10:15:00	0.1356	0.136	0.1355	0.136	7479		
14/03/2023	10:20:00	0.1358	0.1361	0.1358	0.136	2525		
14/03/2023	10:25:00	0.1359	0.136	0.1358	0.1358	3790		
14/03/2023	10:30:00	0.1357	0.136	0.1357	0.1359	4061		
14/03/2023	10:35:00	0.1358	0.1358	0.1356	0.1356	3764		
14/03/2023	10:40:00	0.1357	0.136	0.1357	0.136	8523		
14/03/2023	10:45:00	0.1357	0.136	0.1355	0.136	26072		
14/03/2023	10:50:00	0.1358	0.1358	0.1357	0.1357	7979		
14/03/2023	10:55:00	0.1357	0.1363	0.1357	0.1363	40537		
14/03/2023	11:00:00	0.1362	0.1362	0.1355	0.1357	148883		
14/03/2023	11:05:00	0.1357	0.1357	0.1355	0.1356	85831		
14/03/2023	11:10:00	0.1357	0.136	0.1357	0.1359	27901		
14/03/2023	11:15:00	0.1358	0.1361	0.1357	0.1359	25003		
14/03/2023	11:20:00	0.1358	0.1358	0.1353	0.1353	52013		
14/03/2023	11:25:00	0.1354	0.1355	0.135	0.1352	58874		
14/03/2023	11:30:00	0.135	0.1351	0.1346	0.1346	77790		
14/03/2023	11:35:00	0.1345	0.1351	0.1345	0.1351	38809		
14/03/2023	11:40:00	0.1352	0.1352	0.135	0.135	39500		
14/03/2023	11:45:00	0.135	0.1352	0.135	0.1352	24694		
14/03/2023	11:50:00	0.1351	0.1352	0.1351	0.1352	6159		
14/03/2023	11:55:00	0.1352	0.1352	0.1349	0.1349	15362		
14/03/2023	12:00:00	0.135	0.1352	0.1346	0.1347	42564		
14/03/2023	12:05:00	0.1346	0.135	0.1346	0.1348	16326		
14/03/2023	12:10:00	0.1349	0.1353	0.1349	0.1353	38891		
14/03/2023	12:15:00	0.1352	0.1353	0.135	0.1351	43802		
14/03/2023	12:20:00	0.1353	0.1353	0.1347	0.1347	106100		
14/03/2023	12:25:00	0.1347	0.1354	0.1346	0.1351	21839		
14/03/2023	12:30:00	0.1348	0.138	0.1346	0.1379	234417		
14/03/2023	12:35:00	0.1377	0.1377	0.1364	0.1377	315017		
14/03/2023	12:40:00	0.1378	0.1401	0.1375	0.1401	263531		
14/03/2023	12:45:00	0.1402	0.1417	0.1393	0.1411	243463		
14/03/2023	12:50:00	0.141	0.1425	0.1404	0.1425	134696		
14/03/2023	12:55:00	0.1426	0.1426	0.142	0.1425	93410		
14/03/2023	13:00:00	0.1422	0.1447	0.1422	0.1443	265072		
14/03/2023	13:05:00	0.1443	0.1443	0.1429	0.1436	63182		
14/03/2023	13:10:00	0.1435	0.1441	0.1433	0.1441	98936		
14/03/2023	13:15:00	0.1442	0.1444	0.1417	0.1417	34698		
14/03/2023	13:20:00	0.1418	0.1426	0.1415	0.1424	143127		
14/03/2023	13:25:00	0.1424	0.1434	0.1421	0.1432	45790		
14/03/2023	13:30:00	0.1432	0.1445	0.1428	0.144	62333		
14/03/2023	13:35:00	0.1442	0.1449	0.144	0.1449	150489		
14/03/2023	13:40:00	0.1448	0.1454	0.1446	0.1452	213920		
14/03/2023	13:45:00	0.145	0.1479	0.145	0.1475	507304		
14/03/2023	13:50:00	0.1475	0.1477	0.1453	0.1457	210225		
14/03/2023	13:55:00	0.1457	0.1474	0.1457	0.1471	39191		
14/03/2023	14:00:00	0.1472	0.1472	0.1455	0.1462	94744		
14/03/2023	14:05:00	0.1463	0.1477	0.146	0.1474	52374		
14/03/2023	14:10:00	0.1473	0.1477	0.1467	0.1475	19332		
14/03/2023	14:15:00	0.1475	0.1479	0.1472	0.1472	13540		
14/03/2023	14:20:00	0.1469	0.1478	0.1464	0.1475	92660		
14/03/2023	14:25:00	0.1476	0.1478	0.1473	0.1478	12702		
14/03/2023	14:30:00	0.1477	0.1479	0.1472	0.1478	92422		
14/03/2023	14:35:00	0.1478	0.1481	0.1461	0.1462	121351		
14/03/2023	14:40:00	0.1462	0.1463	0.1459	0.1462	48641		
14/03/2023	14:45:00	0.1463	0.1475	0.1462	0.1472	87942		
14/03/2023	14:50:00	0.1474	0.148	0.1471	0.1478	38706		
14/03/2023	14:55:00	0.1478	0.1481	0.1471	0.1471	20345		
14/03/2023	15:00:00	0.1472	0.1487	0.1469	0.1484	243997		
14/03/2023	15:05:00	0.1484	0.149	0.1484	0.1488	73014		
14/03/2023	15:10:00	0.149	0.1493	0.1484	0.1493	45101		
14/03/2023	15:15:00	0.1492	0.1499	0.1489	0.149	87260		
