Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
14/03/2023	00:00:00	56.43	56.46	56.15	56.15	1373.865		
14/03/2023	00:05:00	56.08	56.37	55.91	56.35	327.927		
14/03/2023	00:10:00	56.29	56.58	56.18	56.29	1047.205		
14/03/2023	00:15:00	56.25	56.59	56.18	56.55	299.921		
14/03/2023	00:20:00	56.53	56.66	56.34	56.46	1469.317		
14/03/2023	00:25:00	56.47	56.48	56.17	56.17	398.321		
14/03/2023	00:30:00	56.17	56.33	56.11	56.11	614.237		
14/03/2023	00:35:00	56.11	56.33	56.1	56.21	850.182		
14/03/2023	00:40:00	56.27	56.29	55.88	55.94	1320.532		
14/03/2023	00:45:00	55.97	56.44	55.92	56.26	1083.182		
14/03/2023	00:50:00	56.33	56.4	56.16	56.23	1419.461		
14/03/2023	00:55:00	56.11	56.13	55.82	55.91	288.914		
14/03/2023	01:00:00	55.9	56.0	55.64	55.82	346.872		
14/03/2023	01:05:00	55.86	56.1	55.86	55.98	158.128		
14/03/2023	01:10:00	55.99	56.04	55.72	55.83	141.544		
14/03/2023	01:15:00	55.82	56.08	55.82	56.06	213.24		
14/03/2023	01:20:00	56.03	56.14	55.93	55.93	38.026		
14/03/2023	01:25:00	55.83	56.09	55.8	56.06	192.312		
14/03/2023	01:30:00	56.06	56.08	55.89	55.99	326.421		
14/03/2023	01:35:00	55.98	56.19	55.86	56.15	149.668		
14/03/2023	01:40:00	56.15	56.36	56.05	56.34	500.688		
14/03/2023	01:45:00	56.35	56.47	56.22	56.22	410.033		
14/03/2023	01:50:00	56.23	56.33	56.17	56.18	185.82		
14/03/2023	01:55:00	56.21	56.34	56.08	56.14	90.538		
14/03/2023	02:00:00	56.25	56.46	56.19	56.43	563.73		
14/03/2023	02:05:00	56.4	56.4	56.14	56.2	559.862		
14/03/2023	02:10:00	56.15	56.15	56.01	56.06	201.128		
14/03/2023	02:15:00	56.07	56.09	55.9	56.0	1360.043		
14/03/2023	02:20:00	55.98	56.08	55.95	55.95	220.43		
14/03/2023	02:25:00	55.94	55.98	55.77	55.77	317.765		
14/03/2023	02:30:00	55.8	56.07	55.8	56.03	151.75		
14/03/2023	02:35:00	56.01	56.03	55.89	55.89	46.139		
14/03/2023	02:40:00	55.92	55.94	55.82	55.87	69.879		
14/03/2023	02:45:00	55.88	55.9	55.77	55.82	186.965		
14/03/2023	02:50:00	55.79	55.86	55.69	55.69	190.14		
14/03/2023	02:55:00	55.69	55.77	55.67	55.69	122.281		
14/03/2023	03:00:00	55.73	55.83	55.56	55.56	530.626		
14/03/2023	03:05:00	55.56	55.67	55.51	55.57	650.912		
14/03/2023	03:10:00	55.56	55.66	55.41	55.47	579.127		
14/03/2023	03:15:00	55.45	55.61	55.44	55.6	367.357		
14/03/2023	03:20:00	55.6	55.62	55.46	55.46	200.358		
14/03/2023	03:25:00	55.44	55.6	55.26	55.58	1974.734		
