Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
22/07/2023	00:00:00	0.2997	0.2997	0.2997	0.2997	50		
22/07/2023	00:05:00	0.2997	0.2997	0.2997	0.2997	0		
22/07/2023	00:10:00	0.2994	0.2994	0.2994	0.2994	105		
22/07/2023	00:15:00	0.2994	0.2994	0.2994	0.2994	64		
22/07/2023	00:20:00	0.2994	0.2995	0.2994	0.2994	728		
22/07/2023	00:25:00	0.2994	0.2994	0.2994	0.2994	0		
22/07/2023	00:30:00	0.2998	0.2998	0.2998	0.2998	161		
22/07/2023	00:35:00	0.2994	0.2994	0.2979	0.2979	16698		
22/07/2023	00:40:00	0.2979	0.2979	0.2979	0.2979	0		
22/07/2023	00:45:00	0.2983	0.2984	0.2979	0.2984	764		
22/07/2023	00:50:00	0.2984	0.2984	0.2984	0.2984	0		
22/07/2023	00:55:00	0.2982	0.2982	0.2982	0.2982	85		
22/07/2023	01:00:00	0.2981	0.2992	0.2981	0.2989	5723		
22/07/2023	01:05:00	0.299	0.299	0.299	0.299	84		
22/07/2023	01:10:00	0.299	0.299	0.297	0.2982	11617		
22/07/2023	01:15:00	0.2975	0.2976	0.2974	0.2974	5887		
22/07/2023	01:20:00	0.2973	0.2974	0.2971	0.2971	1859		
22/07/2023	01:25:00	0.2971	0.2971	0.2971	0.2971	191		
22/07/2023	01:30:00	0.2971	0.2971	0.2971	0.2971	0		
22/07/2023	01:35:00	0.2971	0.2971	0.2971	0.2971	0		
22/07/2023	01:40:00	0.297	0.2971	0.2969	0.2971	3973		
22/07/2023	01:45:00	0.2969	0.2969	0.2969	0.2969	87		
22/07/2023	01:50:00	0.2969	0.2969	0.2968	0.2968	4695		
22/07/2023	01:55:00	0.2968	0.2968	0.2968	0.2968	0		
22/07/2023	02:00:00	0.2968	0.2968	0.2968	0.2968	164		
22/07/2023	02:05:00	0.2968	0.2968	0.2968	0.2968	0		
22/07/2023	02:10:00	0.2968	0.2968	0.2968	0.2968	0		
22/07/2023	02:15:00	0.297	0.2973	0.297	0.2973	978		
22/07/2023	02:20:00	0.2973	0.2973	0.2973	0.2973	0		
22/07/2023	02:25:00	0.2973	0.2973	0.2973	0.2973	0		
22/07/2023	02:30:00	0.2971	0.2971	0.2971	0.2971	168		
22/07/2023	02:35:00	0.2971	0.2971	0.2971	0.2971	0		
22/07/2023	02:40:00	0.2972	0.2972	0.2967	0.2967	3418		
22/07/2023	02:45:00	0.2972	0.2972	0.2972	0.2972	88		
22/07/2023	02:50:00	0.2972	0.2972	0.2972	0.2972	0		
22/07/2023	02:55:00	0.2966	0.2967	0.2966	0.2967	126		
22/07/2023	03:00:00	0.2967	0.2967	0.2967	0.2967	102		
22/07/2023	03:05:00	0.2967	0.2968	0.2967	0.2968	2534		
