Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
22/07/2023	00:00:00	0.785	0.786	0.785	0.785	18214.7		
22/07/2023	00:05:00	0.785	0.789	0.785	0.787	225066.3		
22/07/2023	00:10:00	0.787	0.787	0.786	0.787	34977.8		
22/07/2023	00:15:00	0.788	0.788	0.788	0.788	24904.7		
22/07/2023	00:20:00	0.788	0.789	0.787	0.787	24895.1		
22/07/2023	00:25:00	0.787	0.787	0.787	0.787	7465.5		
22/07/2023	00:30:00	0.786	0.786	0.786	0.786	23125.5		
22/07/2023	00:35:00	0.786	0.787	0.785	0.786	20886.9		
22/07/2023	00:40:00	0.786	0.787	0.785	0.785	3640.4		
22/07/2023	00:45:00	0.785	0.786	0.783	0.785	44610.4		
22/07/2023	00:50:00	0.785	0.787	0.785	0.786	17136.5		
22/07/2023	00:55:00	0.786	0.788	0.786	0.787	22712.1		
22/07/2023	01:00:00	0.786	0.787	0.785	0.786	39697.3		
22/07/2023	01:05:00	0.786	0.786	0.785	0.785	539.4		
22/07/2023	01:10:00	0.785	0.786	0.785	0.785	39143.1		
22/07/2023	01:15:00	0.786	0.787	0.784	0.785	24288.8		
22/07/2023	01:20:00	0.785	0.786	0.784	0.784	112956.3		
22/07/2023	01:25:00	0.785	0.785	0.784	0.784	16960.4		
22/07/2023	01:30:00	0.784	0.784	0.782	0.782	43952.2		
22/07/2023	01:35:00	0.782	0.783	0.781	0.782	39260.9		
22/07/2023	01:40:00	0.781	0.781	0.78	0.78	57301.8		
22/07/2023	01:45:00	0.78	0.781	0.78	0.78	18156.4		
22/07/2023	01:50:00	0.78	0.781	0.779	0.781	63738.0		
22/07/2023	01:55:00	0.78	0.78	0.779	0.779	51987.3		
22/07/2023	02:00:00	0.779	0.78	0.777	0.778	90826.7		
22/07/2023	02:05:00	0.778	0.78	0.778	0.779	15326.6		
22/07/2023	02:10:00	0.779	0.78	0.778	0.778	229554.7		
22/07/2023	02:15:00	0.778	0.779	0.778	0.779	26832.6		
22/07/2023	02:20:00	0.779	0.781	0.779	0.781	41506.2		
22/07/2023	02:25:00	0.781	0.781	0.78	0.78	58385.6		
22/07/2023	02:30:00	0.78	0.781	0.78	0.781	8686.9		
22/07/2023	02:35:00	0.781	0.782	0.78	0.78	56512.1		
22/07/2023	02:40:00	0.78	0.781	0.78	0.78	6975.8		
22/07/2023	02:45:00	0.781	0.782	0.781	0.782	31488.4		
22/07/2023	02:50:00	0.782	0.782	0.782	0.782	548.6		
22/07/2023	02:55:00	0.782	0.783	0.781	0.782	40223.8		
22/07/2023	03:00:00	0.781	0.782	0.779	0.779	64227.7		
22/07/2023	03:05:00	0.78	0.78	0.779	0.78	16261.8		
22/07/2023	03:10:00	0.78	0.78	0.778	0.778	149977.8		
22/07/2023	03:15:00	0.778	0.78	0.778	0.78	71689.6		
22/07/2023	03:20:00	0.78	0.783	0.78	0.783	90768.7		
22/07/2023	03:25:00	0.782	0.782	0.781	0.782	41635.0		
22/07/2023	03:30:00	0.781	0.782	0.781	0.782	72951.8		
22/07/2023	03:35:00	0.782	0.786	0.782	0.785	70598.3		
22/07/2023	03:40:00	0.784	0.785	0.784	0.785	26080.0		
22/07/2023	03:45:00	0.785	0.788	0.785	0.788	100423.3		
22/07/2023	03:50:00	0.787	0.788	0.787	0.787	74391.7		
22/07/2023	03:55:00	0.787	0.788	0.786	0.787	57807.4		
22/07/2023	04:00:00	0.787	0.787	0.784	0.784	24074.9		
22/07/2023	04:05:00	0.785	0.786	0.785	0.786	16750.1		
22/07/2023	04:10:00	0.786	0.788	0.786	0.788	25002.6		
22/07/2023	04:15:00	0.787	0.788	0.787	0.787	12121.0		
22/07/2023	04:20:00	0.787	0.788	0.787	0.787	4729.8		
22/07/2023	04:25:00	0.787	0.787	0.785	0.785	29628.4		
