Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
22/07/2023	00:00:00	18.75	18.76	18.73	18.73	484.55		
22/07/2023	00:05:00	18.74	18.74	18.71	18.74	290.59		
22/07/2023	00:10:00	18.74	18.75	18.72	18.75	405.65		
22/07/2023	00:15:00	18.76	18.77	18.75	18.77	572.88		
22/07/2023	00:20:00	18.76	18.76	18.75	18.75	196.32		
22/07/2023	00:25:00	18.75	18.75	18.73	18.74	374.03		
22/07/2023	00:30:00	18.75	18.75	18.74	18.75	75.29		
22/07/2023	00:35:00	18.76	18.77	18.75	18.77	817.94		
22/07/2023	00:40:00	18.77	18.77	18.77	18.77	64.19		
22/07/2023	00:45:00	18.78	18.78	18.74	18.77	678.88		
22/07/2023	00:50:00	18.77	18.8	18.77	18.79	369.51		
22/07/2023	00:55:00	18.78	18.8	18.78	18.8	626.21		
22/07/2023	01:00:00	18.8	18.81	18.78	18.78	488.77		
22/07/2023	01:05:00	18.77	18.82	18.77	18.81	698.37		
22/07/2023	01:10:00	18.81	18.84	18.8	18.83	1509.34		
22/07/2023	01:15:00	18.83	18.83	18.8	18.81	1332.57		
22/07/2023	01:20:00	18.8	18.82	18.79	18.81	733.83		
22/07/2023	01:25:00	18.81	18.81	18.78	18.78	460.63		
22/07/2023	01:30:00	18.78	18.78	18.76	18.78	243.98		
22/07/2023	01:35:00	18.77	18.77	18.75	18.75	480.34		
22/07/2023	01:40:00	18.75	18.76	18.74	18.76	245.8		
22/07/2023	01:45:00	18.75	18.77	18.75	18.77	377.76		
22/07/2023	01:50:00	18.76	18.77	18.75	18.75	319.31		
22/07/2023	01:55:00	18.74	18.75	18.74	18.74	105.91		
22/07/2023	02:00:00	18.74	18.75	18.72	18.73	782.9		
22/07/2023	02:05:00	18.73	18.76	18.73	18.76	328.74		
22/07/2023	02:10:00	18.75	18.76	18.75	18.76	28.4		
22/07/2023	02:15:00	18.76	18.76	18.74	18.75	125.66		
22/07/2023	02:20:00	18.74	18.76	18.74	18.76	309.82		
22/07/2023	02:25:00	18.75	18.75	18.74	18.74	614.44		
22/07/2023	02:30:00	18.74	18.76	18.74	18.75	254.63		
22/07/2023	02:35:00	18.76	18.77	18.75	18.77	360.93		
22/07/2023	02:40:00	18.77	18.78	18.76	18.77	66.58		
22/07/2023	02:45:00	18.77	18.79	18.76	18.78	142.63		
22/07/2023	02:50:00	18.79	18.79	18.77	18.79	252.78		
22/07/2023	02:55:00	18.79	18.81	18.78	18.78	735.99		
22/07/2023	03:00:00	18.78	18.79	18.77	18.78	785.05		
22/07/2023	03:05:00	18.78	18.78	18.77	18.77	501.73		
22/07/2023	03:10:00	18.77	18.77	18.75	18.77	669.04		
22/07/2023	03:15:00	18.77	18.8	18.77	18.79	1579.99		
22/07/2023	03:20:00	18.81	18.83	18.81	18.82	2111.65		
22/07/2023	03:25:00	18.82	18.82	18.81	18.82	210.17		
22/07/2023	03:30:00	18.81	18.83	18.8	18.82	3169.48		
22/07/2023	03:35:00	18.82	18.84	18.82	18.83	744.59		
