Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
14/03/2023	00:00:00	4.605	4.61	4.585	4.585	1361.7		
14/03/2023	00:05:00	4.585	4.595	4.57	4.586	984.9		
14/03/2023	00:10:00	4.586	4.592	4.557	4.557	313.86		
14/03/2023	00:15:00	4.562	4.615	4.562	4.615	695.74		
14/03/2023	00:20:00	4.601	4.604	4.601	4.602	96.6		
14/03/2023	00:25:00	4.6	4.611	4.588	4.588	494.6		
14/03/2023	00:30:00	4.605	4.605	4.59	4.59	160.22		
14/03/2023	00:35:00	4.589	4.589	4.577	4.58	69.17		
14/03/2023	00:40:00	4.588	4.588	4.573	4.573	730.3		
14/03/2023	00:45:00	4.572	4.62	4.572	4.619	382.06		
14/03/2023	00:50:00	4.614	4.614	4.596	4.596	113.89		
14/03/2023	00:55:00	4.582	4.582	4.553	4.559	294.31		
14/03/2023	01:00:00	4.563	4.574	4.546	4.56	852.29		
14/03/2023	01:05:00	4.566	4.575	4.56	4.567	344.56		
14/03/2023	01:10:00	4.563	4.571	4.535	4.542	988.51		
14/03/2023	01:15:00	4.545	4.558	4.545	4.558	321.45		
14/03/2023	01:20:00	4.559	4.58	4.559	4.572	501.78		
14/03/2023	01:25:00	4.558	4.588	4.555	4.586	564.77		
14/03/2023	01:30:00	4.585	4.59	4.584	4.585	66.86		
14/03/2023	01:35:00	4.572	4.573	4.564	4.572	225.8		
14/03/2023	01:40:00	4.558	4.571	4.547	4.547	269.52		
14/03/2023	01:45:00	4.565	4.608	4.565	4.586	271.69		
14/03/2023	01:50:00	4.584	4.597	4.584	4.59	637.9		
14/03/2023	01:55:00	4.603	4.616	4.6	4.612	602.03		
14/03/2023	02:00:00	4.612	4.65	4.611	4.637	1086.73		
14/03/2023	02:05:00	4.638	4.638	4.582	4.611	832.87		
14/03/2023	02:10:00	4.598	4.598	4.598	4.598	46.8		
14/03/2023	02:15:00	4.605	4.61	4.604	4.607	105.49		
14/03/2023	02:20:00	4.619	4.619	4.618	4.618	252.25		
14/03/2023	02:25:00	4.618	4.618	4.583	4.583	313.96		
14/03/2023	02:30:00	4.579	4.595	4.579	4.586	462.11		
14/03/2023	02:35:00	4.586	4.586	4.586	4.586	45.54		
14/03/2023	02:40:00	4.587	4.587	4.585	4.585	60.72		
14/03/2023	02:45:00	4.585	4.585	4.585	4.585	0.0		
14/03/2023	02:50:00	4.586	4.586	4.575	4.582	968.07		
14/03/2023	02:55:00	4.573	4.574	4.565	4.565	84.74		
14/03/2023	03:00:00	4.57	4.574	4.569	4.574	60.81		
14/03/2023	03:05:00	4.566	4.566	4.56	4.56	449.47		
14/03/2023	03:10:00	4.563	4.574	4.563	4.57	608.02		
14/03/2023	03:15:00	4.573	4.585	4.573	4.585	531.84		
14/03/2023	03:20:00	4.589	4.594	4.58	4.585	628.17		
14/03/2023	03:25:00	4.582	4.591	4.58	4.591	97.59		
14/03/2023	03:30:00	4.589	4.599	4.589	4.599	94.61		
14/03/2023	03:35:00	4.595	4.609	4.595	4.609	226.64		
14/03/2023	03:40:00	4.61	4.61	4.604	4.605	383.65		
14/03/2023	03:45:00	4.608	4.608	4.608	4.608	13.8		
14/03/2023	03:50:00	4.608	4.61	4.608	4.608	552.07		
