Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
22/07/2023	00:00:00	1.1086	1.1086	1.1085	1.1085	15068.0		
22/07/2023	00:05:00	1.1086	1.1087	1.1085	1.1086	12339.8		
22/07/2023	00:10:00	1.1087	1.1087	1.1086	1.1086	21447.5		
22/07/2023	00:15:00	1.1087	1.1087	1.1086	1.1087	17446.6		
22/07/2023	00:20:00	1.1086	1.1087	1.1086	1.1086	9493.3		
22/07/2023	00:25:00	1.1087	1.1087	1.1086	1.1087	4660.1		
22/07/2023	00:30:00	1.1087	1.1087	1.1086	1.1087	10046.3		
22/07/2023	00:35:00	1.1086	1.1087	1.1086	1.1086	7693.4		
22/07/2023	00:40:00	1.1086	1.1087	1.1086	1.1086	5849.1		
22/07/2023	00:45:00	1.1086	1.1087	1.1086	1.1086	4306.3		
22/07/2023	00:50:00	1.1086	1.1087	1.1086	1.1086	7985.5		
22/07/2023	00:55:00	1.1086	1.1087	1.1086	1.1087	35103.2		
22/07/2023	01:00:00	1.1087	1.1088	1.1087	1.1087	10873.8		
22/07/2023	01:05:00	1.1087	1.1087	1.1086	1.1086	38950.0		
22/07/2023	01:10:00	1.1086	1.1087	1.1086	1.1087	9149.3		
22/07/2023	01:15:00	1.1086	1.1087	1.1086	1.1087	18898.6		
22/07/2023	01:20:00	1.1087	1.1087	1.1086	1.1086	6043.2		
22/07/2023	01:25:00	1.1086	1.1087	1.1086	1.1086	6246.0		
22/07/2023	01:30:00	1.1086	1.1087	1.1086	1.1086	2549.6		
22/07/2023	01:35:00	1.1086	1.1087	1.1086	1.1086	6842.5		
22/07/2023	01:40:00	1.1087	1.1087	1.1086	1.1086	3609.0		
22/07/2023	01:45:00	1.1086	1.1087	1.1086	1.1086	5505.1		
22/07/2023	01:50:00	1.1086	1.1087	1.1086	1.1087	5552.4		
22/07/2023	01:55:00	1.1087	1.1087	1.1086	1.1087	3368.0		
22/07/2023	02:00:00	1.1087	1.1087	1.1086	1.1087	4869.6		
22/07/2023	02:05:00	1.1087	1.1087	1.1086	1.1087	8095.4		
22/07/2023	02:10:00	1.1087	1.1087	1.1086	1.1087	7420.1		
22/07/2023	02:15:00	1.1087	1.1087	1.1086	1.1087	1819.9		
22/07/2023	02:20:00	1.1087	1.1087	1.1086	1.1087	7309.7		
22/07/2023	02:25:00	1.1086	1.1087	1.1086	1.1087	4194.5		
22/07/2023	02:30:00	1.1086	1.1087	1.1086	1.1087	3353.8		
22/07/2023	02:35:00	1.1087	1.1087	1.1086	1.1087	1664.6		
22/07/2023	02:40:00	1.1087	1.1087	1.1086	1.1087	9511.1		
22/07/2023	02:45:00	1.1087	1.1087	1.1086	1.1086	22619.7		
22/07/2023	02:50:00	1.1086	1.1087	1.1086	1.1086	39564.6		
22/07/2023	02:55:00	1.1087	1.1087	1.1086	1.1086	4435.3		
22/07/2023	03:00:00	1.1087	1.1087	1.1086	1.1087	10613.0		
22/07/2023	03:05:00	1.1086	1.1087	1.1086	1.1087	31562.3		
22/07/2023	03:10:00	1.1086	1.1087	1.1086	1.1087	33594.7		
22/07/2023	03:15:00	1.1087	1.1088	1.1086	1.1088	109985.5		
22/07/2023	03:20:00	1.1088	1.1088	1.1087	1.1088	67399.4		
22/07/2023	03:25:00	1.1087	1.1088	1.1087	1.1087	32245.8		
22/07/2023	03:30:00	1.1087	1.1088	1.1087	1.1088	27248.4		
22/07/2023	03:35:00	1.1088	1.1088	1.1087	1.1088	23964.8		
22/07/2023	03:40:00	1.1087	1.1088	1.1087	1.1087	9528.3		
22/07/2023	03:45:00	1.1088	1.1088	1.1087	1.1088	8916.4		
22/07/2023	03:50:00	1.1087	1.1089	1.1087	1.1088	27632.8		
22/07/2023	03:55:00	1.1088	1.1089	1.1088	1.1088	7705.5		
22/07/2023	04:00:00	1.1088	1.1089	1.1088	1.1088	28073.0		
22/07/2023	04:05:00	1.1088	1.1089	1.1088	1.1088	8088.5		
22/07/2023	04:10:00	1.1088	1.1089	1.1088	1.1088	7153.0		
22/07/2023	04:15:00	1.1088	1.1089	1.1088	1.1088	5987.8		
22/07/2023	04:20:00	1.1088	1.1088	1.1087	1.1088	42077.3		
22/07/2023	04:25:00	1.1088	1.1088	1.1087	1.1088	10711.2		
