Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
22/07/2023	00:00:00	0.909	0.91	0.907	0.91	2265.4		
22/07/2023	00:05:00	0.911	0.913	0.911	0.913	8762.9		
22/07/2023	00:10:00	0.913	0.914	0.911	0.913	12058.3		
22/07/2023	00:15:00	0.912	0.915	0.912	0.914	13272.3		
22/07/2023	00:20:00	0.914	0.914	0.913	0.913	4248.9		
22/07/2023	00:25:00	0.912	0.912	0.911	0.911	3163.4		
22/07/2023	00:30:00	0.911	0.913	0.911	0.911	2385.9		
22/07/2023	00:35:00	0.912	0.912	0.912	0.912	40.2		
22/07/2023	00:40:00	0.913	0.913	0.913	0.913	1273.8		
22/07/2023	00:45:00	0.913	0.913	0.911	0.913	10597.3		
22/07/2023	00:50:00	0.912	0.914	0.912	0.914	11948.8		
22/07/2023	00:55:00	0.914	0.915	0.914	0.915	3992.2		
22/07/2023	01:00:00	0.915	0.915	0.913	0.913	8206.5		
22/07/2023	01:05:00	0.913	0.913	0.913	0.913	14132.3		
22/07/2023	01:10:00	0.913	0.913	0.913	0.913	460.8		
22/07/2023	01:15:00	0.913	0.913	0.913	0.913	850.9		
22/07/2023	01:20:00	0.913	0.913	0.913	0.913	28.1		
22/07/2023	01:25:00	0.914	0.915	0.913	0.913	3989.1		
22/07/2023	01:30:00	0.912	0.912	0.912	0.912	51.3		
22/07/2023	01:35:00	0.912	0.912	0.911	0.911	1348.9		
22/07/2023	01:40:00	0.911	0.912	0.91	0.912	5891.4		
22/07/2023	01:45:00	0.911	0.912	0.91	0.912	26378.4		
22/07/2023	01:50:00	0.912	0.912	0.91	0.91	7441.7		
22/07/2023	01:55:00	0.91	0.91	0.909	0.909	1465.6		
22/07/2023	02:00:00	0.91	0.91	0.91	0.91	740.8		
22/07/2023	02:05:00	0.91	0.91	0.91	0.91	549.4		
22/07/2023	02:10:00	0.91	0.91	0.909	0.909	709.4		
22/07/2023	02:15:00	0.909	0.91	0.909	0.91	520.4		
22/07/2023	02:20:00	0.91	0.91	0.91	0.91	26.6		
22/07/2023	02:25:00	0.911	0.911	0.91	0.91	2043.2		
22/07/2023	02:30:00	0.91	0.911	0.91	0.911	276.1		
22/07/2023	02:35:00	0.911	0.913	0.911	0.912	1932.3		
22/07/2023	02:40:00	0.913	0.913	0.911	0.911	387.3		
22/07/2023	02:45:00	0.912	0.912	0.911	0.912	1342.0		
22/07/2023	02:50:00	0.912	0.913	0.911	0.913	5651.6		
22/07/2023	02:55:00	0.913	0.913	0.911	0.911	7576.2		
22/07/2023	03:00:00	0.911	0.912	0.91	0.91	4537.4		
22/07/2023	03:05:00	0.911	0.911	0.91	0.911	433.6		
