Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
22/07/2023	00:00:00	0.61	0.61	0.609	0.61	3628.3		
22/07/2023	00:05:00	0.611	0.611	0.61	0.61	1988.9		
22/07/2023	00:10:00	0.611	0.611	0.609	0.609	1732.2		
22/07/2023	00:15:00	0.61	0.611	0.61	0.611	578.7		
22/07/2023	00:20:00	0.611	0.611	0.611	0.611	1494.2		
22/07/2023	00:25:00	0.61	0.61	0.61	0.61	412.0		
22/07/2023	00:30:00	0.61	0.61	0.61	0.61	1639.3		
22/07/2023	00:35:00	0.61	0.61	0.61	0.61	207.5		
22/07/2023	00:40:00	0.611	0.611	0.611	0.611	37.5		
22/07/2023	00:45:00	0.611	0.611	0.61	0.61	91.6		
22/07/2023	00:50:00	0.61	0.613	0.61	0.613	6168.6		
22/07/2023	00:55:00	0.612	0.612	0.612	0.612	562.0		
22/07/2023	01:00:00	0.612	0.612	0.612	0.612	1668.7		
22/07/2023	01:05:00	0.612	0.612	0.611	0.611	499.6		
22/07/2023	01:10:00	0.612	0.612	0.612	0.612	537.6		
22/07/2023	01:15:00	0.612	0.612	0.612	0.612	3865.0		
22/07/2023	01:20:00	0.613	0.614	0.613	0.613	1867.7		
22/07/2023	01:25:00	0.613	0.614	0.613	0.614	127.1		
22/07/2023	01:30:00	0.613	0.613	0.612	0.612	953.2		
22/07/2023	01:35:00	0.613	0.613	0.611	0.611	4167.6		
22/07/2023	01:40:00	0.611	0.612	0.611	0.612	747.2		
22/07/2023	01:45:00	0.611	0.611	0.611	0.611	1631.2		
22/07/2023	01:50:00	0.611	0.611	0.609	0.609	5796.0		
22/07/2023	01:55:00	0.609	0.609	0.609	0.609	12279.8		
22/07/2023	02:00:00	0.609	0.61	0.608	0.608	3881.6		
22/07/2023	02:05:00	0.609	0.61	0.609	0.609	907.8		
22/07/2023	02:10:00	0.609	0.609	0.609	0.609	0.0		
22/07/2023	02:15:00	0.61	0.61	0.609	0.609	1034.6		
22/07/2023	02:20:00	0.61	0.611	0.61	0.611	593.9		
22/07/2023	02:25:00	0.61	0.61	0.61	0.61	30.1		
22/07/2023	02:30:00	0.611	0.611	0.611	0.611	40.6		
22/07/2023	02:35:00	0.61	0.61	0.609	0.61	787.2		
22/07/2023	02:40:00	0.61	0.61	0.61	0.61	409.9		
22/07/2023	02:45:00	0.61	0.611	0.61	0.611	654.1		
22/07/2023	02:50:00	0.611	0.612	0.611	0.612	3004.2		
22/07/2023	02:55:00	0.611	0.613	0.611	0.611	2270.2		
22/07/2023	03:00:00	0.612	0.612	0.609	0.609	4813.9		
22/07/2023	03:05:00	0.61	0.61	0.609	0.609	277.3		
22/07/2023	03:10:00	0.609	0.61	0.608	0.609	10623.6		
22/07/2023	03:15:00	0.61	0.611	0.61	0.611	6737.0		
22/07/2023	03:20:00	0.612	0.613	0.612	0.613	464.2		
22/07/2023	03:25:00	0.612	0.612	0.612	0.612	747.2		
22/07/2023	03:30:00	0.611	0.612	0.611	0.612	957.3		
22/07/2023	03:35:00	0.611	0.613	0.611	0.613	179.8		
22/07/2023	03:40:00	0.613	0.613	0.613	0.613	0.0		
22/07/2023	03:45:00	0.613	0.613	0.611	0.612	1841.1		
22/07/2023	03:50:00	0.612	0.612	0.612	0.612	55.3		
22/07/2023	03:55:00	0.612	0.612	0.611	0.612	1208.7		
22/07/2023	04:00:00	0.611	0.613	0.611	0.613	8099.8		
22/07/2023	04:05:00	0.613	0.613	0.613	0.613	0.0		
22/07/2023	04:10:00	0.612	0.612	0.612	0.612	35.9		
22/07/2023	04:15:00	0.613	0.614	0.613	0.614	1260.5		
22/07/2023	04:20:00	0.615	0.616	0.615	0.615	4062.0		
22/07/2023	04:25:00	0.615	0.615	0.614	0.614	173.9		
22/07/2023	04:30:00	0.615	0.615	0.614	0.614	4083.4		
22/07/2023	04:35:00	0.614	0.614	0.614	0.614	0.0		
22/07/2023	04:40:00	0.614	0.614	0.614	0.614	657.3		
22/07/2023	04:45:00	0.614	0.615	0.611	0.612	4094.3		
22/07/2023	04:50:00	0.612	0.612	0.612	0.612	790.3		
22/07/2023	04:55:00	0.612	0.614	0.612	0.613	3366.7		
22/07/2023	05:00:00	0.613	0.614	0.613	0.613	1023.3		
22/07/2023	05:05:00	0.612	0.613	0.611	0.611	6978.5		
22/07/2023	05:10:00	0.611	0.612	0.611	0.612	903.8		
22/07/2023	05:15:00	0.611	0.612	0.611	0.612	678.4		
22/07/2023	05:20:00	0.611	0.611	0.611	0.611	125.8		
22/07/2023	05:25:00	0.611	0.612	0.611	0.612	618.9		
22/07/2023	05:30:00	0.612	0.612	0.612	0.612	33.2		
22/07/2023	05:35:00	0.612	0.613	0.612	0.613	566.5		
22/07/2023	05:40:00	0.613	0.613	0.613	0.613	0.0		
22/07/2023	05:45:00	0.613	0.613	0.611	0.611	120.3		
22/07/2023	05:50:00	0.613	0.613	0.612	0.612	110.0		
22/07/2023	05:55:00	0.612	0.612	0.612	0.612	610.1		
22/07/2023	06:00:00	0.612	0.613	0.612	0.613	319.4		
22/07/2023	06:05:00	0.612	0.612	0.612	0.612	577.8		
22/07/2023	06:10:00	0.611	0.611	0.611	0.611	1000.0		
22/07/2023	06:15:00	0.612	0.612	0.612	0.612	599.6		
22/07/2023	06:20:00	0.612	0.612	0.611	0.611	1606.4		
22/07/2023	06:25:00	0.612	0.612	0.612	0.612	819.0		
22/07/2023	06:30:00	0.612	0.613	0.612	0.613	8934.1		
22/07/2023	06:35:00	0.613	0.613	0.613	0.613	360.5		
22/07/2023	06:40:00	0.613	0.613	0.613	0.613	0.0		
22/07/2023	06:45:00	0.612	0.612	0.612	0.612	36.1		
22/07/2023	06:50:00	0.612	0.614	0.612	0.613	1309.6		
22/07/2023	06:55:00	0.613	0.613	0.613	0.613	0.0		
22/07/2023	07:00:00	0.612	0.612	0.612	0.612	462.3		
22/07/2023	07:05:00	0.612	0.612	0.612	0.612	115.1		
22/07/2023	07:10:00	0.613	0.614	0.613	0.614	851.4		
22/07/2023	07:15:00	0.613	0.613	0.611	0.611	9994.8		
22/07/2023	07:20:00	0.611	0.611	0.611	0.611	1607.5		
22/07/2023	07:25:00	0.612	0.612	0.611	0.612	20657.2		
22/07/2023	07:30:00	0.613	0.613	0.612	0.612	355.6		
22/07/2023	07:35:00	0.612	0.612	0.611	0.611	2285.0		
22/07/2023	07:40:00	0.612	0.612	0.612	0.612	1585.4		
22/07/2023	07:45:00	0.612	0.612	0.612	0.612	20.0		
22/07/2023	07:50:00	0.612	0.613	0.611	0.613	2202.4		
22/07/2023	07:55:00	0.613	0.613	0.613	0.613	0.0		
22/07/2023	08:00:00	0.611	0.612	0.61	0.611	5312.2		
22/07/2023	08:05:00	0.611	0.613	0.611	0.613	904.4		
22/07/2023	08:10:00	0.613	0.613	0.613	0.613	0.0		
22/07/2023	08:15:00	0.613	0.613	0.613	0.613	1792.4		
22/07/2023	08:20:00	0.613	0.613	0.612	0.612	5776.5		
22/07/2023	08:25:00	0.612	0.612	0.612	0.612	225.3		
22/07/2023	08:30:00	0.613	0.613	0.613	0.613	70.0		
22/07/2023	08:35:00	0.613	0.613	0.613	0.613	250.0		
22/07/2023	08:40:00	0.612	0.613	0.612	0.613	594.9		
22/07/2023	08:45:00	0.614	0.614	0.612	0.612	2013.8		
22/07/2023	08:50:00	0.612	0.612	0.612	0.612	0.0		
22/07/2023	08:55:00	0.612	0.612	0.611	0.611	1050.6		
22/07/2023	09:00:00	0.612	0.613	0.611	0.613	3516.4		
22/07/2023	09:05:00	0.613	0.613	0.613	0.613	0.0		
22/07/2023	09:10:00	0.612	0.612	0.612	0.612	35.7		
22/07/2023	09:15:00	0.613	0.613	0.613	0.613	971.5		
22/07/2023	09:20:00	0.613	0.613	0.613	0.613	0.0		
22/07/2023	09:25:00	0.613	0.613	0.613	0.613	0.0		
22/07/2023	09:30:00	0.613	0.613	0.613	0.613	81.0		
22/07/2023	09:35:00	0.613	0.614	0.613	0.614	756.0		
22/07/2023	09:40:00	0.614	0.615	0.613	0.613	1325.4		
22/07/2023	09:45:00	0.614	0.614	0.613	0.613	394.3		
22/07/2023	09:50:00	0.613	0.613	0.61	0.61	5044.4		
22/07/2023	09:55:00	0.61	0.61	0.609	0.61	9496.6		
22/07/2023	10:00:00	0.61	0.61	0.604	0.609	19850.4		
22/07/2023	10:05:00	0.608	0.608	0.605	0.606	5957.6		
22/07/2023	10:10:00	0.606	0.608	0.606	0.607	1597.7		
22/07/2023	10:15:00	0.607	0.607	0.606	0.607	24748.8		
22/07/2023	10:20:00	0.608	0.608	0.608	0.608	521.0		
22/07/2023	10:25:00	0.607	0.609	0.607	0.608	4255.4		
22/07/2023	10:30:00	0.608	0.608	0.608	0.608	107.8		
22/07/2023	10:35:00	0.608	0.608	0.608	0.608	0.0		
22/07/2023	10:40:00	0.608	0.609	0.608	0.609	746.5		
22/07/2023	10:45:00	0.608	0.608	0.608	0.608	3570.8		
22/07/2023	10:50:00	0.608	0.608	0.608	0.608	0.0		
22/07/2023	10:55:00	0.608	0.608	0.608	0.608	0.0		
22/07/2023	11:00:00	0.608	0.609	0.608	0.609	1613.0		
