Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
14/03/2023	00:00:00	6.76	6.768	6.747	6.747	15306.86		
14/03/2023	00:05:00	6.746	6.758	6.728	6.747	15784.96		
14/03/2023	00:10:00	6.746	6.758	6.726	6.731	32205.42		
14/03/2023	00:15:00	6.731	6.762	6.726	6.755	36309.77		
14/03/2023	00:20:00	6.754	6.771	6.75	6.766	12589.34		
14/03/2023	00:25:00	6.765	6.772	6.752	6.76	16312.97		
14/03/2023	00:30:00	6.761	6.776	6.757	6.758	11916.74		
14/03/2023	00:35:00	6.755	6.771	6.747	6.767	14707.11		
14/03/2023	00:40:00	6.768	6.773	6.744	6.745	11968.72		
14/03/2023	00:45:00	6.748	6.765	6.738	6.756	19325.22		
14/03/2023	00:50:00	6.759	6.763	6.733	6.733	14365.58		
14/03/2023	00:55:00	6.732	6.735	6.696	6.708	28055.42		
14/03/2023	01:00:00	6.707	6.709	6.683	6.705	85592.61		
14/03/2023	01:05:00	6.706	6.723	6.706	6.713	23686.14		
14/03/2023	01:10:00	6.714	6.721	6.701	6.708	14971.9		
14/03/2023	01:15:00	6.708	6.729	6.706	6.723	13160.16		
14/03/2023	01:20:00	6.723	6.733	6.71	6.712	17499.35		
14/03/2023	01:25:00	6.712	6.725	6.702	6.725	10170.87		
14/03/2023	01:30:00	6.725	6.726	6.707	6.714	15173.22		
14/03/2023	01:35:00	6.717	6.733	6.705	6.732	17615.66		
14/03/2023	01:40:00	6.732	6.748	6.72	6.746	21287.03		
14/03/2023	01:45:00	6.748	6.763	6.74	6.741	19351.62		
14/03/2023	01:50:00	6.741	6.749	6.736	6.748	13855.93		
14/03/2023	01:55:00	6.746	6.758	6.737	6.752	8954.04		
14/03/2023	02:00:00	6.751	6.775	6.751	6.766	22879.25		
14/03/2023	02:05:00	6.765	6.766	6.741	6.751	15071.17		
14/03/2023	02:10:00	6.75	6.75	6.733	6.734	4047.19		
14/03/2023	02:15:00	6.732	6.74	6.728	6.735	8933.56		
14/03/2023	02:20:00	6.733	6.747	6.732	6.733	14635.15		
14/03/2023	02:25:00	6.733	6.736	6.715	6.724	6262.45		
14/03/2023	02:30:00	6.722	6.729	6.718	6.726	5999.01		
14/03/2023	02:35:00	6.73	6.736	6.727	6.732	8656.38		
14/03/2023	02:40:00	6.73	6.738	6.723	6.729	4147.66		
14/03/2023	02:45:00	6.729	6.733	6.722	6.724	6754.6		
14/03/2023	02:50:00	6.724	6.725	6.707	6.71	6883.38		
14/03/2023	02:55:00	6.709	6.717	6.709	6.713	9451.32		
14/03/2023	03:00:00	6.713	6.725	6.707	6.709	6104.89		
14/03/2023	03:05:00	6.709	6.715	6.703	6.707	10629.46		
14/03/2023	03:10:00	6.707	6.716	6.704	6.711	10680.96		
14/03/2023	03:15:00	6.712	6.729	6.712	6.727	7212.42		
14/03/2023	03:20:00	6.726	6.729	6.719	6.719	5635.87		
14/03/2023	03:25:00	6.719	6.728	6.714	6.727	6313.68		
14/03/2023	03:30:00	6.726	6.732	6.723	6.732	8055.71		
14/03/2023	03:35:00	6.732	6.737	6.726	6.737	5764.57		
14/03/2023	03:40:00	6.737	6.743	6.731	6.743	6490.43		
14/03/2023	03:45:00	6.743	6.753	6.743	6.749	11474.96		
14/03/2023	03:50:00	6.749	6.75	6.74	6.748	4177.9		
14/03/2023	03:55:00	6.748	6.758	6.746	6.755	4614.37		
14/03/2023	04:00:00	6.754	6.759	6.746	6.748	8130.58		
14/03/2023	04:05:00	6.748	6.749	6.727	6.729	3430.24		
14/03/2023	04:10:00	6.73	6.739	6.73	6.736	14125.91		
14/03/2023	04:15:00	6.736	6.739	6.728	6.728	7437.4		
14/03/2023	04:20:00	6.729	6.73	6.722	6.723	4530.03		
14/03/2023	04:25:00	6.722	6.726	6.716	6.717	9807.1		
14/03/2023	04:30:00	6.717	6.722	6.707	6.721	8642.82		
14/03/2023	04:35:00	6.722	6.729	6.717	6.725	5684.58		
14/03/2023	04:40:00	6.725	6.73	6.714	6.719	4754.66		
14/03/2023	04:45:00	6.72	6.734	6.719	6.733	8047.72		
14/03/2023	04:50:00	6.731	6.731	6.723	6.728	4027.06		
14/03/2023	04:55:00	6.728	6.738	6.728	6.736	6784.92		
14/03/2023	05:00:00	6.737	6.743	6.732	6.737	5576.95		
14/03/2023	05:05:00	6.736	6.742	6.731	6.737	15769.68		
14/03/2023	05:10:00	6.736	6.799	6.735	6.785	81716.23		
14/03/2023	05:15:00	6.784	6.79	6.706	6.719	67656.72		
14/03/2023	05:20:00	6.719	6.724	6.7	6.706	29869.69		
14/03/2023	05:25:00	6.707	6.721	6.68	6.717	27834.52		
14/03/2023	05:30:00	6.72	6.746	6.718	6.718	15540.53		
14/03/2023	05:35:00	6.72	6.734	6.7	6.709	11287.84		
14/03/2023	05:40:00	6.71	6.715	6.697	6.702	11601.23		
14/03/2023	05:45:00	6.703	6.734	6.703	6.733	7285.84		
14/03/2023	05:50:00	6.731	6.737	6.711	6.711	18070.16		
14/03/2023	05:55:00	6.711	6.733	6.709	6.73	18383.56		
14/03/2023	06:00:00	6.73	6.74	6.723	6.736	10014.89		
14/03/2023	06:05:00	6.735	6.75	6.73	6.745	15038.86		
14/03/2023	06:10:00	6.747	6.747	6.701	6.711	11441.45		
14/03/2023	06:15:00	6.712	6.724	6.711	6.724	14054.54		
14/03/2023	06:20:00	6.723	6.737	6.722	6.731	9959.84		
14/03/2023	06:25:00	6.731	6.737	6.713	6.732	9751.92		
14/03/2023	06:30:00	6.732	6.74	6.73	6.731	11096.22		
14/03/2023	06:35:00	6.731	6.732	6.717	6.722	5996.05		
14/03/2023	06:40:00	6.723	6.725	6.71	6.714	12967.18		
14/03/2023	06:45:00	6.715	6.73	6.715	6.728	7621.1		
14/03/2023	06:50:00	6.729	6.73	6.706	6.711	16978.07		
14/03/2023	06:55:00	6.711	6.73	6.707	6.721	10073.84		
14/03/2023	07:00:00	6.721	6.731	6.715	6.726	10177.47		
14/03/2023	07:05:00	6.725	6.732	6.719	6.732	4633.59		
14/03/2023	07:10:00	6.731	6.736	6.724	6.73	2932.68		
14/03/2023	07:15:00	6.73	6.73	6.716	6.724	16370.91		
14/03/2023	07:20:00	6.724	6.741	6.724	6.737	16836.94		
14/03/2023	07:25:00	6.738	6.739	6.705	6.705	11969.92		
14/03/2023	07:30:00	6.705	6.705	6.693	6.697	17408.46		
14/03/2023	07:35:00	6.698	6.708	6.694	6.704	20341.01		
14/03/2023	07:40:00	6.704	6.708	6.688	6.688	10803.12		
14/03/2023	07:45:00	6.687	6.691	6.653	6.663	44545.5		
14/03/2023	07:50:00	6.665	6.688	6.665	6.688	19221.73		
14/03/2023	07:55:00	6.687	6.698	6.684	6.684	8276.73		
14/03/2023	08:00:00	6.687	6.693	6.655	6.659	11778.02		
14/03/2023	08:05:00	6.661	6.668	6.643	6.649	40348.16		
14/03/2023	08:10:00	6.65	6.651	6.608	6.615	60375.06		
14/03/2023	08:15:00	6.616	6.694	6.613	6.693	36763.54		
14/03/2023	08:20:00	6.693	6.742	6.682	6.702	71013.04		
14/03/2023	08:25:00	6.701	6.701	6.68	6.693	12343.04		
14/03/2023	08:30:00	6.692	6.717	6.676	6.705	22446.7		
14/03/2023	08:35:00	6.706	6.711	6.69	6.694	9945.48		
14/03/2023	08:40:00	6.692	6.694	6.668	6.671	15811.77		
14/03/2023	08:45:00	6.669	6.685	6.667	6.672	9277.81		
14/03/2023	08:50:00	6.672	6.682	6.668	6.672	6632.17		
14/03/2023	08:55:00	6.672	6.684	6.663	6.668	12557.53		
14/03/2023	09:00:00	6.668	6.672	6.645	6.654	17622.83		
14/03/2023	09:05:00	6.654	6.667	6.648	6.655	7626.35		
14/03/2023	09:10:00	6.656	6.669	6.649	6.669	12132.64		
14/03/2023	09:15:00	6.669	6.67	6.65	6.653	6148.58		
14/03/2023	09:20:00	6.653	6.665	6.649	6.663	8621.68		
14/03/2023	09:25:00	6.663	6.672	6.653	6.653	12385.54		
14/03/2023	09:30:00	6.654	6.673	6.646	6.672	25582.44		
14/03/2023	09:35:00	6.673	6.685	6.672	6.679	10004.47		
14/03/2023	09:40:00	6.676	6.684	6.67	6.682	6128.58		
14/03/2023	09:45:00	6.683	6.691	6.675	6.689	4839.1		
14/03/2023	09:50:00	6.687	6.695	6.681	6.695	2094.25		
14/03/2023	09:55:00	6.694	6.698	6.693	6.693	6261.86		
14/03/2023	10:00:00	6.693	6.697	6.685	6.686	6978.0		
14/03/2023	10:05:00	6.685	6.698	6.685	6.698	6979.03		
14/03/2023	10:10:00	6.697	6.701	6.692	6.692	11049.1		
14/03/2023	10:15:00	6.692	6.703	6.685	6.702	6245.79		
14/03/2023	10:20:00	6.702	6.72	6.702	6.705	19899.8		
14/03/2023	10:25:00	6.704	6.709	6.699	6.701	7947.28		
14/03/2023	10:30:00	6.701	6.704	6.697	6.702	3155.92		
14/03/2023	10:35:00	6.702	6.702	6.689	6.689	8772.35		
14/03/2023	10:40:00	6.689	6.702	6.689	6.696	5990.76		
14/03/2023	10:45:00	6.695	6.702	6.691	6.702	6501.8		
14/03/2023	10:50:00	6.701	6.704	6.687	6.693	4780.74		
14/03/2023	10:55:00	6.693	6.714	6.688	6.71	19395.99		
14/03/2023	11:00:00	6.709	6.721	6.677	6.68	21750.1		
14/03/2023	11:05:00	6.679	6.687	6.666	6.675	9595.28		
14/03/2023	11:10:00	6.677	6.7	6.672	6.692	8138.51		
14/03/2023	11:15:00	6.696	6.705	6.683	6.686	35697.29		
14/03/2023	11:20:00	6.687	6.693	6.674	6.69	22724.42		
14/03/2023	11:25:00	6.687	6.696	6.665	6.667	37732.68		
14/03/2023	11:30:00	6.669	6.678	6.657	6.661	27111.63		
14/03/2023	11:35:00	6.66	6.688	6.654	6.686	23396.04		
14/03/2023	11:40:00	6.686	6.689	6.677	6.685	11748.93		
14/03/2023	11:45:00	6.685	6.692	6.676	6.687	9169.66		
14/03/2023	11:50:00	6.686	6.694	6.685	6.691	17929.7		
14/03/2023	11:55:00	6.69	6.694	6.676	6.677	15208.1		
14/03/2023	12:00:00	6.677	6.693	6.655	6.665	23936.18		
14/03/2023	12:05:00	6.664	6.673	6.651	6.657	20787.79		
14/03/2023	12:10:00	6.658	6.672	6.657	6.66	13733.61		
14/03/2023	12:15:00	6.66	6.677	6.655	6.674	26244.31		
14/03/2023	12:20:00	6.674	6.686	6.66	6.661	23745.99		
14/03/2023	12:25:00	6.66	6.69	6.654	6.663	23034.69		
14/03/2023	12:30:00	6.663	6.837	6.642	6.785	298204.25		
14/03/2023	12:35:00	6.787	6.787	6.702	6.773	100516.03		
14/03/2023	12:40:00	6.772	6.888	6.753	6.876	97284.37		
14/03/2023	12:45:00	6.878	6.93	6.837	6.914	275809.98		
14/03/2023	12:50:00	6.914	6.956	6.878	6.956	112909.17		
14/03/2023	12:55:00	6.956	6.962	6.918	6.95	100667.33		
14/03/2023	13:00:00	6.949	7.05	6.947	7.038	197870.51		
14/03/2023	13:05:00	7.038	7.043	6.982	7.013	71610.62		
14/03/2023	13:10:00	7.01	7.073	6.996	7.066	84720.67		
14/03/2023	13:15:00	7.065	7.072	6.94	6.946	99445.69		
14/03/2023	13:20:00	6.948	6.973	6.932	6.949	79852.09		
14/03/2023	13:25:00	6.947	6.966	6.919	6.954	45245.01		
14/03/2023	13:30:00	6.955	6.992	6.951	6.978	48171.24		
14/03/2023	13:35:00	6.978	7.026	6.975	7.024	36795.42		
14/03/2023	13:40:00	7.024	7.081	7.007	7.055	66561.87		
14/03/2023	13:45:00	7.055	7.097	7.046	7.07	64395.47		
14/03/2023	13:50:00	7.07	7.091	6.995	7.026	85117.84		
14/03/2023	13:55:00	7.025	7.099	7.023	7.08	45166.0		
14/03/2023	14:00:00	7.081	7.084	7.029	7.05	39160.15		
14/03/2023	14:05:00	7.051	7.083	7.026	7.079	47593.64		
14/03/2023	14:10:00	7.08	7.097	7.05	7.097	53411.46		
14/03/2023	14:15:00	7.098	7.114	7.09	7.095	81205.54		
14/03/2023	14:20:00	7.096	7.127	7.078	7.124	43376.78		
14/03/2023	14:25:00	7.125	7.132	7.104	7.129	40517.94		
14/03/2023	14:30:00	7.129	7.129	7.082	7.096	59719.78		
14/03/2023	14:35:00	7.095	7.1	7.04	7.053	55450.31		
14/03/2023	14:40:00	7.052	7.075	7.045	7.065	46093.69		
14/03/2023	14:45:00	7.065	7.101	7.063	7.094	29574.35		
14/03/2023	14:50:00	7.096	7.129	7.082	7.116	52912.69		
14/03/2023	14:55:00	7.115	7.14	7.087	7.092	48080.52		
14/03/2023	15:00:00	7.094	7.129	7.09	7.121	42377.98		
14/03/2023	15:05:00	7.121	7.195	7.12	7.188	102915.14		
14/03/2023	15:10:00	7.188	7.2	7.154	7.157	94333.8		
14/03/2023	15:15:00	7.156	7.184	7.15	7.156	68330.89		
14/03/2023	15:20:00	7.157	7.179	7.127	7.142	47875.75		
14/03/2023	15:25:00	7.142	7.151	7.093	7.102	51753.35		
14/03/2023	15:30:00	7.102	7.142	7.102	7.13	24440.37		
14/03/2023	15:35:00	7.13	7.152	7.13	7.152	36320.26		
14/03/2023	15:40:00	7.152	7.158	7.117	7.134	22463.05		
14/03/2023	15:45:00	7.134	7.156	7.126	7.146	27740.82		
14/03/2023	15:50:00	7.146	7.159	7.126	7.138	18709.58		
14/03/2023	15:55:00	7.137	7.15	7.125	7.147	19232.66		
14/03/2023	16:00:00	7.146	7.16	7.12	7.132	30806.19		
14/03/2023	16:05:00	7.133	7.136	7.091	7.126	24217.8		
14/03/2023	16:10:00	7.126	7.145	7.111	7.132	33555.22		
14/03/2023	16:15:00	7.13	7.13	7.092	7.099	37509.48		
14/03/2023	16:20:00	7.098	7.1	7.05	7.062	38198.9		
14/03/2023	16:25:00	7.062	7.068	7.039	7.044	27434.59		
14/03/2023	16:30:00	7.045	7.081	7.044	7.069	20750.65		
14/03/2023	16:35:00	7.069	7.072	7.043	7.047	23146.88		
14/03/2023	16:40:00	7.047	7.059	7.027	7.056	31432.84		
14/03/2023	16:45:00	7.056	7.1	7.056	7.094	51133.46		
14/03/2023	16:50:00	7.094	7.106	7.075	7.098	20899.96		
14/03/2023	16:55:00	7.098	7.104	7.092	7.101	10887.3		
14/03/2023	17:00:00	7.099	7.114	7.097	7.111	19205.55		
14/03/2023	17:05:00	7.111	7.115	7.082	7.082	18692.53		
14/03/2023	17:10:00	7.08	7.09	7.06	7.083	83403.27		
14/03/2023	17:15:00	7.082	7.086	7.023	7.035	61351.53		
14/03/2023	17:20:00	7.035	7.049	7.02	7.045	31294.5		
14/03/2023	17:25:00	7.044	7.065	7.044	7.051	14964.51		
14/03/2023	17:30:00	7.05	7.057	7.037	7.045	16631.32		
14/03/2023	17:35:00	7.046	7.07	7.043	7.069	28317.33		
14/03/2023	17:40:00	7.068	7.072	7.048	7.051	18107.19		
14/03/2023	17:45:00	7.05	7.073	7.033	7.071	21509.26		
14/03/2023	17:50:00	7.073	7.077	7.052	7.067	53227.06		
14/03/2023	17:55:00	7.065	7.109	7.052	7.095	204175.88		
14/03/2023	18:00:00	7.095	7.104	7.018	7.02	74303.88		
14/03/2023	18:05:00	7.02	7.033	6.99	6.992	56354.65		
14/03/2023	18:10:00	6.992	7.015	6.992	7.006	26892.24		
14/03/2023	18:15:00	7.007	7.083	7.007	7.08	31766.98		
14/03/2023	18:20:00	7.078	7.113	7.071	7.106	91568.77		
14/03/2023	18:25:00	7.107	7.119	7.103	7.114	42537.95		
14/03/2023	18:30:00	7.114	7.125	7.103	7.103	47860.67		
14/03/2023	18:35:00	7.102	7.106	7.083	7.083	19286.92		
14/03/2023	18:40:00	7.083	7.1	7.075	7.09	11976.5		
14/03/2023	18:45:00	7.089	7.098	7.042	7.049	19921.71		
14/03/2023	18:50:00	7.049	7.049	6.984	7.009	66787.9		
14/03/2023	18:55:00	7.01	7.025	6.974	6.982	33435.84		
14/03/2023	19:00:00	6.978	7.054	6.978	7.044	34844.84		
14/03/2023	19:05:00	7.042	7.058	7.034	7.052	19397.61		
14/03/2023	19:10:00	7.054	7.069	6.911	6.911	99387.03		
14/03/2023	19:15:00	6.913	6.98	6.813	6.98	164755.31		
14/03/2023	19:20:00	6.979	6.983	6.945	6.965	66567.12		
14/03/2023	19:25:00	6.969	6.981	6.87	6.895	112700.16		
14/03/2023	19:30:00	6.895	6.914	6.863	6.899	61958.02		
14/03/2023	19:35:00	6.899	6.942	6.899	6.911	33507.57		
14/03/2023	19:40:00	6.908	6.925	6.89	6.916	51730.74		
14/03/2023	19:45:00	6.917	6.92	6.883	6.918	78347.25		
14/03/2023	19:50:00	6.919	6.956	6.915	6.955	46184.62		
14/03/2023	19:55:00	6.955	7.016	6.941	7.0	89377.13		
14/03/2023	20:00:00	7.0	7.02	6.98	7.014	71015.32		
14/03/2023	20:05:00	7.014	7.019	6.971	6.992	50508.07		
14/03/2023	20:10:00	6.992	7.0	6.965	6.966	23822.06		
14/03/2023	20:15:00	6.968	6.988	6.961	6.961	14937.14		
14/03/2023	20:20:00	6.96	6.976	6.952	6.975	32594.05		
14/03/2023	20:25:00	6.975	6.993	6.974	6.983	12402.45		
14/03/2023	20:30:00	6.983	6.997	6.962	6.962	11331.97		
14/03/2023	20:35:00	6.962	6.962	6.889	6.911	66865.99		
14/03/2023	20:40:00	6.909	6.944	6.905	6.939	25461.58		
14/03/2023	20:45:00	6.938	6.956	6.929	6.93	16262.63		
14/03/2023	20:50:00	6.93	6.955	6.928	6.949	8042.54		
