Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
14/03/2023	00:00:00	0.3234	0.3243	0.322	0.322	102319		
14/03/2023	00:05:00	0.3219	0.3239	0.3215	0.3234	91701		
14/03/2023	00:10:00	0.3232	0.3243	0.3224	0.3226	50506		
14/03/2023	00:15:00	0.3226	0.3243	0.3223	0.3241	120054		
14/03/2023	00:20:00	0.324	0.3248	0.3232	0.3245	40696		
14/03/2023	00:25:00	0.3243	0.3247	0.3237	0.324	63147		
14/03/2023	00:30:00	0.3241	0.3255	0.3238	0.3241	84648		
14/03/2023	00:35:00	0.324	0.3251	0.3237	0.3245	87336		
14/03/2023	00:40:00	0.325	0.3251	0.3226	0.3233	420659		
14/03/2023	00:45:00	0.3235	0.3253	0.3232	0.3247	244069		
14/03/2023	00:50:00	0.3247	0.3249	0.3234	0.3234	73153		
14/03/2023	00:55:00	0.3233	0.3233	0.3218	0.3221	118918		
14/03/2023	01:00:00	0.322	0.3224	0.3208	0.3218	108560		
14/03/2023	01:05:00	0.3221	0.3232	0.3221	0.3225	129393		
14/03/2023	01:10:00	0.3226	0.3231	0.3217	0.3218	63691		
14/03/2023	01:15:00	0.3218	0.3236	0.3218	0.3233	45475		
14/03/2023	01:20:00	0.3232	0.3247	0.3229	0.3229	386396		
14/03/2023	01:25:00	0.323	0.324	0.3229	0.3239	46569		
14/03/2023	01:30:00	0.324	0.324	0.3227	0.3233	42429		
14/03/2023	01:35:00	0.323	0.324	0.3225	0.3238	40317		
14/03/2023	01:40:00	0.3237	0.3261	0.3233	0.3261	119892		
14/03/2023	01:45:00	0.326	0.3269	0.3248	0.3248	104888		
14/03/2023	01:50:00	0.3248	0.3252	0.3239	0.3241	82378		
14/03/2023	01:55:00	0.3241	0.3246	0.3234	0.3243	83089		
14/03/2023	02:00:00	0.3247	0.3262	0.3245	0.3255	74429		
14/03/2023	02:05:00	0.3253	0.3253	0.3239	0.3243	110933		
14/03/2023	02:10:00	0.3243	0.3243	0.3233	0.3233	39001		
14/03/2023	02:15:00	0.3233	0.3238	0.323	0.3236	50934		
14/03/2023	02:20:00	0.3235	0.3242	0.3234	0.3234	26487		
14/03/2023	02:25:00	0.3233	0.3234	0.3224	0.3229	49261		
14/03/2023	02:30:00	0.3229	0.3241	0.3229	0.3241	41188		
14/03/2023	02:35:00	0.3241	0.3242	0.3235	0.324	19812		
14/03/2023	02:40:00	0.324	0.3243	0.3233	0.3237	38633		
14/03/2023	02:45:00	0.3236	0.3237	0.3231	0.3233	38154		
14/03/2023	02:50:00	0.3232	0.3236	0.3225	0.3225	72292		
14/03/2023	02:55:00	0.3225	0.3229	0.3223	0.3227	24048		
14/03/2023	03:00:00	0.3228	0.3235	0.3224	0.3224	70832		
14/03/2023	03:05:00	0.3224	0.3228	0.3224	0.3224	19394		
14/03/2023	03:10:00	0.3225	0.3234	0.3225	0.3226	26745		
14/03/2023	03:15:00	0.3225	0.3235	0.3225	0.3233	28375		
14/03/2023	03:20:00	0.323	0.3231	0.3222	0.3222	32236		
14/03/2023	03:25:00	0.3222	0.3233	0.3221	0.3232	29950		
14/03/2023	03:30:00	0.3232	0.3237	0.3228	0.3237	32474		
14/03/2023	03:35:00	0.3237	0.3246	0.3234	0.3246	31308		
14/03/2023	03:40:00	0.3247	0.325	0.3243	0.3249	23102		
14/03/2023	03:45:00	0.3249	0.3252	0.3245	0.3252	19883		
14/03/2023	03:50:00	0.3248	0.3252	0.3244	0.3252	21125		
14/03/2023	03:55:00	0.3252	0.3266	0.3251	0.3263	82042		
14/03/2023	04:00:00	0.3265	0.3266	0.3257	0.3258	102303		
14/03/2023	04:05:00	0.3261	0.3261	0.3251	0.3255	8950		
14/03/2023	04:10:00	0.3255	0.3262	0.3255	0.3257	40266		
14/03/2023	04:15:00	0.3256	0.3256	0.3246	0.3246	27639		
14/03/2023	04:20:00	0.3245	0.3251	0.3245	0.3251	9134		
14/03/2023	04:25:00	0.3251	0.3252	0.3241	0.3242	23687		
14/03/2023	04:30:00	0.3241	0.3245	0.3234	0.3245	71603		
14/03/2023	04:35:00	0.3246	0.3253	0.3244	0.3249	36384		
14/03/2023	04:40:00	0.3249	0.325	0.3237	0.324	60866		
14/03/2023	04:45:00	0.3244	0.3258	0.3242	0.3257	48519		
14/03/2023	04:50:00	0.3256	0.3256	0.3249	0.3254	25976		
14/03/2023	04:55:00	0.3257	0.3263	0.3254	0.3263	37503		
14/03/2023	05:00:00	0.3262	0.3276	0.3261	0.3271	74033		
14/03/2023	05:05:00	0.3272	0.3273	0.3264	0.3272	35682		
14/03/2023	05:10:00	0.3271	0.3302	0.3268	0.33	337765		
14/03/2023	05:15:00	0.3301	0.3309	0.3254	0.3257	184083		
14/03/2023	05:20:00	0.3259	0.3262	0.3246	0.3248	97993		
14/03/2023	05:25:00	0.3248	0.3257	0.3227	0.3257	177600		
14/03/2023	05:30:00	0.3258	0.3281	0.3257	0.3261	178791		
14/03/2023	05:35:00	0.3262	0.3263	0.3242	0.3245	77245		
14/03/2023	05:40:00	0.3246	0.3248	0.324	0.3242	53024		
14/03/2023	05:45:00	0.3243	0.3259	0.3243	0.3259	29163		
14/03/2023	05:50:00	0.326	0.3264	0.3241	0.3241	33058		
14/03/2023	05:55:00	0.3242	0.3264	0.324	0.3263	26079		
14/03/2023	06:00:00	0.3265	0.3273	0.3258	0.3273	65207		
14/03/2023	06:05:00	0.3273	0.3282	0.3264	0.3282	67347		
14/03/2023	06:10:00	0.3281	0.3281	0.3251	0.3258	74459		
14/03/2023	06:15:00	0.3261	0.3268	0.3259	0.3261	83016		
14/03/2023	06:20:00	0.3264	0.3273	0.3264	0.327	60817		
14/03/2023	06:25:00	0.3271	0.3277	0.3255	0.3271	102927		
14/03/2023	06:30:00	0.3271	0.3276	0.3271	0.3271	32323		
14/03/2023	06:35:00	0.327	0.327	0.3258	0.3264	20059		
14/03/2023	06:40:00	0.3263	0.3264	0.3254	0.3255	40951		
14/03/2023	06:45:00	0.3255	0.327	0.3255	0.327	41277		
14/03/2023	06:50:00	0.3269	0.3269	0.3254	0.3254	51005		
14/03/2023	06:55:00	0.3256	0.3272	0.3255	0.3264	60591		
14/03/2023	07:00:00	0.3265	0.3282	0.3265	0.3282	131238		
14/03/2023	07:05:00	0.3281	0.3289	0.3274	0.3288	71546		
14/03/2023	07:10:00	0.3289	0.3297	0.3287	0.3297	148556		
14/03/2023	07:15:00	0.3296	0.3296	0.3283	0.3287	39097		
14/03/2023	07:20:00	0.3286	0.3296	0.3286	0.3292	31564		
14/03/2023	07:25:00	0.3291	0.3291	0.3272	0.3273	75587		
14/03/2023	07:30:00	0.3271	0.3283	0.3267	0.3276	79729		
14/03/2023	07:35:00	0.3275	0.328	0.327	0.3272	47728		
14/03/2023	07:40:00	0.3272	0.3273	0.325	0.3251	64650		
14/03/2023	07:45:00	0.325	0.3255	0.3228	0.3235	213650		
14/03/2023	07:50:00	0.3235	0.3249	0.3235	0.3249	49927		
14/03/2023	07:55:00	0.325	0.3255	0.3245	0.325	21743		
14/03/2023	08:00:00	0.3246	0.3251	0.323	0.3231	99031		
14/03/2023	08:05:00	0.3231	0.324	0.3224	0.3228	76035		
14/03/2023	08:10:00	0.3227	0.3227	0.32	0.3202	153018		
14/03/2023	08:15:00	0.3202	0.324	0.3202	0.324	151999		
14/03/2023	08:20:00	0.3241	0.3249	0.3237	0.3247	40428		
14/03/2023	08:25:00	0.3245	0.3249	0.3238	0.3248	52519		
14/03/2023	08:30:00	0.3246	0.3254	0.3238	0.3252	25161		
14/03/2023	08:35:00	0.3254	0.3261	0.3251	0.3251	66675		
14/03/2023	08:40:00	0.3252	0.3256	0.3246	0.3246	41395		
14/03/2023	08:45:00	0.3246	0.3258	0.3243	0.3246	45383		
14/03/2023	08:50:00	0.3248	0.3255	0.3248	0.325	38857		
14/03/2023	08:55:00	0.3253	0.3257	0.3243	0.3243	34911		
14/03/2023	09:00:00	0.3245	0.3246	0.3224	0.3225	28053		
14/03/2023	09:05:00	0.3232	0.3244	0.3227	0.3227	52489		
14/03/2023	09:10:00	0.3223	0.3243	0.3223	0.3241	31359		
14/03/2023	09:15:00	0.324	0.3243	0.3223	0.3223	37486		
14/03/2023	09:20:00	0.3223	0.3225	0.3202	0.3207	515327		
14/03/2023	09:25:00	0.3206	0.3215	0.3196	0.3196	144907		
14/03/2023	09:30:00	0.3195	0.321	0.3185	0.3205	223132		
14/03/2023	09:35:00	0.3205	0.322	0.3205	0.3218	56601		
14/03/2023	09:40:00	0.3219	0.3221	0.3211	0.3214	104719		
14/03/2023	09:45:00	0.3214	0.3222	0.3206	0.322	92299		
14/03/2023	09:50:00	0.3219	0.3219	0.3206	0.3214	219688		
14/03/2023	09:55:00	0.3215	0.3216	0.3211	0.3214	39668		
14/03/2023	10:00:00	0.3213	0.3225	0.321	0.321	56798		
14/03/2023	10:05:00	0.3211	0.3225	0.3211	0.3225	48496		
14/03/2023	10:10:00	0.3225	0.3227	0.3221	0.3223	36980		
14/03/2023	10:15:00	0.322	0.3227	0.3216	0.3226	35833		
14/03/2023	10:20:00	0.3226	0.324	0.3226	0.3232	87417		
14/03/2023	10:25:00	0.3233	0.324	0.3232	0.3239	16549		
14/03/2023	10:30:00	0.3237	0.324	0.3228	0.324	53951		
14/03/2023	10:35:00	0.3235	0.3235	0.323	0.3233	23746		
14/03/2023	10:40:00	0.3231	0.3239	0.3231	0.3234	15667		
14/03/2023	10:45:00	0.3232	0.324	0.3227	0.3238	23979		
14/03/2023	10:50:00	0.3241	0.3241	0.3231	0.324	41377		
14/03/2023	10:55:00	0.324	0.3251	0.3235	0.3251	87357		
14/03/2023	11:00:00	0.3251	0.3251	0.3233	0.3234	99511		
14/03/2023	11:05:00	0.3235	0.3236	0.3222	0.3224	155565		
14/03/2023	11:10:00	0.3225	0.3235	0.3222	0.323	100170		
14/03/2023	11:15:00	0.3231	0.3241	0.3224	0.3231	205363		
14/03/2023	11:20:00	0.323	0.3232	0.322	0.3226	160674		
14/03/2023	11:25:00	0.3227	0.323	0.3217	0.3218	114711		
14/03/2023	11:30:00	0.3218	0.322	0.3206	0.321	168487		
14/03/2023	11:35:00	0.321	0.323	0.3207	0.3228	72731		
14/03/2023	11:40:00	0.3228	0.3228	0.3219	0.3221	64240		
14/03/2023	11:45:00	0.3219	0.3229	0.3218	0.3227	28788		
14/03/2023	11:50:00	0.3226	0.3235	0.3225	0.3235	74014		
14/03/2023	11:55:00	0.3235	0.3237	0.3227	0.3229	23292		
14/03/2023	12:00:00	0.3226	0.323	0.3211	0.3217	133012		
14/03/2023	12:05:00	0.3216	0.3226	0.3208	0.3217	146131		
14/03/2023	12:10:00	0.3216	0.3223	0.3213	0.322	52596		
14/03/2023	12:15:00	0.3216	0.3224	0.3213	0.3223	65655		
14/03/2023	12:20:00	0.3224	0.3228	0.3216	0.3216	23377		
14/03/2023	12:25:00	0.3217	0.324	0.3213	0.3216	541820		
14/03/2023	12:30:00	0.3215	0.3312	0.3208	0.3286	1027398		
14/03/2023	12:35:00	0.3285	0.3288	0.3244	0.3288	358298		
14/03/2023	12:40:00	0.3288	0.3338	0.3269	0.3333	332326		
14/03/2023	12:45:00	0.3336	0.34	0.3328	0.3386	1220326		
14/03/2023	12:50:00	0.3385	0.3447	0.3371	0.3433	765211		
14/03/2023	12:55:00	0.3432	0.3434	0.3404	0.3405	295256		
14/03/2023	13:00:00	0.3405	0.3443	0.3403	0.3429	368685		
14/03/2023	13:05:00	0.3435	0.3452	0.3415	0.3421	281355		
14/03/2023	13:10:00	0.3424	0.348	0.3412	0.3456	704648		
14/03/2023	13:15:00	0.3455	0.3458	0.3361	0.3389	376331		
14/03/2023	13:20:00	0.3387	0.3409	0.3378	0.339	185439		
14/03/2023	13:25:00	0.339	0.3396	0.3361	0.3392	459300		
14/03/2023	13:30:00	0.3392	0.3435	0.3392	0.3428	272462		
14/03/2023	13:35:00	0.3428	0.3449	0.3428	0.3445	94392		
14/03/2023	13:40:00	0.3446	0.3466	0.344	0.3452	151375		
14/03/2023	13:45:00	0.3452	0.35	0.3447	0.3484	685577		
14/03/2023	13:50:00	0.3481	0.3488	0.3427	0.3438	359070		
14/03/2023	13:55:00	0.3437	0.3465	0.3435	0.3463	128747		
14/03/2023	14:00:00	0.3461	0.3466	0.3432	0.3443	258839		
14/03/2023	14:05:00	0.3443	0.3475	0.3431	0.3468	88121		
14/03/2023	14:10:00	0.3473	0.3489	0.3466	0.3488	83247		
14/03/2023	14:15:00	0.3489	0.3498	0.3468	0.3468	163242		
14/03/2023	14:20:00	0.3469	0.3496	0.3466	0.3496	117589		
14/03/2023	14:25:00	0.3496	0.3512	0.3488	0.3511	286328		
14/03/2023	14:30:00	0.3508	0.3511	0.3494	0.3497	103988		
14/03/2023	14:35:00	0.3499	0.3516	0.349	0.3496	207652		
14/03/2023	14:40:00	0.3496	0.351	0.3486	0.3504	96019		
14/03/2023	14:45:00	0.3505	0.3517	0.3501	0.3516	177832		
14/03/2023	14:50:00	0.3518	0.354	0.3513	0.3531	231023		
14/03/2023	14:55:00	0.3532	0.3544	0.3511	0.3514	300130		
14/03/2023	15:00:00	0.3515	0.3558	0.3512	0.3541	151820		
14/03/2023	15:05:00	0.3542	0.3562	0.3538	0.3562	88577		
14/03/2023	15:10:00	0.356	0.3579	0.356	0.357	199068		
14/03/2023	15:15:00	0.3572	0.3584	0.3556	0.3559	206650		
14/03/2023	15:20:00	0.3561	0.3567	0.3543	0.3545	290809		
14/03/2023	15:25:00	0.3543	0.3549	0.3522	0.3528	121413		
14/03/2023	15:30:00	0.3528	0.3555	0.3528	0.354	94692		
14/03/2023	15:35:00	0.3541	0.3546	0.3527	0.3535	63536		
14/03/2023	15:40:00	0.3535	0.3542	0.3524	0.3533	97866		
14/03/2023	15:45:00	0.3535	0.3554	0.3535	0.355	69685		
14/03/2023	15:50:00	0.3551	0.3557	0.3536	0.3545	37851		
14/03/2023	15:55:00	0.3544	0.3553	0.354	0.355	107016		
14/03/2023	16:00:00	0.355	0.3558	0.354	0.3547	185440		
14/03/2023	16:05:00	0.3548	0.3552	0.3526	0.355	77181		
14/03/2023	16:10:00	0.3551	0.3568	0.3551	0.3566	153442		
