Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
14/03/2023	00:00:00	0.1124	0.1124	0.1122	0.1124	9061		
14/03/2023	00:05:00	0.112	0.1121	0.1118	0.112	10659		
14/03/2023	00:10:00	0.1122	0.1122	0.1122	0.1122	172		
14/03/2023	00:15:00	0.112	0.1123	0.112	0.1123	9506		
14/03/2023	00:20:00	0.1124	0.1124	0.1121	0.1124	4643		
14/03/2023	00:25:00	0.1124	0.1124	0.1124	0.1124	2960		
14/03/2023	00:30:00	0.1124	0.1124	0.1122	0.1124	23134		
14/03/2023	00:35:00	0.1124	0.1124	0.1122	0.1122	4559		
14/03/2023	00:40:00	0.1121	0.1122	0.1121	0.1122	12450		
14/03/2023	00:45:00	0.1122	0.1122	0.1116	0.1122	37325		
14/03/2023	00:50:00	0.1122	0.1123	0.1121	0.1123	20428		
14/03/2023	00:55:00	0.1122	0.1122	0.1116	0.1116	4507		
14/03/2023	01:00:00	0.1117	0.1119	0.1117	0.1119	11287		
14/03/2023	01:05:00	0.1119	0.1121	0.1118	0.112	14585		
14/03/2023	01:10:00	0.112	0.112	0.1117	0.1117	1973		
14/03/2023	01:15:00	0.1119	0.112	0.1119	0.112	495		
14/03/2023	01:20:00	0.112	0.112	0.1116	0.1119	21968		
14/03/2023	01:25:00	0.1121	0.1121	0.112	0.1121	2383		
14/03/2023	01:30:00	0.112	0.1122	0.112	0.112	9323		
14/03/2023	01:35:00	0.1122	0.1122	0.1122	0.1122	145		
14/03/2023	01:40:00	0.1121	0.1121	0.112	0.1121	3549		
14/03/2023	01:45:00	0.1121	0.1124	0.1121	0.1124	12590		
14/03/2023	01:50:00	0.1124	0.1126	0.1124	0.1126	2499		
14/03/2023	01:55:00	0.1126	0.1132	0.1126	0.113	58687		
14/03/2023	02:00:00	0.1131	0.1132	0.1129	0.1132	11058		
14/03/2023	02:05:00	0.1133	0.1134	0.1128	0.1128	15597		
14/03/2023	02:10:00	0.1128	0.1128	0.1126	0.1126	8212		
14/03/2023	02:15:00	0.1126	0.1126	0.1125	0.1125	12912		
14/03/2023	02:20:00	0.1125	0.1125	0.1125	0.1125	198		
14/03/2023	02:25:00	0.1125	0.1127	0.1124	0.1125	6340		
14/03/2023	02:30:00	0.1125	0.1126	0.1123	0.1126	5783		
14/03/2023	02:35:00	0.1127	0.1128	0.1125	0.1125	2513		
14/03/2023	02:40:00	0.1125	0.1125	0.1125	0.1125	1379		
14/03/2023	02:45:00	0.1126	0.1126	0.1126	0.1126	753		
14/03/2023	02:50:00	0.1127	0.1127	0.1124	0.1124	2779		
14/03/2023	02:55:00	0.1127	0.1127	0.1124	0.1124	427		
14/03/2023	03:00:00	0.1125	0.1125	0.1125	0.1125	149		
14/03/2023	03:05:00	0.1125	0.1125	0.1125	0.1125	0		
14/03/2023	03:10:00	0.1127	0.1127	0.1125	0.1125	197		
14/03/2023	03:15:00	0.1127	0.1127	0.1124	0.1126	7659		
14/03/2023	03:20:00	0.1126	0.1127	0.1126	0.1127	517		
14/03/2023	03:25:00	0.1126	0.1127	0.1124	0.1124	5708		
14/03/2023	03:30:00	0.1129	0.1133	0.1129	0.1133	13266		
14/03/2023	03:35:00	0.1133	0.1136	0.1133	0.1136	2898		
14/03/2023	03:40:00	0.1136	0.1136	0.1134	0.1134	2758		
14/03/2023	03:45:00	0.1134	0.1134	0.1133	0.1133	1520		
