Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
22/07/2023	00:00:00	0.7692	0.7713	0.7683	0.7713	189762.4		
22/07/2023	00:05:00	0.7713	0.7724	0.77	0.772	164633.3		
22/07/2023	00:10:00	0.7719	0.7728	0.771	0.7726	121861.1		
22/07/2023	00:15:00	0.7726	0.7741	0.772	0.7738	189123.8		
22/07/2023	00:20:00	0.7739	0.7742	0.7729	0.7737	114458.9		
22/07/2023	00:25:00	0.7737	0.7737	0.7708	0.7709	224405.9		
22/07/2023	00:30:00	0.771	0.7715	0.7708	0.7715	77312.0		
22/07/2023	00:35:00	0.7715	0.7735	0.7709	0.7735	78273.0		
22/07/2023	00:40:00	0.7735	0.7739	0.773	0.7736	67912.4		
22/07/2023	00:45:00	0.7733	0.7738	0.7716	0.773	134462.5		
22/07/2023	00:50:00	0.7731	0.7752	0.7729	0.7747	158867.8		
22/07/2023	00:55:00	0.7745	0.7752	0.7743	0.7752	78277.9		
22/07/2023	01:00:00	0.7751	0.7753	0.7727	0.7727	88398.2		
22/07/2023	01:05:00	0.7726	0.7735	0.7723	0.7734	40558.1		
22/07/2023	01:10:00	0.7733	0.7736	0.7721	0.7723	62000.4		
22/07/2023	01:15:00	0.7723	0.7732	0.771	0.7722	102058.5		
22/07/2023	01:20:00	0.7722	0.7733	0.7717	0.7732	70492.8		
22/07/2023	01:25:00	0.7732	0.7733	0.7716	0.7717	42790.3		
22/07/2023	01:30:00	0.7718	0.7718	0.77	0.7702	112715.0		
22/07/2023	01:35:00	0.7702	0.7704	0.7694	0.7698	97170.8		
22/07/2023	01:40:00	0.7699	0.7709	0.7693	0.7705	103444.1		
22/07/2023	01:45:00	0.7704	0.7716	0.7696	0.7712	90864.0		
22/07/2023	01:50:00	0.771	0.7711	0.7701	0.7707	105553.7		
22/07/2023	01:55:00	0.7706	0.771	0.7699	0.7705	115398.0		
22/07/2023	02:00:00	0.7704	0.7714	0.7698	0.7706	70526.4		
22/07/2023	02:05:00	0.7706	0.7719	0.7706	0.7715	96384.8		
22/07/2023	02:10:00	0.7715	0.7715	0.77	0.7712	147436.9		
22/07/2023	02:15:00	0.7712	0.7718	0.7709	0.7717	28150.6		
22/07/2023	02:20:00	0.7717	0.7729	0.7715	0.7718	46233.3		
22/07/2023	02:25:00	0.7717	0.7727	0.771	0.771	35353.0		
22/07/2023	02:30:00	0.7711	0.7721	0.7709	0.772	32566.5		
22/07/2023	02:35:00	0.772	0.7732	0.7717	0.773	77981.9		
22/07/2023	02:40:00	0.7731	0.7736	0.7729	0.7731	96755.2		
22/07/2023	02:45:00	0.7732	0.7739	0.7732	0.7737	46733.4		
22/07/2023	02:50:00	0.7737	0.7742	0.7734	0.7738	21472.8		
22/07/2023	02:55:00	0.7738	0.7746	0.7727	0.7735	125463.5		
22/07/2023	03:00:00	0.7735	0.774	0.7717	0.772	63235.0		
22/07/2023	03:05:00	0.772	0.7725	0.771	0.7712	123086.3		
22/07/2023	03:10:00	0.7712	0.7715	0.7704	0.7713	196634.0		
22/07/2023	03:15:00	0.7713	0.7734	0.7709	0.7733	179256.9		
22/07/2023	03:20:00	0.7734	0.7752	0.7734	0.7748	192076.4		
22/07/2023	03:25:00	0.7749	0.7749	0.7729	0.7738	88499.4		
22/07/2023	03:30:00	0.774	0.7743	0.7733	0.7736	105692.9		
