Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
22/07/2023	00:00:00	1.378	1.378	1.376	1.377	2639.0		
22/07/2023	00:05:00	1.379	1.381	1.378	1.381	1130.6		
22/07/2023	00:10:00	1.379	1.388	1.379	1.386	9076.4		
22/07/2023	00:15:00	1.386	1.387	1.384	1.387	11272.4		
22/07/2023	00:20:00	1.386	1.386	1.385	1.385	1486.1		
22/07/2023	00:25:00	1.384	1.384	1.382	1.383	7044.4		
22/07/2023	00:30:00	1.383	1.384	1.382	1.384	2714.5		
22/07/2023	00:35:00	1.384	1.385	1.384	1.384	2739.4		
22/07/2023	00:40:00	1.385	1.385	1.383	1.383	4487.4		
22/07/2023	00:45:00	1.384	1.387	1.384	1.385	13779.2		
22/07/2023	00:50:00	1.385	1.386	1.385	1.385	2536.0		
22/07/2023	00:55:00	1.386	1.386	1.386	1.386	3532.8		
22/07/2023	01:00:00	1.386	1.388	1.384	1.387	9156.5		
22/07/2023	01:05:00	1.387	1.387	1.385	1.387	12837.0		
22/07/2023	01:10:00	1.386	1.391	1.386	1.389	7671.3		
22/07/2023	01:15:00	1.388	1.388	1.386	1.387	5149.2		
22/07/2023	01:20:00	1.388	1.39	1.388	1.39	1581.2		
22/07/2023	01:25:00	1.39	1.39	1.388	1.389	513.6		
22/07/2023	01:30:00	1.389	1.389	1.386	1.388	4404.2		
22/07/2023	01:35:00	1.388	1.389	1.387	1.387	3837.3		
22/07/2023	01:40:00	1.387	1.389	1.387	1.388	3490.7		
22/07/2023	01:45:00	1.387	1.39	1.387	1.389	3528.5		
22/07/2023	01:50:00	1.388	1.389	1.387	1.388	3307.9		
22/07/2023	01:55:00	1.387	1.387	1.385	1.385	1624.8		
22/07/2023	02:00:00	1.385	1.387	1.385	1.387	264.8		
22/07/2023	02:05:00	1.387	1.387	1.387	1.387	170.4		
22/07/2023	02:10:00	1.387	1.387	1.385	1.386	1451.3		
22/07/2023	02:15:00	1.387	1.388	1.387	1.388	801.1		
22/07/2023	02:20:00	1.388	1.389	1.388	1.388	1668.3		
22/07/2023	02:25:00	1.389	1.389	1.387	1.387	861.0		
22/07/2023	02:30:00	1.387	1.389	1.387	1.389	373.6		
22/07/2023	02:35:00	1.39	1.391	1.388	1.391	3632.2		
22/07/2023	02:40:00	1.392	1.393	1.391	1.393	11390.3		
22/07/2023	02:45:00	1.392	1.393	1.392	1.393	376.1		
22/07/2023	02:50:00	1.393	1.393	1.393	1.393	278.1		
22/07/2023	02:55:00	1.394	1.395	1.391	1.391	37579.1		
22/07/2023	03:00:00	1.393	1.393	1.389	1.389	1127.6		
22/07/2023	03:05:00	1.391	1.391	1.389	1.389	6802.0		
22/07/2023	03:10:00	1.389	1.389	1.386	1.387	6260.9		
22/07/2023	03:15:00	1.388	1.39	1.388	1.39	5594.1		
22/07/2023	03:20:00	1.391	1.394	1.391	1.392	4612.2		
22/07/2023	03:25:00	1.391	1.392	1.391	1.391	905.5		
22/07/2023	03:30:00	1.392	1.393	1.392	1.393	348.2		
22/07/2023	03:35:00	1.394	1.394	1.394	1.394	332.2		
22/07/2023	03:40:00	1.394	1.394	1.392	1.393	2472.8		
22/07/2023	03:45:00	1.394	1.394	1.392	1.392	5557.2		
22/07/2023	03:50:00	1.393	1.393	1.393	1.393	629.8		
22/07/2023	03:55:00	1.393	1.393	1.391	1.391	1124.7		
22/07/2023	04:00:00	1.391	1.392	1.391	1.392	1843.9		
22/07/2023	04:05:00	1.392	1.393	1.391	1.392	3978.0		
22/07/2023	04:10:00	1.392	1.393	1.392	1.392	1889.5		
22/07/2023	04:15:00	1.392	1.394	1.392	1.394	2025.2		
22/07/2023	04:20:00	1.393	1.394	1.393	1.394	2787.8		
22/07/2023	04:25:00	1.394	1.394	1.393	1.393	441.7		
22/07/2023	04:30:00	1.394	1.395	1.394	1.394	1048.8		
22/07/2023	04:35:00	1.394	1.395	1.393	1.393	2183.7		
22/07/2023	04:40:00	1.393	1.395	1.393	1.395	544.9		
22/07/2023	04:45:00	1.394	1.395	1.39	1.392	15655.4		
22/07/2023	04:50:00	1.392	1.393	1.389	1.39	1070.4		
22/07/2023	04:55:00	1.39	1.39	1.39	1.39	438.4		
22/07/2023	05:00:00	1.39	1.391	1.389	1.389	1151.9		
22/07/2023	05:05:00	1.389	1.391	1.389	1.389	4195.3		
22/07/2023	05:10:00	1.388	1.389	1.386	1.386	3809.7		
22/07/2023	05:15:00	1.386	1.388	1.385	1.386	3766.4		
22/07/2023	05:20:00	1.386	1.386	1.385	1.386	1837.9		
22/07/2023	05:25:00	1.386	1.388	1.385	1.386	5450.3		
22/07/2023	05:30:00	1.385	1.387	1.385	1.387	3434.3		
22/07/2023	05:35:00	1.387	1.389	1.387	1.388	1635.0		
22/07/2023	05:40:00	1.388	1.388	1.387	1.388	1672.3		
22/07/2023	05:45:00	1.388	1.388	1.387	1.388	4316.8		
22/07/2023	05:50:00	1.388	1.388	1.388	1.388	1415.2		
22/07/2023	05:55:00	1.388	1.389	1.387	1.387	614.4		
22/07/2023	06:00:00	1.387	1.389	1.387	1.389	1922.5		
22/07/2023	06:05:00	1.389	1.389	1.387	1.387	1781.1		
22/07/2023	06:10:00	1.387	1.387	1.387	1.387	404.0		
22/07/2023	06:15:00	1.387	1.389	1.387	1.388	1424.1		
22/07/2023	06:20:00	1.387	1.387	1.384	1.385	5181.1		
22/07/2023	06:25:00	1.385	1.386	1.385	1.385	529.2		
22/07/2023	06:30:00	1.385	1.385	1.384	1.384	1896.3		
22/07/2023	06:35:00	1.385	1.386	1.384	1.385	4896.8		
22/07/2023	06:40:00	1.385	1.386	1.385	1.386	703.8		
22/07/2023	06:45:00	1.386	1.386	1.386	1.386	0.0		
22/07/2023	06:50:00	1.385	1.388	1.385	1.388	5570.7		
22/07/2023	06:55:00	1.388	1.388	1.387	1.388	427.3		
22/07/2023	07:00:00	1.388	1.388	1.387	1.388	2166.8		
22/07/2023	07:05:00	1.388	1.388	1.387	1.388	752.1		
22/07/2023	07:10:00	1.389	1.39	1.388	1.388	701.8		
22/07/2023	07:15:00	1.388	1.388	1.388	1.388	382.6		
22/07/2023	07:20:00	1.388	1.388	1.388	1.388	319.6		
22/07/2023	07:25:00	1.389	1.39	1.389	1.39	1108.3		
22/07/2023	07:30:00	1.39	1.39	1.39	1.39	291.1		
22/07/2023	07:35:00	1.391	1.392	1.39	1.391	20052.3		
22/07/2023	07:40:00	1.393	1.394	1.39	1.39	3081.0		
22/07/2023	07:45:00	1.392	1.394	1.392	1.392	1563.9		
22/07/2023	07:50:00	1.392	1.394	1.392	1.393	6212.4		
22/07/2023	07:55:00	1.393	1.393	1.391	1.392	987.6		
22/07/2023	08:00:00	1.393	1.393	1.391	1.392	603.4		
22/07/2023	08:05:00	1.394	1.394	1.394	1.394	87.7		
22/07/2023	08:10:00	1.394	1.394	1.394	1.394	3041.3		
22/07/2023	08:15:00	1.395	1.395	1.393	1.393	1480.2		
22/07/2023	08:20:00	1.395	1.396	1.395	1.395	4576.0		
22/07/2023	08:25:00	1.395	1.395	1.392	1.392	3634.3		
22/07/2023	08:30:00	1.393	1.394	1.393	1.394	159.2		
22/07/2023	08:35:00	1.393	1.394	1.393	1.394	635.0		
22/07/2023	08:40:00	1.393	1.393	1.391	1.392	3906.0		
22/07/2023	08:45:00	1.392	1.392	1.389	1.39	7846.4		
22/07/2023	08:50:00	1.39	1.39	1.389	1.389	2347.9		
22/07/2023	08:55:00	1.389	1.389	1.389	1.389	0.0		
22/07/2023	09:00:00	1.388	1.388	1.387	1.387	2573.9		
22/07/2023	09:05:00	1.388	1.388	1.388	1.388	10.1		
22/07/2023	09:10:00	1.388	1.388	1.387	1.387	5363.3		
22/07/2023	09:15:00	1.389	1.389	1.389	1.389	36.0		
22/07/2023	09:20:00	1.389	1.392	1.389	1.392	14717.6		
22/07/2023	09:25:00	1.391	1.391	1.391	1.391	369.6		
22/07/2023	09:30:00	1.39	1.391	1.39	1.391	2192.9		
22/07/2023	09:35:00	1.392	1.392	1.391	1.392	313.9		
22/07/2023	09:40:00	1.392	1.394	1.392	1.393	4105.7		
22/07/2023	09:45:00	1.393	1.393	1.39	1.391	14219.4		
22/07/2023	09:50:00	1.39	1.39	1.387	1.387	2681.6		
22/07/2023	09:55:00	1.388	1.388	1.384	1.385	6321.4		
22/07/2023	10:00:00	1.386	1.386	1.376	1.382	22354.9		
22/07/2023	10:05:00	1.38	1.383	1.379	1.382	4237.4		
22/07/2023	10:10:00	1.381	1.381	1.379	1.381	3015.8		
22/07/2023	10:15:00	1.381	1.382	1.381	1.382	1187.8		
22/07/2023	10:20:00	1.382	1.383	1.382	1.383	221.7		
22/07/2023	10:25:00	1.383	1.383	1.382	1.382	235.7		
22/07/2023	10:30:00	1.383	1.384	1.383	1.384	591.8		
22/07/2023	10:35:00	1.383	1.384	1.383	1.384	2617.9		
22/07/2023	10:40:00	1.385	1.386	1.385	1.386	303.7		
22/07/2023	10:45:00	1.385	1.385	1.384	1.384	2397.4		
22/07/2023	10:50:00	1.384	1.384	1.383	1.383	306.9		
22/07/2023	10:55:00	1.383	1.384	1.383	1.384	433.5		
22/07/2023	11:00:00	1.385	1.385	1.384	1.384	794.9		
22/07/2023	11:05:00	1.384	1.384	1.384	1.384	186.3		
22/07/2023	11:10:00	1.383	1.383	1.383	1.383	710.1		
22/07/2023	11:15:00	1.382	1.384	1.382	1.383	577.6		
22/07/2023	11:20:00	1.383	1.384	1.383	1.384	2472.1		
22/07/2023	11:25:00	1.384	1.384	1.384	1.384	202.0		
22/07/2023	11:30:00	1.384	1.385	1.384	1.385	2916.1		
22/07/2023	11:35:00	1.385	1.385	1.385	1.385	254.2		
22/07/2023	11:40:00	1.385	1.385	1.384	1.384	57.0		
22/07/2023	11:45:00	1.384	1.384	1.383	1.383	366.6		
22/07/2023	11:50:00	1.384	1.384	1.382	1.383	2982.4		
22/07/2023	11:55:00	1.383	1.383	1.382	1.383	1663.7		
22/07/2023	12:00:00	1.383	1.383	1.382	1.382	885.7		
22/07/2023	12:05:00	1.382	1.382	1.382	1.382	0.0		
22/07/2023	12:10:00	1.381	1.381	1.38	1.38	14295.0		
22/07/2023	12:15:00	1.38	1.381	1.379	1.381	7589.1		
22/07/2023	12:20:00	1.381	1.383	1.38	1.383	2159.1		
22/07/2023	12:25:00	1.383	1.384	1.383	1.384	1021.4		
22/07/2023	12:30:00	1.384	1.385	1.382	1.382	3613.7		
22/07/2023	12:35:00	1.383	1.384	1.382	1.382	1966.6		
22/07/2023	12:40:00	1.382	1.384	1.382	1.382	13584.9		
22/07/2023	12:45:00	1.382	1.382	1.38	1.381	2819.6		
22/07/2023	12:50:00	1.38	1.38	1.38	1.38	738.5		
22/07/2023	12:55:00	1.379	1.38	1.379	1.38	8660.6		
22/07/2023	13:00:00	1.38	1.38	1.38	1.38	558.9		
22/07/2023	13:05:00	1.381	1.382	1.381	1.382	1589.4		
22/07/2023	13:10:00	1.381	1.384	1.381	1.384	6722.2		
22/07/2023	13:15:00	1.383	1.383	1.383	1.383	227.9		
22/07/2023	13:20:00	1.384	1.384	1.383	1.383	841.1		
22/07/2023	13:25:00	1.383	1.383	1.383	1.383	85.1		
22/07/2023	13:30:00	1.383	1.383	1.383	1.383	1023.5		
22/07/2023	13:35:00	1.383	1.384	1.383	1.384	2964.2		
22/07/2023	13:40:00	1.384	1.384	1.384	1.384	541.9		
22/07/2023	13:45:00	1.384	1.384	1.384	1.384	2469.2		
22/07/2023	13:50:00	1.385	1.385	1.385	1.385	4643.3		
22/07/2023	13:55:00	1.385	1.385	1.385	1.385	224.8		
22/07/2023	14:00:00	1.386	1.387	1.386	1.387	2757.6		
22/07/2023	14:05:00	1.387	1.389	1.387	1.388	1260.0		
22/07/2023	14:10:00	1.389	1.389	1.387	1.388	1474.8		
22/07/2023	14:15:00	1.388	1.388	1.388	1.388	57.5		
22/07/2023	14:20:00	1.388	1.389	1.386	1.386	8431.1		
22/07/2023	14:25:00	1.386	1.386	1.386	1.386	443.2		
22/07/2023	14:30:00	1.386	1.386	1.386	1.386	209.5		
22/07/2023	14:35:00	1.387	1.389	1.387	1.388	3745.5		
22/07/2023	14:40:00	1.387	1.388	1.386	1.386	697.3		
22/07/2023	14:45:00	1.386	1.386	1.385	1.385	2450.7		
22/07/2023	14:50:00	1.386	1.386	1.385	1.385	1606.8		
22/07/2023	14:55:00	1.386	1.386	1.386	1.386	810.5		
22/07/2023	15:00:00	1.387	1.387	1.385	1.385	2426.6		
22/07/2023	15:05:00	1.385	1.386	1.385	1.385	551.8		
22/07/2023	15:10:00	1.387	1.387	1.386	1.386	1845.6		
22/07/2023	15:15:00	1.385	1.386	1.384	1.385	4835.6		
22/07/2023	15:20:00	1.384	1.385	1.384	1.385	619.0		
22/07/2023	15:25:00	1.385	1.386	1.385	1.386	961.0		
22/07/2023	15:30:00	1.387	1.387	1.386	1.386	2563.0		
22/07/2023	15:35:00	1.386	1.386	1.386	1.386	72.1		
22/07/2023	15:40:00	1.386	1.388	1.386	1.388	1026.0		
22/07/2023	15:45:00	1.389	1.389	1.389	1.389	70.7		
