Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
14/03/2023	00:00:00	11.07	11.09	10.98	10.99	3487.76		
14/03/2023	00:05:00	10.98	11.03	10.95	11.01	4422.66		
14/03/2023	00:10:00	11.0	11.07	11.0	11.01	1686.17		
14/03/2023	00:15:00	11.0	11.06	10.99	11.06	4499.24		
14/03/2023	00:20:00	11.06	11.16	11.06	11.13	10704.85		
14/03/2023	00:25:00	11.13	11.22	11.11	11.17	12469.4		
14/03/2023	00:30:00	11.17	11.18	11.11	11.15	11698.63		
14/03/2023	00:35:00	11.14	11.17	11.12	11.14	2344.8		
14/03/2023	00:40:00	11.15	11.16	11.09	11.1	3290.22		
14/03/2023	00:45:00	11.1	11.14	11.03	11.11	7877.94		
14/03/2023	00:50:00	11.12	11.17	11.11	11.16	8294.15		
14/03/2023	00:55:00	11.15	11.15	11.07	11.08	6080.83		
14/03/2023	01:00:00	11.08	11.08	11.03	11.06	3683.14		
14/03/2023	01:05:00	11.07	11.1	11.07	11.08	1489.28		
14/03/2023	01:10:00	11.08	11.09	11.01	11.02	1706.91		
14/03/2023	01:15:00	11.01	11.05	11.01	11.05	806.83		
14/03/2023	01:20:00	11.05	11.07	11.04	11.04	584.68		
14/03/2023	01:25:00	11.04	11.08	11.03	11.08	2048.46		
14/03/2023	01:30:00	11.08	11.08	11.04	11.07	3193.88		
14/03/2023	01:35:00	11.06	11.1	11.05	11.1	1130.54		
14/03/2023	01:40:00	11.1	11.15	11.08	11.15	2524.82		
14/03/2023	01:45:00	11.14	11.17	11.11	11.11	3356.46		
14/03/2023	01:50:00	11.12	11.14	11.11	11.12	2062.52		
14/03/2023	01:55:00	11.12	11.14	11.1	11.14	1808.94		
14/03/2023	02:00:00	11.14	11.16	11.13	11.15	1544.57		
14/03/2023	02:05:00	11.15	11.15	11.09	11.1	1184.23		
14/03/2023	02:10:00	11.1	11.1	11.07	11.09	887.94		
14/03/2023	02:15:00	11.09	11.09	11.07	11.09	1192.66		
14/03/2023	02:20:00	11.09	11.12	11.09	11.11	1076.67		
14/03/2023	02:25:00	11.1	11.1	11.05	11.06	899.72		
14/03/2023	02:30:00	11.06	11.13	11.06	11.12	673.96		
14/03/2023	02:35:00	11.12	11.12	11.1	11.1	331.8		
14/03/2023	02:40:00	11.1	11.1	11.08	11.09	375.9		
14/03/2023	02:45:00	11.09	11.1	11.09	11.09	449.12		
14/03/2023	02:50:00	11.09	11.1	11.06	11.06	363.21		
14/03/2023	02:55:00	11.06	11.08	11.06	11.07	681.26		
14/03/2023	03:00:00	11.08	11.08	11.03	11.03	604.93		
14/03/2023	03:05:00	11.03	11.06	11.03	11.05	230.9		
14/03/2023	03:10:00	11.05	11.07	11.05	11.06	449.07		
14/03/2023	03:15:00	11.05	11.06	11.05	11.06	2190.27		
14/03/2023	03:20:00	11.06	11.06	11.05	11.05	519.66		
14/03/2023	03:25:00	11.04	11.07	11.04	11.07	129.8		
14/03/2023	03:30:00	11.08	11.08	11.07	11.08	831.55		
14/03/2023	03:35:00	11.08	11.11	11.08	11.11	2364.45		
14/03/2023	03:40:00	11.12	11.12	11.1	11.11	261.39		
14/03/2023	03:45:00	11.11	11.12	11.11	11.12	165.1		
14/03/2023	03:50:00	11.11	11.14	11.1	11.14	1293.5		
14/03/2023	03:55:00	11.14	11.16	11.13	11.16	1948.25		
14/03/2023	04:00:00	11.16	11.16	11.13	11.13	2710.32		
14/03/2023	04:05:00	11.13	11.13	11.1	11.1	1240.26		
14/03/2023	04:10:00	11.12	11.12	11.11	11.11	861.07		
14/03/2023	04:15:00	11.11	11.12	11.09	11.09	925.06		
14/03/2023	04:20:00	11.09	11.09	11.05	11.07	3648.82		
14/03/2023	04:25:00	11.07	11.08	11.07	11.07	733.81		
14/03/2023	04:30:00	11.07	11.08	11.06	11.08	497.36		
14/03/2023	04:35:00	11.08	11.1	11.07	11.09	346.17		
14/03/2023	04:40:00	11.1	11.1	11.06	11.07	1488.07		
14/03/2023	04:45:00	11.07	11.1	11.06	11.09	279.01		
14/03/2023	04:50:00	11.09	11.09	11.07	11.08	461.85		
14/03/2023	04:55:00	11.08	11.1	11.08	11.09	129.11		
14/03/2023	05:00:00	11.08	11.11	11.07	11.11	4575.94		
14/03/2023	05:05:00	11.11	11.12	11.11	11.11	1183.74		
14/03/2023	05:10:00	11.11	11.21	11.11	11.18	8045.17		
14/03/2023	05:15:00	11.19	11.19	11.05	11.06	3751.32		
14/03/2023	05:20:00	11.06	11.07	11.0	11.01	3592.28		
14/03/2023	05:25:00	11.01	11.04	10.96	11.04	2194.89		
14/03/2023	05:30:00	11.04	11.08	11.02	11.02	1696.29		
14/03/2023	05:35:00	11.02	11.03	10.99	11.0	824.74		
14/03/2023	05:40:00	11.01	11.02	10.97	10.98	2060.35		
14/03/2023	05:45:00	10.98	11.02	10.98	11.01	963.05		
14/03/2023	05:50:00	11.01	11.01	10.96	10.96	1859.51		
14/03/2023	05:55:00	10.96	11.0	10.94	11.0	1269.93		
14/03/2023	06:00:00	11.0	11.03	11.0	11.01	884.39		
14/03/2023	06:05:00	11.01	11.04	11.01	11.03	1047.53		
14/03/2023	06:10:00	11.03	11.03	10.96	10.98	1413.17		
14/03/2023	06:15:00	10.98	11.0	10.97	10.98	2594.53		
14/03/2023	06:20:00	10.99	11.01	10.99	11.0	807.05		
14/03/2023	06:25:00	11.01	11.01	10.98	11.0	827.33		
14/03/2023	06:30:00	11.01	11.01	11.01	11.01	183.09		
14/03/2023	06:35:00	11.0	11.0	10.98	10.98	833.85		
14/03/2023	06:40:00	10.98	10.98	10.97	10.97	221.68		
14/03/2023	06:45:00	10.97	11.0	10.97	10.98	1732.06		
14/03/2023	06:50:00	10.98	10.98	10.96	10.96	799.99		
14/03/2023	06:55:00	10.96	10.98	10.95	10.97	696.77		
14/03/2023	07:00:00	10.97	10.99	10.97	10.98	1395.92		
14/03/2023	07:05:00	10.98	10.98	10.96	10.98	1211.73		
14/03/2023	07:10:00	10.99	10.99	10.97	10.97	654.57		
14/03/2023	07:15:00	10.97	10.97	10.95	10.97	988.12		
14/03/2023	07:20:00	10.97	10.97	10.96	10.97	331.82		
14/03/2023	07:25:00	10.98	10.99	10.89	10.89	6396.21		
14/03/2023	07:30:00	10.9	10.93	10.89	10.9	2803.56		
14/03/2023	07:35:00	10.9	10.91	10.87	10.87	5412.8		
14/03/2023	07:40:00	10.87	10.89	10.82	10.84	5436.68		
14/03/2023	07:45:00	10.84	10.86	10.78	10.8	5902.83		
14/03/2023	07:50:00	10.81	10.86	10.81	10.86	3897.42		
14/03/2023	07:55:00	10.85	10.88	10.85	10.86	4042.72		
14/03/2023	08:00:00	10.86	10.88	10.82	10.82	1864.01		
14/03/2023	08:05:00	10.81	10.82	10.77	10.78	6255.59		
14/03/2023	08:10:00	10.77	10.77	10.66	10.7	14743.51		
14/03/2023	08:15:00	10.7	10.81	10.69	10.81	6408.34		
14/03/2023	08:20:00	10.82	10.85	10.81	10.85	1207.75		
14/03/2023	08:25:00	10.84	10.85	10.83	10.85	2143.01		
14/03/2023	08:30:00	10.84	10.86	10.83	10.86	2843.06		
14/03/2023	08:35:00	10.86	10.88	10.85	10.88	1860.77		
14/03/2023	08:40:00	10.86	10.86	10.79	10.81	3839.68		
14/03/2023	08:45:00	10.81	10.84	10.8	10.81	1140.9		
14/03/2023	08:50:00	10.81	10.83	10.81	10.83	5347.46		
14/03/2023	08:55:00	10.84	10.86	10.82	10.83	2822.2		
14/03/2023	09:00:00	10.83	10.83	10.78	10.79	6700.65		
14/03/2023	09:05:00	10.79	10.82	10.79	10.79	1151.47		
14/03/2023	09:10:00	10.79	10.83	10.78	10.83	1331.81		
14/03/2023	09:15:00	10.82	10.82	10.79	10.79	1154.3		
14/03/2023	09:20:00	10.78	10.78	10.76	10.77	1349.4		
14/03/2023	09:25:00	10.78	10.8	10.75	10.75	839.28		
14/03/2023	09:30:00	10.75	10.79	10.74	10.79	1100.83		
14/03/2023	09:35:00	10.79	10.81	10.79	10.8	344.85		
14/03/2023	09:40:00	10.8	10.81	10.79	10.79	817.03		
14/03/2023	09:45:00	10.79	10.82	10.79	10.81	2180.73		
