Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
14/03/2023	00:00:00	0.1007	0.1007	0.1005	0.1007	25704		
14/03/2023	00:05:00	0.1005	0.1007	0.1	0.1007	34272		
14/03/2023	00:10:00	0.1007	0.1012	0.1005	0.1005	63882		
14/03/2023	00:15:00	0.1005	0.1015	0.1004	0.1015	372397		
14/03/2023	00:20:00	0.1012	0.1013	0.1005	0.1009	87925		
14/03/2023	00:25:00	0.1008	0.1008	0.1005	0.1006	13797		
14/03/2023	00:30:00	0.1006	0.1011	0.1004	0.1006	106002		
14/03/2023	00:35:00	0.1005	0.1009	0.1004	0.1009	28966		
14/03/2023	00:40:00	0.101	0.101	0.0999	0.1003	272739		
14/03/2023	00:45:00	0.1003	0.1008	0.1003	0.1008	40460		
14/03/2023	00:50:00	0.1008	0.1008	0.1005	0.1006	42155		
14/03/2023	00:55:00	0.1004	0.1005	0.0997	0.0998	38199		
14/03/2023	01:00:00	0.0998	0.0998	0.0996	0.0996	105540		
14/03/2023	01:05:00	0.1	0.1004	0.1	0.1003	21156		
14/03/2023	01:10:00	0.1003	0.1004	0.0999	0.0999	20312		
14/03/2023	01:15:00	0.0999	0.1006	0.0999	0.1006	23636		
14/03/2023	01:20:00	0.1004	0.1005	0.1004	0.1005	6068		
14/03/2023	01:25:00	0.1002	0.1007	0.1002	0.1007	8285		
14/03/2023	01:30:00	0.1005	0.1006	0.1003	0.1005	23410		
14/03/2023	01:35:00	0.1002	0.1005	0.1002	0.1004	14477		
14/03/2023	01:40:00	0.1003	0.1008	0.1003	0.1008	65992		
14/03/2023	01:45:00	0.101	0.1011	0.1008	0.1009	109438		
14/03/2023	01:50:00	0.1008	0.1016	0.1006	0.1012	471506		
14/03/2023	01:55:00	0.1013	0.1014	0.1008	0.101	23417		
14/03/2023	02:00:00	0.101	0.1012	0.1007	0.101	45036		
14/03/2023	02:05:00	0.101	0.101	0.1005	0.1006	22111		
14/03/2023	02:10:00	0.1005	0.1006	0.1002	0.1003	5136		
14/03/2023	02:15:00	0.1002	0.1002	0.0998	0.1001	31871		
14/03/2023	02:20:00	0.1003	0.1004	0.1002	0.1003	8541		
14/03/2023	02:25:00	0.1002	0.1002	0.0999	0.1	6735		
14/03/2023	02:30:00	0.0999	0.1003	0.0998	0.1002	3936		
14/03/2023	02:35:00	0.1002	0.1002	0.1001	0.1001	5175		
