Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
22/07/2023	00:00:00	0.62	0.621	0.619	0.621	2617.8		
22/07/2023	00:05:00	0.621	0.621	0.62	0.62	3268.8		
22/07/2023	00:10:00	0.621	0.621	0.62	0.62	1801.8		
22/07/2023	00:15:00	0.622	0.624	0.621	0.624	6692.1		
22/07/2023	00:20:00	0.623	0.623	0.623	0.623	46.9		
22/07/2023	00:25:00	0.622	0.622	0.621	0.621	4496.1		
22/07/2023	00:30:00	0.621	0.621	0.621	0.621	0.0		
22/07/2023	00:35:00	0.621	0.621	0.621	0.621	1164.3		
22/07/2023	00:40:00	0.621	0.622	0.621	0.621	10550.0		
22/07/2023	00:45:00	0.621	0.621	0.62	0.62	1127.0		
22/07/2023	00:50:00	0.621	0.623	0.621	0.623	1131.8		
22/07/2023	00:55:00	0.623	0.624	0.623	0.624	3556.7		
22/07/2023	01:00:00	0.624	0.624	0.622	0.622	1579.1		
22/07/2023	01:05:00	0.623	0.623	0.623	0.623	915.3		
22/07/2023	01:10:00	0.624	0.625	0.624	0.624	3370.1		
22/07/2023	01:15:00	0.624	0.624	0.623	0.624	5587.7		
22/07/2023	01:20:00	0.624	0.625	0.624	0.625	5014.1		
22/07/2023	01:25:00	0.626	0.626	0.624	0.624	13307.4		
22/07/2023	01:30:00	0.625	0.625	0.623	0.623	884.7		
22/07/2023	01:35:00	0.624	0.624	0.624	0.624	1898.4		
22/07/2023	01:40:00	0.623	0.624	0.623	0.624	9653.8		
22/07/2023	01:45:00	0.624	0.624	0.624	0.624	273.1		
22/07/2023	01:50:00	0.623	0.623	0.623	0.623	3177.4		
22/07/2023	01:55:00	0.623	0.623	0.623	0.623	3321.2		
22/07/2023	02:00:00	0.623	0.623	0.621	0.622	10377.7		
22/07/2023	02:05:00	0.623	0.623	0.623	0.623	1568.4		
22/07/2023	02:10:00	0.622	0.623	0.622	0.623	107.6		
22/07/2023	02:15:00	0.623	0.623	0.623	0.623	0.0		
22/07/2023	02:20:00	0.623	0.625	0.623	0.625	13209.3		
22/07/2023	02:25:00	0.624	0.624	0.623	0.623	2897.9		
22/07/2023	02:30:00	0.623	0.625	0.623	0.625	852.9		
22/07/2023	02:35:00	0.625	0.625	0.625	0.625	591.0		
22/07/2023	02:40:00	0.625	0.625	0.625	0.625	563.5		
22/07/2023	02:45:00	0.625	0.626	0.625	0.626	810.9		
22/07/2023	02:50:00	0.626	0.626	0.625	0.626	580.7		
22/07/2023	02:55:00	0.626	0.628	0.626	0.627	1882.1		
22/07/2023	03:00:00	0.626	0.627	0.626	0.626	416.3		
22/07/2023	03:05:00	0.627	0.627	0.627	0.627	2150.0		
22/07/2023	03:10:00	0.627	0.628	0.626	0.628	5383.5		
22/07/2023	03:15:00	0.628	0.63	0.628	0.63	4095.5		
22/07/2023	03:20:00	0.631	0.633	0.631	0.632	14539.7		
22/07/2023	03:25:00	0.632	0.632	0.63	0.631	4506.8		
22/07/2023	03:30:00	0.63	0.631	0.63	0.631	147.6		
22/07/2023	03:35:00	0.631	0.633	0.631	0.632	4691.6		
22/07/2023	03:40:00	0.632	0.632	0.63	0.63	1331.3		
22/07/2023	03:45:00	0.63	0.63	0.629	0.629	7265.9		
22/07/2023	03:50:00	0.629	0.63	0.629	0.63	931.5		
22/07/2023	03:55:00	0.629	0.629	0.628	0.628	6736.4		
22/07/2023	04:00:00	0.627	0.629	0.627	0.629	4388.8		
22/07/2023	04:05:00	0.629	0.629	0.629	0.629	1130.2		
22/07/2023	04:10:00	0.63	0.63	0.63	0.63	677.7		
22/07/2023	04:15:00	0.63	0.632	0.63	0.631	3278.4		
22/07/2023	04:20:00	0.631	0.631	0.631	0.631	567.4		
22/07/2023	04:25:00	0.631	0.631	0.63	0.63	1223.4		
22/07/2023	04:30:00	0.631	0.631	0.63	0.63	54.6		
22/07/2023	04:35:00	0.63	0.63	0.629	0.629	4612.3		
22/07/2023	04:40:00	0.629	0.629	0.628	0.628	2789.9		
22/07/2023	04:45:00	0.629	0.629	0.626	0.627	4512.1		
22/07/2023	04:50:00	0.628	0.628	0.627	0.627	984.7		
22/07/2023	04:55:00	0.627	0.628	0.627	0.628	412.5		
22/07/2023	05:00:00	0.629	0.629	0.629	0.629	117.5		
22/07/2023	05:05:00	0.628	0.628	0.628	0.628	83.3		
22/07/2023	05:10:00	0.626	0.628	0.626	0.628	12087.5		
22/07/2023	05:15:00	0.626	0.628	0.626	0.628	1976.3		
22/07/2023	05:20:00	0.627	0.627	0.626	0.626	4714.0		
22/07/2023	05:25:00	0.627	0.627	0.627	0.627	1641.5		
22/07/2023	05:30:00	0.626	0.626	0.626	0.626	2080.5		
22/07/2023	05:35:00	0.626	0.627	0.626	0.627	2789.0		
22/07/2023	05:40:00	0.627	0.627	0.627	0.627	322.4		
22/07/2023	05:45:00	0.627	0.628	0.627	0.628	220.6		
22/07/2023	05:50:00	0.628	0.628	0.628	0.628	716.3		
22/07/2023	05:55:00	0.628	0.628	0.628	0.628	177.7		
22/07/2023	06:00:00	0.628	0.629	0.627	0.628	9330.5		
22/07/2023	06:05:00	0.626	0.626	0.626	0.626	29.7		
22/07/2023	06:10:00	0.627	0.627	0.625	0.625	3666.0		
22/07/2023	06:15:00	0.626	0.626	0.626	0.626	1706.1		
22/07/2023	06:20:00	0.627	0.627	0.624	0.626	6011.7		
22/07/2023	06:25:00	0.626	0.627	0.626	0.627	515.5		
22/07/2023	06:30:00	0.626	0.627	0.626	0.626	190.9		
22/07/2023	06:35:00	0.627	0.627	0.627	0.627	1506.0		
22/07/2023	06:40:00	0.627	0.627	0.626	0.627	5770.8		
22/07/2023	06:45:00	0.627	0.627	0.627	0.627	209.1		
22/07/2023	06:50:00	0.627	0.628	0.627	0.628	3863.0		
22/07/2023	06:55:00	0.628	0.628	0.628	0.628	614.5		
22/07/2023	07:00:00	0.628	0.628	0.627	0.627	1092.6		
22/07/2023	07:05:00	0.628	0.628	0.627	0.628	682.9		
22/07/2023	07:10:00	0.627	0.627	0.627	0.627	1618.8		
22/07/2023	07:15:00	0.626	0.627	0.626	0.627	634.7		
22/07/2023	07:20:00	0.627	0.627	0.626	0.627	1525.1		
22/07/2023	07:25:00	0.628	0.629	0.628	0.628	1890.4		
22/07/2023	07:30:00	0.628	0.629	0.628	0.628	702.8		
22/07/2023	07:35:00	0.628	0.628	0.628	0.628	49.0		
22/07/2023	07:40:00	0.628	0.628	0.628	0.628	124.4		
22/07/2023	07:45:00	0.628	0.629	0.628	0.628	198.1		
22/07/2023	07:50:00	0.628	0.629	0.628	0.629	1652.9		
22/07/2023	07:55:00	0.629	0.63	0.629	0.63	509.7		
22/07/2023	08:00:00	0.629	0.629	0.628	0.628	2200.9		
22/07/2023	08:05:00	0.629	0.63	0.629	0.629	807.0		
22/07/2023	08:10:00	0.629	0.63	0.629	0.63	1903.1		
