Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
14/03/2023	00:00:00	0.03259	0.03268	0.03254	0.0326	545713.8		
14/03/2023	00:05:00	0.03253	0.03253	0.03199	0.03204	1545603.5		
14/03/2023	00:10:00	0.03208	0.03259	0.03208	0.03239	818689.9		
14/03/2023	00:15:00	0.03239	0.03311	0.03232	0.0329	1869663.4		
14/03/2023	00:20:00	0.03286	0.03303	0.03271	0.03294	343548.2		
14/03/2023	00:25:00	0.03293	0.03305	0.03286	0.03287	465213.4		
14/03/2023	00:30:00	0.03286	0.03295	0.03285	0.03289	131361.6		
14/03/2023	00:35:00	0.03289	0.03289	0.03267	0.03277	340673.1		
14/03/2023	00:40:00	0.03278	0.03284	0.03251	0.03254	326958.0		
14/03/2023	00:45:00	0.03251	0.03278	0.03232	0.03276	468715.5		
14/03/2023	00:50:00	0.03277	0.03288	0.03274	0.03274	213962.2		
14/03/2023	00:55:00	0.03271	0.03271	0.03255	0.03256	315277.0		
14/03/2023	01:00:00	0.03256	0.0326	0.0325	0.03258	188056.5		
14/03/2023	01:05:00	0.03262	0.03268	0.0326	0.0326	29045.3		
14/03/2023	01:10:00	0.03262	0.03271	0.0326	0.0326	104723.5		
14/03/2023	01:15:00	0.0326	0.03281	0.0326	0.03275	120724.1		
14/03/2023	01:20:00	0.03272	0.03299	0.03272	0.03273	415695.1		
14/03/2023	01:25:00	0.03273	0.03298	0.03272	0.03292	219145.8		
14/03/2023	01:30:00	0.03292	0.03296	0.03272	0.03278	276092.8		
14/03/2023	01:35:00	0.03278	0.03298	0.03272	0.03298	287436.0		
14/03/2023	01:40:00	0.03288	0.03299	0.0328	0.03294	555780.5		
14/03/2023	01:45:00	0.03294	0.03308	0.03294	0.03305	734139.8		
14/03/2023	01:50:00	0.03308	0.03321	0.03308	0.03314	710965.6		
14/03/2023	01:55:00	0.0331	0.03322	0.0331	0.0332	387520.0		
14/03/2023	02:00:00	0.03317	0.03329	0.03314	0.03328	668069.2		
14/03/2023	02:05:00	0.03326	0.03328	0.033	0.03307	566736.8		
14/03/2023	02:10:00	0.03307	0.03307	0.03291	0.03305	403178.3		
14/03/2023	02:15:00	0.03304	0.03306	0.03296	0.03302	87479.9		
14/03/2023	02:20:00	0.03304	0.03313	0.03304	0.03312	176426.0		
14/03/2023	02:25:00	0.03311	0.03318	0.03283	0.03291	924609.2		
14/03/2023	02:30:00	0.03291	0.03305	0.03289	0.03305	55966.9		
14/03/2023	02:35:00	0.03305	0.03314	0.03299	0.03299	194522.3		
14/03/2023	02:40:00	0.03299	0.03299	0.03287	0.03299	104375.5		
14/03/2023	02:45:00	0.03299	0.03301	0.03296	0.033	114466.0		
14/03/2023	02:50:00	0.03293	0.03295	0.03285	0.0329	155099.4		
14/03/2023	02:55:00	0.03285	0.03285	0.03271	0.03271	218939.2		
14/03/2023	03:00:00	0.0327	0.03283	0.03266	0.03281	294367.7		
14/03/2023	03:05:00	0.03286	0.03311	0.03286	0.03295	449968.2		
14/03/2023	03:10:00	0.03299	0.0332	0.03299	0.033	828156.1		
14/03/2023	03:15:00	0.033	0.03303	0.03293	0.03303	102023.8		
14/03/2023	03:20:00	0.03303	0.0333	0.03303	0.03329	595151.8		
14/03/2023	03:25:00	0.03328	0.03329	0.03314	0.03324	182952.3		
14/03/2023	03:30:00	0.03324	0.03325	0.03318	0.0332	107120.9		
14/03/2023	03:35:00	0.03318	0.03318	0.03309	0.03318	286593.6		
14/03/2023	03:40:00	0.03318	0.03364	0.03317	0.03356	1106448.0		
14/03/2023	03:45:00	0.03363	0.034	0.03355	0.03371	1711378.7		
14/03/2023	03:50:00	0.03371	0.0339	0.03366	0.03385	374383.8		
14/03/2023	03:55:00	0.03378	0.03411	0.03376	0.03401	593600.1		
14/03/2023	04:00:00	0.03399	0.03401	0.03386	0.03386	407109.0		
14/03/2023	04:05:00	0.03386	0.03391	0.03379	0.0339	320330.4		
14/03/2023	04:10:00	0.03388	0.03389	0.03335	0.03389	1578873.2		
14/03/2023	04:15:00	0.03389	0.03389	0.03339	0.03339	690181.9		
14/03/2023	04:20:00	0.03347	0.03361	0.0334	0.03344	493811.1		
14/03/2023	04:25:00	0.03344	0.03353	0.03325	0.0334	743873.4		
14/03/2023	04:30:00	0.03341	0.03361	0.03335	0.03339	303081.4		
14/03/2023	04:35:00	0.03341	0.03379	0.03337	0.03363	820488.5		
14/03/2023	04:40:00	0.0336	0.03362	0.03337	0.03337	188140.0		
14/03/2023	04:45:00	0.03338	0.03343	0.03332	0.03342	271759.0		
14/03/2023	04:50:00	0.03344	0.03345	0.03308	0.0332	745062.6		
14/03/2023	04:55:00	0.0332	0.03322	0.03292	0.03304	1315092.8		
14/03/2023	05:00:00	0.03304	0.03322	0.03304	0.03305	338482.5		
