Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
22/07/2023	00:00:00	2.757	2.759	2.757	2.758	1271.4		
22/07/2023	00:05:00	2.76	2.763	2.758	2.76	1253.5		
22/07/2023	00:10:00	2.76	2.764	2.759	2.764	110.6		
22/07/2023	00:15:00	2.765	2.773	2.765	2.772	1623.2		
22/07/2023	00:20:00	2.773	2.773	2.771	2.772	781.7		
22/07/2023	00:25:00	2.771	2.771	2.769	2.771	890.3		
22/07/2023	00:30:00	2.769	2.771	2.769	2.771	372.7		
22/07/2023	00:35:00	2.771	2.777	2.771	2.775	2324.8		
22/07/2023	00:40:00	2.777	2.779	2.777	2.779	163.6		
22/07/2023	00:45:00	2.779	2.781	2.774	2.779	1915.4		
22/07/2023	00:50:00	2.781	2.784	2.779	2.782	5507.1		
22/07/2023	00:55:00	2.782	2.787	2.782	2.786	5615.6		
22/07/2023	01:00:00	2.786	2.79	2.773	2.773	3885.5		
22/07/2023	01:05:00	2.773	2.778	2.77	2.778	2340.3		
22/07/2023	01:10:00	2.779	2.782	2.776	2.78	835.8		
22/07/2023	01:15:00	2.783	2.789	2.782	2.783	2888.9		
22/07/2023	01:20:00	2.781	2.784	2.78	2.784	330.2		
22/07/2023	01:25:00	2.784	2.784	2.779	2.78	456.8		
22/07/2023	01:30:00	2.779	2.779	2.772	2.773	1109.7		
22/07/2023	01:35:00	2.772	2.773	2.771	2.773	329.0		
22/07/2023	01:40:00	2.771	2.773	2.768	2.771	1853.6		
22/07/2023	01:45:00	2.771	2.771	2.771	2.771	0.0		
22/07/2023	01:50:00	2.77	2.77	2.767	2.767	1492.0		
22/07/2023	01:55:00	2.768	2.768	2.768	2.768	17.0		
22/07/2023	02:00:00	2.77	2.771	2.767	2.767	2067.4		
22/07/2023	02:05:00	2.767	2.769	2.766	2.768	640.7		
22/07/2023	02:10:00	2.767	2.767	2.762	2.763	2236.1		
22/07/2023	02:15:00	2.764	2.764	2.762	2.763	162.6		
22/07/2023	02:20:00	2.763	2.763	2.762	2.762	313.2		
22/07/2023	02:25:00	2.762	2.762	2.758	2.758	944.6		
22/07/2023	02:30:00	2.759	2.762	2.759	2.762	1243.3		
22/07/2023	02:35:00	2.765	2.769	2.765	2.769	456.4		
22/07/2023	02:40:00	2.768	2.768	2.768	2.768	50.7		
22/07/2023	02:45:00	2.769	2.774	2.769	2.773	171.4		
22/07/2023	02:50:00	2.774	2.777	2.773	2.777	1961.2		
22/07/2023	02:55:00	2.777	2.778	2.769	2.772	1437.0		
22/07/2023	03:00:00	2.774	2.776	2.774	2.774	737.1		
22/07/2023	03:05:00	2.776	2.789	2.776	2.783	10489.0		
22/07/2023	03:10:00	2.781	2.792	2.776	2.791	9697.7		
22/07/2023	03:15:00	2.791	2.812	2.788	2.812	10994.7		
22/07/2023	03:20:00	2.813	2.845	2.811	2.832	39999.9		
22/07/2023	03:25:00	2.831	2.832	2.816	2.826	7584.1		
22/07/2023	03:30:00	2.824	2.827	2.812	2.817	4848.2		
22/07/2023	03:35:00	2.819	2.841	2.819	2.84	8741.5		
22/07/2023	03:40:00	2.84	2.878	2.84	2.867	26864.2		
22/07/2023	03:45:00	2.865	2.865	2.843	2.847	12234.1		
22/07/2023	03:50:00	2.849	2.857	2.837	2.837	2491.6		
22/07/2023	03:55:00	2.837	2.839	2.831	2.834	4272.9		
22/07/2023	04:00:00	2.834	2.834	2.809	2.811	8865.8		
22/07/2023	04:05:00	2.81	2.81	2.78	2.782	22106.8		
22/07/2023	04:10:00	2.786	2.789	2.784	2.789	2585.6		
