Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
14/03/2023	00:00:00	0.093155	0.093585	0.092449	0.09269	372755		
14/03/2023	00:05:00	0.092563	0.093234	0.092414	0.09308	199979		
14/03/2023	00:10:00	0.093013	0.093748	0.092903	0.093253	148573		
14/03/2023	00:15:00	0.093193	0.093585	0.092826	0.093447	74783		
14/03/2023	00:20:00	0.093318	0.093792	0.093216	0.093792	61979		
14/03/2023	00:25:00	0.093868	0.094175	0.093226	0.093226	133900		
14/03/2023	00:30:00	0.093145	0.093927	0.09296	0.093618	468566		
14/03/2023	00:35:00	0.093448	0.093927	0.093413	0.093413	72808		
14/03/2023	00:40:00	0.093492	0.093492	0.092901	0.093033	62068		
14/03/2023	00:45:00	0.09316	0.093431	0.093002	0.093085	38435		
14/03/2023	00:50:00	0.093069	0.093176	0.092483	0.092644	140545		
14/03/2023	00:55:00	0.092517	0.092517	0.092093	0.09215	97918		
14/03/2023	01:00:00	0.092281	0.092395	0.091802	0.09211	96594		
14/03/2023	01:05:00	0.092149	0.092659	0.092149	0.092449	62506		
14/03/2023	01:10:00	0.092652	0.092652	0.092085	0.092109	38906		
14/03/2023	01:15:00	0.092039	0.09245	0.092013	0.092354	34143		
14/03/2023	01:20:00	0.092354	0.092459	0.091865	0.091865	35929		
14/03/2023	01:25:00	0.091973	0.091973	0.091558	0.091951	99490		
14/03/2023	01:30:00	0.092067	0.092107	0.0918	0.091812	17711		
14/03/2023	01:35:00	0.091731	0.092018	0.091598	0.091913	83741		
14/03/2023	01:40:00	0.091903	0.092488	0.091777	0.092345	221547		
14/03/2023	01:45:00	0.092387	0.092826	0.092387	0.092414	59788		
14/03/2023	01:50:00	0.092414	0.092621	0.092344	0.092344	143153		
14/03/2023	01:55:00	0.092379	0.092481	0.091902	0.092068	201160		
14/03/2023	02:00:00	0.092209	0.09229	0.092025	0.092037	70128		
14/03/2023	02:05:00	0.092084	0.092196	0.091597	0.091796	132563		
14/03/2023	02:10:00	0.091803	0.091803	0.091604	0.091632	44343		
14/03/2023	02:15:00	0.091719	0.09203	0.091692	0.091928	82396		
14/03/2023	02:20:00	0.091812	0.091812	0.091723	0.091727	2544		
14/03/2023	02:25:00	0.091651	0.091651	0.091318	0.091412	48834		
14/03/2023	02:30:00	0.091463	0.091788	0.091463	0.091684	41824		
14/03/2023	02:35:00	0.091684	0.091684	0.091297	0.091382	129286		
14/03/2023	02:40:00	0.091456	0.091601	0.091211	0.091339	64563		
14/03/2023	02:45:00	0.091367	0.091509	0.091367	0.091466	20131		
14/03/2023	02:50:00	0.091518	0.091535	0.091244	0.091268	40271		
14/03/2023	02:55:00	0.091255	0.091257	0.091005	0.091146	111877		
14/03/2023	03:00:00	0.091137	0.091329	0.09094	0.091037	131869		
14/03/2023	03:05:00	0.090986	0.091094	0.090863	0.091009	58910		
14/03/2023	03:10:00	0.091086	0.091277	0.091069	0.091079	51918		
14/03/2023	03:15:00	0.091079	0.091295	0.091079	0.091242	53942		
14/03/2023	03:20:00	0.091234	0.091273	0.090958	0.090958	9952		
14/03/2023	03:25:00	0.090931	0.091148	0.090861	0.091148	57093		
14/03/2023	03:30:00	0.091252	0.091509	0.091201	0.091454	29380		
14/03/2023	03:35:00	0.091455	0.092199	0.091418	0.09197	664919		
14/03/2023	03:40:00	0.091912	0.092067	0.091828	0.092008	142549		
14/03/2023	03:45:00	0.091941	0.09216	0.091868	0.092075	51968		
14/03/2023	03:50:00	0.092039	0.09205	0.0918	0.091841	41427		
14/03/2023	03:55:00	0.091836	0.092255	0.091822	0.092162	56264		
14/03/2023	04:00:00	0.092172	0.092458	0.092172	0.092203	114397		
14/03/2023	04:05:00	0.092181	0.092181	0.092002	0.092024	11745		
14/03/2023	04:10:00	0.092024	0.092024	0.091813	0.091823	35694		
14/03/2023	04:15:00	0.091896	0.091924	0.0917	0.091716	45163		
14/03/2023	04:20:00	0.091718	0.091779	0.091554	0.091735	150336		
14/03/2023	04:25:00	0.091698	0.091719	0.091441	0.091499	79901		
14/03/2023	04:30:00	0.091419	0.091622	0.091304	0.091622	35435		
14/03/2023	04:35:00	0.091651	0.091795	0.091572	0.091795	22687		
14/03/2023	04:40:00	0.091759	0.091759	0.091492	0.091492	28604		
14/03/2023	04:45:00	0.091529	0.091897	0.091513	0.09182	148930		
14/03/2023	04:50:00	0.091821	0.091821	0.091626	0.091699	25939		
14/03/2023	04:55:00	0.091777	0.091777	0.091642	0.091644	20766		
14/03/2023	05:00:00	0.0917	0.09241	0.091644	0.092343	336344		
14/03/2023	05:05:00	0.092381	0.093166	0.092278	0.092662	382003		
14/03/2023	05:10:00	0.092681	0.093822	0.092681	0.093505	344994		
14/03/2023	05:15:00	0.093627	0.093892	0.092018	0.092115	219795		
14/03/2023	05:20:00	0.092035	0.092367	0.091521	0.091814	447179		
14/03/2023	05:25:00	0.091753	0.092258	0.091191	0.092051	154856		
14/03/2023	05:30:00	0.092044	0.092883	0.092044	0.092779	388371		
14/03/2023	05:35:00	0.092735	0.09325	0.092474	0.092586	434360		
14/03/2023	05:40:00	0.092545	0.092545	0.092028	0.092028	78317		
14/03/2023	05:45:00	0.092263	0.092626	0.092263	0.092626	33281		
14/03/2023	05:50:00	0.092629	0.092785	0.09187	0.091941	143417		
14/03/2023	05:55:00	0.091941	0.092616	0.091941	0.092512	144538		
14/03/2023	06:00:00	0.092478	0.094058	0.092377	0.093991	486175		
14/03/2023	06:05:00	0.093968	0.094314	0.09361	0.094044	449289		
14/03/2023	06:10:00	0.093938	0.093938	0.092931	0.093181	129148		
14/03/2023	06:15:00	0.093262	0.093289	0.092666	0.092993	86823		
14/03/2023	06:20:00	0.093075	0.093359	0.092893	0.093359	68633		
14/03/2023	06:25:00	0.093359	0.09362	0.092811	0.093435	159911		
14/03/2023	06:30:00	0.09338	0.093537	0.093293	0.093412	80107		
14/03/2023	06:35:00	0.093286	0.093286	0.093	0.093075	39878		
14/03/2023	06:40:00	0.093032	0.093032	0.092858	0.092858	35775		
14/03/2023	06:45:00	0.092826	0.093875	0.092826	0.093875	138805		
14/03/2023	06:50:00	0.093743	0.093743	0.093219	0.093346	177866		
14/03/2023	06:55:00	0.093339	0.093966	0.093132	0.093418	56622		
14/03/2023	07:00:00	0.093299	0.093922	0.09319	0.093702	135222		
14/03/2023	07:05:00	0.093479	0.093858	0.093451	0.093786	91352		
14/03/2023	07:10:00	0.093792	0.093934	0.093335	0.093553	96316		
14/03/2023	07:15:00	0.093568	0.094585	0.093546	0.09402	439419		
14/03/2023	07:20:00	0.09402	0.094645	0.093986	0.094379	243980		
14/03/2023	07:25:00	0.094398	0.094529	0.09326	0.09326	348964		
14/03/2023	07:30:00	0.093273	0.09338	0.093025	0.093242	195304		
14/03/2023	07:35:00	0.093103	0.093159	0.093	0.093009	81483		
14/03/2023	07:40:00	0.093005	0.093079	0.092548	0.092619	122814		
14/03/2023	07:45:00	0.092528	0.092672	0.091706	0.092063	300625		
