Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
14/03/2023	00:00:00	1.495	1.495	1.488	1.489	2680.4		
14/03/2023	00:05:00	1.485	1.492	1.478	1.491	19222.7		
14/03/2023	00:10:00	1.491	1.498	1.49	1.49	2786.3		
14/03/2023	00:15:00	1.489	1.496	1.485	1.496	14168.1		
14/03/2023	00:20:00	1.495	1.518	1.494	1.517	21063.2		
14/03/2023	00:25:00	1.515	1.515	1.496	1.498	13989.4		
14/03/2023	00:30:00	1.498	1.514	1.494	1.507	16066.0		
14/03/2023	00:35:00	1.506	1.514	1.502	1.503	9006.3		
14/03/2023	00:40:00	1.506	1.506	1.496	1.496	11818.4		
14/03/2023	00:45:00	1.493	1.502	1.493	1.5	1787.3		
14/03/2023	00:50:00	1.497	1.497	1.493	1.495	565.2		
14/03/2023	00:55:00	1.492	1.492	1.485	1.487	5427.4		
14/03/2023	01:00:00	1.488	1.49	1.481	1.482	8695.1		
14/03/2023	01:05:00	1.484	1.496	1.484	1.489	5957.5		
14/03/2023	01:10:00	1.489	1.491	1.484	1.484	1950.6		
14/03/2023	01:15:00	1.484	1.492	1.484	1.492	2991.7		
14/03/2023	01:20:00	1.49	1.492	1.486	1.486	2144.5		
14/03/2023	01:25:00	1.487	1.491	1.487	1.491	769.9		
14/03/2023	01:30:00	1.491	1.491	1.487	1.488	807.8		
14/03/2023	01:35:00	1.487	1.491	1.487	1.491	1318.3		
14/03/2023	01:40:00	1.489	1.497	1.488	1.497	3979.6		
14/03/2023	01:45:00	1.495	1.501	1.49	1.49	3843.6		
14/03/2023	01:50:00	1.49	1.493	1.49	1.493	629.8		
14/03/2023	01:55:00	1.489	1.491	1.484	1.486	3117.3		
14/03/2023	02:00:00	1.488	1.496	1.488	1.491	5032.9		
14/03/2023	02:05:00	1.494	1.494	1.485	1.488	2149.2		
14/03/2023	02:10:00	1.489	1.49	1.489	1.489	1160.5		
14/03/2023	02:15:00	1.49	1.491	1.488	1.49	954.9		
14/03/2023	02:20:00	1.491	1.492	1.49	1.49	145.6		
14/03/2023	02:25:00	1.487	1.487	1.484	1.484	393.8		
14/03/2023	02:30:00	1.484	1.487	1.484	1.487	1742.7		
14/03/2023	02:35:00	1.488	1.488	1.486	1.486	629.9		
14/03/2023	02:40:00	1.485	1.489	1.484	1.488	1102.0		
14/03/2023	02:45:00	1.489	1.49	1.486	1.49	588.8		
14/03/2023	02:50:00	1.489	1.49	1.488	1.488	1280.0		
14/03/2023	02:55:00	1.487	1.49	1.486	1.49	130.0		
14/03/2023	03:00:00	1.489	1.493	1.489	1.491	1844.2		
14/03/2023	03:05:00	1.494	1.495	1.492	1.492	2495.5		
14/03/2023	03:10:00	1.495	1.496	1.494	1.494	1141.5		
14/03/2023	03:15:00	1.493	1.493	1.492	1.492	112.0		
14/03/2023	03:20:00	1.493	1.493	1.488	1.488	570.1		
14/03/2023	03:25:00	1.487	1.49	1.487	1.49	777.3		
14/03/2023	03:30:00	1.495	1.495	1.493	1.493	351.5		
14/03/2023	03:35:00	1.493	1.497	1.492	1.497	664.3		
14/03/2023	03:40:00	1.497	1.5	1.497	1.5	1632.8		
14/03/2023	03:45:00	1.502	1.503	1.502	1.503	430.3		
14/03/2023	03:50:00	1.502	1.503	1.502	1.503	382.3		
14/03/2023	03:55:00	1.504	1.504	1.502	1.502	161.3		
14/03/2023	04:00:00	1.503	1.503	1.5	1.5	469.2		
14/03/2023	04:05:00	1.5	1.5	1.496	1.497	3487.1		
14/03/2023	04:10:00	1.498	1.499	1.496	1.496	3487.0		
14/03/2023	04:15:00	1.495	1.495	1.492	1.492	682.1		
14/03/2023	04:20:00	1.493	1.494	1.492	1.494	771.2		
14/03/2023	04:25:00	1.491	1.491	1.49	1.49	52.1		
14/03/2023	04:30:00	1.489	1.491	1.486	1.491	2065.5		
14/03/2023	04:35:00	1.492	1.494	1.492	1.494	899.3		
14/03/2023	04:40:00	1.493	1.493	1.491	1.491	815.7		
14/03/2023	04:45:00	1.492	1.495	1.491	1.495	7435.9		
14/03/2023	04:50:00	1.495	1.495	1.492	1.493	1684.4		
14/03/2023	04:55:00	1.493	1.495	1.493	1.494	783.3		
14/03/2023	05:00:00	1.496	1.497	1.496	1.496	248.6		
14/03/2023	05:05:00	1.495	1.496	1.494	1.495	699.8		
14/03/2023	05:10:00	1.493	1.516	1.493	1.513	11186.4		
14/03/2023	05:15:00	1.514	1.514	1.494	1.498	7643.0		
14/03/2023	05:20:00	1.497	1.499	1.491	1.495	2899.2		
14/03/2023	05:25:00	1.495	1.495	1.489	1.495	2281.3		
14/03/2023	05:30:00	1.497	1.508	1.497	1.499	5529.4		
14/03/2023	05:35:00	1.501	1.503	1.495	1.496	1429.7		
14/03/2023	05:40:00	1.495	1.5	1.494	1.494	4952.3		
14/03/2023	05:45:00	1.495	1.498	1.494	1.498	1089.5		
14/03/2023	05:50:00	1.501	1.505	1.497	1.497	1700.4		
14/03/2023	05:55:00	1.496	1.503	1.496	1.502	1392.2		
14/03/2023	06:00:00	1.502	1.507	1.5	1.505	4885.9		
14/03/2023	06:05:00	1.504	1.511	1.504	1.508	985.5		
14/03/2023	06:10:00	1.509	1.509	1.497	1.497	2161.4		
14/03/2023	06:15:00	1.498	1.501	1.497	1.499	1197.1		
14/03/2023	06:20:00	1.5	1.504	1.5	1.504	1228.0		
14/03/2023	06:25:00	1.504	1.507	1.498	1.505	7994.5		
14/03/2023	06:30:00	1.505	1.506	1.5	1.5	2307.4		
14/03/2023	06:35:00	1.5	1.501	1.496	1.5	8069.8		
14/03/2023	06:40:00	1.501	1.502	1.497	1.5	9440.0		
14/03/2023	06:45:00	1.5	1.507	1.499	1.506	8035.4		
14/03/2023	06:50:00	1.504	1.504	1.498	1.499	4285.7		
14/03/2023	06:55:00	1.499	1.505	1.495	1.5	2715.5		
14/03/2023	07:00:00	1.501	1.504	1.5	1.504	1163.2		
14/03/2023	07:05:00	1.503	1.508	1.5	1.508	4333.1		
14/03/2023	07:10:00	1.508	1.509	1.506	1.506	1400.5		
14/03/2023	07:15:00	1.506	1.509	1.505	1.508	635.8		
14/03/2023	07:20:00	1.509	1.515	1.508	1.512	1975.0		
14/03/2023	07:25:00	1.512	1.512	1.5	1.5	4052.1		
14/03/2023	07:30:00	1.498	1.503	1.498	1.498	2746.8		
14/03/2023	07:35:00	1.501	1.501	1.496	1.496	786.9		
14/03/2023	07:40:00	1.498	1.498	1.488	1.488	3343.6		
14/03/2023	07:45:00	1.49	1.49	1.479	1.479	7491.5		
14/03/2023	07:50:00	1.481	1.499	1.481	1.494	31268.2		
14/03/2023	07:55:00	1.495	1.501	1.492	1.493	12469.0		
14/03/2023	08:00:00	1.492	1.494	1.487	1.487	2940.8		
14/03/2023	08:05:00	1.487	1.487	1.479	1.479	2684.5		
14/03/2023	08:10:00	1.478	1.478	1.466	1.47	11602.6		
14/03/2023	08:15:00	1.47	1.484	1.469	1.484	9767.3		
14/03/2023	08:20:00	1.486	1.486	1.481	1.481	1583.0		
14/03/2023	08:25:00	1.483	1.484	1.483	1.483	234.0		
14/03/2023	08:30:00	1.485	1.489	1.484	1.489	688.5		
14/03/2023	08:35:00	1.49	1.492	1.49	1.49	884.1		
14/03/2023	08:40:00	1.487	1.487	1.483	1.483	1437.5		
14/03/2023	08:45:00	1.482	1.487	1.481	1.483	5514.4		
14/03/2023	08:50:00	1.482	1.484	1.479	1.48	3185.9		
14/03/2023	08:55:00	1.482	1.485	1.48	1.48	1196.6		
14/03/2023	09:00:00	1.48	1.48	1.472	1.473	1396.8		
14/03/2023	09:05:00	1.474	1.477	1.472	1.474	1121.5		
