Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
14/03/2023	00:00:00	0.7969	0.8046	0.793	0.7943	538447.3		
14/03/2023	00:05:00	0.7946	0.8015	0.793	0.7982	119561.6		
14/03/2023	00:10:00	0.7982	0.8095	0.7967	0.8031	190950.8		
14/03/2023	00:15:00	0.8033	0.8062	0.8008	0.8029	127415.5		
14/03/2023	00:20:00	0.8024	0.8089	0.8006	0.8078	123813.9		
14/03/2023	00:25:00	0.8078	0.8224	0.8069	0.8112	1255414.4		
14/03/2023	00:30:00	0.8104	0.8118	0.8062	0.8089	96501.0		
14/03/2023	00:35:00	0.8089	0.8115	0.8064	0.8115	116412.6		
14/03/2023	00:40:00	0.812	0.8131	0.8084	0.8088	80204.0		
14/03/2023	00:45:00	0.8093	0.8122	0.7989	0.8087	1129137.8		
14/03/2023	00:50:00	0.8091	0.8103	0.8055	0.8076	153507.9		
14/03/2023	00:55:00	0.8066	0.8066	0.7989	0.7995	144839.6		
14/03/2023	01:00:00	0.7993	0.7997	0.7938	0.7944	170427.2		
14/03/2023	01:05:00	0.7947	0.7988	0.7932	0.7947	101747.9		
14/03/2023	01:10:00	0.7947	0.796	0.791	0.791	34509.4		
14/03/2023	01:15:00	0.791	0.7972	0.7898	0.7958	152503.5		
14/03/2023	01:20:00	0.796	0.8008	0.7958	0.7979	165741.2		
14/03/2023	01:25:00	0.798	0.7999	0.796	0.7999	110576.0		
14/03/2023	01:30:00	0.7997	0.8014	0.797	0.7981	132092.2		
14/03/2023	01:35:00	0.7982	0.8017	0.7963	0.8011	29605.5		
14/03/2023	01:40:00	0.801	0.8034	0.7982	0.801	62490.4		
14/03/2023	01:45:00	0.8008	0.8045	0.8001	0.8007	63454.7		
14/03/2023	01:50:00	0.8007	0.8037	0.8	0.8025	53355.6		
14/03/2023	01:55:00	0.8024	0.8049	0.801	0.8042	187168.9		
14/03/2023	02:00:00	0.8041	0.818	0.8037	0.8135	562833.1		
14/03/2023	02:05:00	0.814	0.8154	0.8066	0.8108	291144.1		
14/03/2023	02:10:00	0.8102	0.8108	0.8074	0.8083	57988.0		
14/03/2023	02:15:00	0.8083	0.8114	0.8066	0.8075	65913.5		
14/03/2023	02:20:00	0.8069	0.8069	0.8025	0.8033	113625.8		
14/03/2023	02:25:00	0.8032	0.804	0.7984	0.7984	44176.1		
14/03/2023	02:30:00	0.7994	0.8004	0.798	0.8004	91147.3		
14/03/2023	02:35:00	0.8006	0.8023	0.798	0.8004	51101.4		
14/03/2023	02:40:00	0.8001	0.8009	0.7975	0.8005	52186.4		
14/03/2023	02:45:00	0.8005	0.8012	0.7987	0.7989	10908.9		
14/03/2023	02:50:00	0.799	0.8002	0.7987	0.7988	18466.6		
14/03/2023	02:55:00	0.7988	0.7997	0.7981	0.7991	16747.1		
14/03/2023	03:00:00	0.7992	0.8046	0.7987	0.8004	103404.4		
14/03/2023	03:05:00	0.8007	0.8051	0.8001	0.8029	60633.6		
14/03/2023	03:10:00	0.8025	0.804	0.8017	0.8029	48772.4		
14/03/2023	03:15:00	0.8026	0.806	0.8026	0.8038	34451.7		
14/03/2023	03:20:00	0.8043	0.8062	0.802	0.8024	30356.6		
14/03/2023	03:25:00	0.8027	0.8053	0.8017	0.8046	29950.6		
14/03/2023	03:30:00	0.8054	0.8097	0.8037	0.8089	99047.6		
14/03/2023	03:35:00	0.8087	0.812	0.8074	0.8117	110826.8		
