Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
14/03/2023	00:00:00	0.0537	0.0539	0.0534	0.0539	818776		
14/03/2023	00:05:00	0.054	0.0553	0.0539	0.0549	1735727		
14/03/2023	00:10:00	0.0549	0.0549	0.054	0.0542	841397		
14/03/2023	00:15:00	0.0542	0.0549	0.0542	0.0548	237261		
14/03/2023	00:20:00	0.0548	0.0548	0.0545	0.0546	143231		
14/03/2023	00:25:00	0.0546	0.0546	0.0543	0.0545	56770		
14/03/2023	00:30:00	0.0544	0.0545	0.0542	0.0544	182868		
14/03/2023	00:35:00	0.0544	0.0546	0.0544	0.0545	431637		
14/03/2023	00:40:00	0.0544	0.0544	0.0542	0.0543	76027		
14/03/2023	00:45:00	0.0543	0.0543	0.0542	0.0543	87695		
14/03/2023	00:50:00	0.0542	0.0544	0.0542	0.0543	48016		
14/03/2023	00:55:00	0.0542	0.0544	0.0542	0.0543	209865		
14/03/2023	01:00:00	0.0543	0.0543	0.0538	0.0539	154133		
14/03/2023	01:05:00	0.0539	0.054	0.0534	0.0535	225689		
14/03/2023	01:10:00	0.0534	0.0535	0.0531	0.0531	158240		
14/03/2023	01:15:00	0.0533	0.0534	0.0531	0.0533	127209		
14/03/2023	01:20:00	0.0534	0.0536	0.0534	0.0536	29019		
14/03/2023	01:25:00	0.0536	0.0537	0.0536	0.0537	20962		
14/03/2023	01:30:00	0.0537	0.0538	0.0536	0.0536	12193		
14/03/2023	01:35:00	0.0535	0.0537	0.0535	0.0535	34020		
14/03/2023	01:40:00	0.0535	0.0535	0.0534	0.0535	88898		
14/03/2023	01:45:00	0.0535	0.0537	0.0535	0.0536	33898		
14/03/2023	01:50:00	0.0537	0.0538	0.0537	0.0538	35968		
14/03/2023	01:55:00	0.0538	0.0539	0.0538	0.0539	80346		
14/03/2023	02:00:00	0.054	0.0543	0.0539	0.0542	81037		
14/03/2023	02:05:00	0.0543	0.0546	0.0541	0.0545	332802		
14/03/2023	02:10:00	0.0545	0.0545	0.0544	0.0545	36927		
14/03/2023	02:15:00	0.0545	0.0547	0.0543	0.0545	246529		
14/03/2023	02:20:00	0.0545	0.0548	0.0544	0.0548	370429		
14/03/2023	02:25:00	0.0546	0.0548	0.0545	0.0545	60072		
14/03/2023	02:30:00	0.0545	0.0548	0.0545	0.0548	76053		
14/03/2023	02:35:00	0.0549	0.0549	0.0547	0.0547	18748		
14/03/2023	02:40:00	0.0547	0.0551	0.0547	0.055	197792		
14/03/2023	02:45:00	0.055	0.0552	0.055	0.055	221249		
14/03/2023	02:50:00	0.055	0.0551	0.0549	0.0549	71655		
14/03/2023	02:55:00	0.0551	0.0552	0.055	0.055	22548		
14/03/2023	03:00:00	0.0552	0.0562	0.055	0.056	1282804		
14/03/2023	03:05:00	0.0559	0.0559	0.0556	0.0557	304865		
14/03/2023	03:10:00	0.0556	0.0561	0.0555	0.056	218497		
14/03/2023	03:15:00	0.0558	0.0559	0.0555	0.0557	148984		
14/03/2023	03:20:00	0.0556	0.057	0.0556	0.0563	1901105		
14/03/2023	03:25:00	0.0563	0.0565	0.0562	0.0563	517973		
14/03/2023	03:30:00	0.0562	0.0564	0.0561	0.0563	329557		
14/03/2023	03:35:00	0.0563	0.0564	0.0559	0.0561	318193		
14/03/2023	03:40:00	0.056	0.0562	0.056	0.0562	102528		
14/03/2023	03:45:00	0.056	0.056	0.0557	0.056	140927		
14/03/2023	03:50:00	0.056	0.056	0.0556	0.0558	85679		
14/03/2023	03:55:00	0.0558	0.0558	0.0556	0.0556	26728		
14/03/2023	04:00:00	0.0555	0.0557	0.0554	0.0555	83205		
14/03/2023	04:05:00	0.0555	0.0557	0.0555	0.0556	4100		
14/03/2023	04:10:00	0.0555	0.0557	0.0555	0.0557	129404		
14/03/2023	04:15:00	0.0557	0.0558	0.0556	0.0556	14013		
14/03/2023	04:20:00	0.0556	0.0557	0.0556	0.0557	53156		
14/03/2023	04:25:00	0.0556	0.0558	0.0556	0.0558	73824		
14/03/2023	04:30:00	0.0559	0.0559	0.0556	0.0557	96907		
