Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
22/07/2023	00:00:00	1.2393	1.2699	1.2374	1.2543	164665.0		
22/07/2023	00:05:00	1.2535	1.2535	1.2437	1.2484	128494.2		
22/07/2023	00:10:00	1.249	1.253	1.249	1.2505	29626.5		
22/07/2023	00:15:00	1.251	1.2667	1.2492	1.2561	122103.8		
22/07/2023	00:20:00	1.2555	1.2612	1.2555	1.2576	34679.5		
22/07/2023	00:25:00	1.2574	1.2607	1.2557	1.2558	14313.9		
22/07/2023	00:30:00	1.2558	1.2594	1.2539	1.2564	31412.2		
22/07/2023	00:35:00	1.2564	1.2565	1.2478	1.2487	57043.7		
22/07/2023	00:40:00	1.2487	1.2511	1.2455	1.2462	32156.3		
22/07/2023	00:45:00	1.2463	1.2511	1.2453	1.2511	11828.0		
22/07/2023	00:50:00	1.2508	1.2557	1.2507	1.2538	22490.4		
22/07/2023	00:55:00	1.2548	1.2736	1.2547	1.2635	171665.3		
22/07/2023	01:00:00	1.2632	1.2632	1.2575	1.2576	28277.1		
22/07/2023	01:05:00	1.2563	1.2578	1.2526	1.2526	27013.4		
22/07/2023	01:10:00	1.2524	1.2545	1.2486	1.2491	22764.2		
22/07/2023	01:15:00	1.2484	1.2484	1.2367	1.2389	49052.8		
22/07/2023	01:20:00	1.2382	1.2398	1.2371	1.2395	23228.8		
22/07/2023	01:25:00	1.2392	1.2439	1.2392	1.2415	10306.0		
22/07/2023	01:30:00	1.2415	1.2463	1.2411	1.2463	11631.7		
22/07/2023	01:35:00	1.2464	1.247	1.2407	1.2413	13910.6		
22/07/2023	01:40:00	1.2426	1.2466	1.242	1.2457	4287.5		
22/07/2023	01:45:00	1.2456	1.2456	1.2381	1.2381	16611.5		
22/07/2023	01:50:00	1.2378	1.2394	1.234	1.2367	22445.7		
22/07/2023	01:55:00	1.2373	1.24	1.2364	1.2393	14604.4		
22/07/2023	02:00:00	1.2392	1.2458	1.2379	1.2441	15762.0		
22/07/2023	02:05:00	1.2438	1.2438	1.2401	1.241	3825.1		
22/07/2023	02:10:00	1.2411	1.2423	1.241	1.242	4507.2		
22/07/2023	02:15:00	1.2416	1.2445	1.2412	1.243	6090.9		
22/07/2023	02:20:00	1.2428	1.2457	1.2427	1.2457	5839.7		
22/07/2023	02:25:00	1.2449	1.2452	1.2441	1.2441	722.2		
22/07/2023	02:30:00	1.2431	1.2512	1.2406	1.25	20428.9		
22/07/2023	02:35:00	1.2498	1.2498	1.2469	1.2469	6778.1		
22/07/2023	02:40:00	1.2484	1.2488	1.2476	1.2479	2713.0		
22/07/2023	02:45:00	1.2478	1.2478	1.247	1.2477	2249.8		
22/07/2023	02:50:00	1.2469	1.2488	1.2463	1.2488	4018.9		
22/07/2023	02:55:00	1.2487	1.2487	1.2448	1.247	5571.2		
22/07/2023	03:00:00	1.2469	1.2472	1.2469	1.2469	2621.0		
22/07/2023	03:05:00	1.245	1.2468	1.2417	1.2424	7374.0		
22/07/2023	03:10:00	1.2425	1.2445	1.2416	1.2445	6911.7		
22/07/2023	03:15:00	1.2451	1.247	1.2435	1.2454	10831.3		
22/07/2023	03:20:00	1.2464	1.2468	1.2446	1.2446	9985.9		
22/07/2023	03:25:00	1.2434	1.2446	1.2428	1.2433	9877.2		
22/07/2023	03:30:00	1.2438	1.2439	1.243	1.2433	2413.5		
22/07/2023	03:35:00	1.243	1.2441	1.2427	1.2439	3510.5		
22/07/2023	03:40:00	1.2437	1.2437	1.2414	1.2414	7177.9		
22/07/2023	03:45:00	1.2416	1.2422	1.2409	1.241	7652.6		
22/07/2023	03:50:00	1.241	1.2413	1.2391	1.2392	4086.8		
22/07/2023	03:55:00	1.239	1.239	1.2342	1.2354	26721.3		
22/07/2023	04:00:00	1.2361	1.2385	1.2352	1.237	4282.8		
22/07/2023	04:05:00	1.237	1.2402	1.237	1.239	5985.0		
22/07/2023	04:10:00	1.2384	1.2384	1.2358	1.2359	11706.6		
22/07/2023	04:15:00	1.2353	1.2368	1.2333	1.2333	6722.5		
22/07/2023	04:20:00	1.2333	1.2345	1.2331	1.2331	6928.7		
22/07/2023	04:25:00	1.233	1.2338	1.2324	1.2332	3004.5		
22/07/2023	04:30:00	1.2339	1.2374	1.2336	1.2356	19364.5		
22/07/2023	04:35:00	1.2363	1.2364	1.2332	1.2333	8483.9		
22/07/2023	04:40:00	1.2345	1.2369	1.234	1.2342	10371.1		
22/07/2023	04:45:00	1.2345	1.2348	1.2326	1.2334	5468.9		
22/07/2023	04:50:00	1.2338	1.2356	1.2334	1.2356	2792.4		
22/07/2023	04:55:00	1.236	1.2367	1.2357	1.2367	1081.2		
22/07/2023	05:00:00	1.2368	1.2389	1.2365	1.2381	3365.5		
22/07/2023	05:05:00	1.2374	1.238	1.2339	1.2339	5598.3		
22/07/2023	05:10:00	1.2345	1.2347	1.2336	1.2344	2612.8		
22/07/2023	05:15:00	1.2346	1.2365	1.2344	1.2352	5877.9		
22/07/2023	05:20:00	1.234	1.2341	1.2315	1.2341	6755.0		
22/07/2023	05:25:00	1.2337	1.2359	1.2336	1.2358	3226.8		
22/07/2023	05:30:00	1.2347	1.2385	1.2347	1.2383	6517.6		
22/07/2023	05:35:00	1.2387	1.2388	1.2361	1.2361	6857.6		
22/07/2023	05:40:00	1.2358	1.2364	1.2348	1.2354	2237.1		
22/07/2023	05:45:00	1.2358	1.2358	1.2352	1.2354	1860.3		
22/07/2023	05:50:00	1.2338	1.2338	1.2329	1.2331	816.4		
22/07/2023	05:55:00	1.2331	1.2339	1.2306	1.2306	3281.7		
22/07/2023	06:00:00	1.2322	1.2343	1.2322	1.2336	1787.7		
22/07/2023	06:05:00	1.2331	1.2331	1.2322	1.2324	3181.1		
22/07/2023	06:10:00	1.2324	1.2324	1.2304	1.2307	4032.9		
22/07/2023	06:15:00	1.2307	1.2307	1.2286	1.2293	7821.6		
22/07/2023	06:20:00	1.2297	1.2302	1.2266	1.2272	13874.5		
22/07/2023	06:25:00	1.2286	1.229	1.2284	1.2284	1562.9		
22/07/2023	06:30:00	1.2286	1.229	1.2254	1.2266	4651.0		
22/07/2023	06:35:00	1.2269	1.2284	1.2267	1.2284	1486.9		
22/07/2023	06:40:00	1.2269	1.2283	1.2262	1.2266	2520.1		
22/07/2023	06:45:00	1.2271	1.2278	1.2262	1.2262	2287.2		
22/07/2023	06:50:00	1.2271	1.2279	1.2266	1.2276	6121.2		
22/07/2023	06:55:00	1.2284	1.2289	1.2284	1.2288	2293.6		
22/07/2023	07:00:00	1.2291	1.2305	1.229	1.2295	4440.8		
22/07/2023	07:05:00	1.2293	1.2304	1.2293	1.2296	1187.6		
22/07/2023	07:10:00	1.2296	1.2296	1.2255	1.2255	3244.4		
22/07/2023	07:15:00	1.2259	1.2264	1.2256	1.2261	3697.5		
22/07/2023	07:20:00	1.2258	1.2277	1.2258	1.2267	5960.6		
22/07/2023	07:25:00	1.2269	1.229	1.2269	1.2279	1750.3		
22/07/2023	07:30:00	1.2277	1.2288	1.2277	1.2286	3495.4		
22/07/2023	07:35:00	1.2299	1.2299	1.2285	1.2286	5316.3		
22/07/2023	07:40:00	1.2283	1.2309	1.2283	1.2284	6863.9		
22/07/2023	07:45:00	1.2274	1.2274	1.2264	1.2264	3264.0		
22/07/2023	07:50:00	1.2257	1.2267	1.2243	1.2255	6924.1		
22/07/2023	07:55:00	1.2245	1.2248	1.2228	1.2235	2423.0		
22/07/2023	08:00:00	1.2244	1.2251	1.2209	1.221	12333.9		
22/07/2023	08:05:00	1.2209	1.2219	1.2194	1.2194	7705.8		
22/07/2023	08:10:00	1.2195	1.2206	1.2175	1.2183	7066.6		
22/07/2023	08:15:00	1.2183	1.2203	1.2181	1.2199	13949.8		
22/07/2023	08:20:00	1.2201	1.2225	1.2199	1.2204	4620.7		
22/07/2023	08:25:00	1.2203	1.2212	1.219	1.2199	10391.8		
22/07/2023	08:30:00	1.2211	1.2232	1.2184	1.2186	12114.8		
22/07/2023	08:35:00	1.2184	1.2209	1.2184	1.2209	1322.1		
22/07/2023	08:40:00	1.2217	1.222	1.2207	1.2207	1765.4		
22/07/2023	08:45:00	1.2204	1.2218	1.2204	1.2213	7725.8		
22/07/2023	08:50:00	1.2218	1.2218	1.22	1.2211	12081.1		
22/07/2023	08:55:00	1.2213	1.2214	1.2207	1.221	829.0		
22/07/2023	09:00:00	1.2209	1.2221	1.2209	1.2221	5320.4		
