Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
14/03/2023	00:00:00	15332	15334	15331	15333	1243.5		
14/03/2023	00:05:00	15332	15334	15331	15333	8552.4		
14/03/2023	00:10:00	15332	15333	15331	15332	8409.7		
14/03/2023	00:15:00	15332	15333	15331	15332	676.9		
14/03/2023	00:20:00	15332	15336	15331	15331	4797.1		
14/03/2023	00:25:00	15331	15336	15331	15333	6870.3		
14/03/2023	00:30:00	15335	15337	15332	15336	3516.0		
14/03/2023	00:35:00	15335	15336	15330	15331	13903.5		
14/03/2023	00:40:00	15330	15331	15320	15320	9784.3		
14/03/2023	00:45:00	15321	15321	15316	15316	3619.7		
14/03/2023	00:50:00	15316	15321	15313	15316	14628.4		
14/03/2023	00:55:00	15316	15323	15316	15316	8261.8		
14/03/2023	01:00:00	15316	15317	15313	15317	25191.1		
14/03/2023	01:05:00	15317	15331	15317	15331	16409.8		
14/03/2023	01:10:00	15328	15331	15327	15329	1375.3		
14/03/2023	01:15:00	15327	15330	15317	15319	8717.0		
14/03/2023	01:20:00	15319	15346	15318	15346	30329.6		
14/03/2023	01:25:00	15345	15346	15343	15343	4865.2		
14/03/2023	01:30:00	15343	15350	15340	15340	79525.4		
14/03/2023	01:35:00	15340	15340	15332	15333	7350.8		
14/03/2023	01:40:00	15335	15337	15330	15336	41755.5		
14/03/2023	01:45:00	15336	15343	15336	15341	5341.1		
14/03/2023	01:50:00	15341	15350	15341	15346	13363.6		
14/03/2023	01:55:00	15344	15346	15333	15341	30937.2		
14/03/2023	02:00:00	15340	15347	15340	15346	85856.2		
14/03/2023	02:05:00	15346	15349	15346	15349	5722.4		
14/03/2023	02:10:00	15349	15353	15348	15349	19664.5		
14/03/2023	02:15:00	15350	15350	15346	15349	9692.2		
14/03/2023	02:20:00	15349	15349	15346	15347	25500.2		
14/03/2023	02:25:00	15347	15348	15344	15348	18253.7		
14/03/2023	02:30:00	15349	15354	15346	15354	16383.7		
14/03/2023	02:35:00	15354	15354	15349	15354	39200.0		
14/03/2023	02:40:00	15353	15354	15345	15354	9911.4		
14/03/2023	02:45:00	15353	15354	15351	15352	14541.7		
14/03/2023	02:50:00	15353	15366	15352	15357	42077.6		
14/03/2023	02:55:00	15359	15372	15359	15362	6339.0		
14/03/2023	03:00:00	15362	15364	15350	15361	26568.2		
14/03/2023	03:05:00	15362	15370	15360	15360	19551.0		
14/03/2023	03:10:00	15359	15367	15359	15363	10201.2		
14/03/2023	03:15:00	15363	15363	15359	15361	5942.0		
14/03/2023	03:20:00	15361	15363	15356	15362	17524.0		
14/03/2023	03:25:00	15362	15362	15355	15361	2892.6		
14/03/2023	03:30:00	15361	15366	15360	15361	35203.9		
14/03/2023	03:35:00	15363	15379	15362	15364	17987.2		
14/03/2023	03:40:00	15365	15378	15365	15378	4496.2		
14/03/2023	03:45:00	15379	15380	15373	15378	23589.5		
14/03/2023	03:50:00	15374	15379	15371	15372	4496.9		
14/03/2023	03:55:00	15373	15379	15371	15374	15967.4		
14/03/2023	04:00:00	15373	15379	15372	15379	72232.2		
14/03/2023	04:05:00	15379	15379	15368	15371	21803.8		
14/03/2023	04:10:00	15371	15377	15371	15375	11590.5		
14/03/2023	04:15:00	15375	15380	15373	15374	24226.7		
14/03/2023	04:20:00	15375	15380	15374	15377	24096.6		
14/03/2023	04:25:00	15375	15380	15373	15373	14677.0		
14/03/2023	04:30:00	15373	15375	15372	15374	2871.9		
14/03/2023	04:35:00	15373	15375	15371	15373	7928.9		
14/03/2023	04:40:00	15373	15373	15371	15371	352546.6		
14/03/2023	04:45:00	15371	15372	15371	15371	13809.2		
14/03/2023	04:50:00	15371	15372	15370	15370	42178.7		
14/03/2023	04:55:00	15371	15371	15370	15370	41293.2		
14/03/2023	05:00:00	15370	15371	15367	15368	6897.0		
14/03/2023	05:05:00	15368	15368	15360	15360	119381.4		
14/03/2023	05:10:00	15360	15362	15350	15351	43370.7		
14/03/2023	05:15:00	15351	15356	15344	15354	180301.5		
14/03/2023	05:20:00	15354	15359	15352	15357	54310.3		
14/03/2023	05:25:00	15356	15358	15351	15356	6347.4		
14/03/2023	05:30:00	15357	15366	15356	15358	20317.5		
14/03/2023	05:35:00	15359	15359	15358	15358	3618.0		
14/03/2023	05:40:00	15359	15359	15356	15359	7562.4		
