Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
22/07/2023	00:00:00	14968	14968	14968	14968	0		
22/07/2023	00:05:00	14968	14968	14968	14968	0		
22/07/2023	00:10:00	14974	14976	14974	14976	1274		
22/07/2023	00:15:00	14976	14976	14976	14976	0		
22/07/2023	00:20:00	14987	14987	14987	14987	33		
22/07/2023	00:25:00	14971	14971	14967	14967	374		
22/07/2023	00:30:00	14968	14968	14968	14968	55		
22/07/2023	00:35:00	14985	14985	14985	14985	54		
22/07/2023	00:40:00	14985	14985	14985	14985	0		
22/07/2023	00:45:00	14985	14985	14985	14985	0		
22/07/2023	00:50:00	14985	14985	14985	14985	0		
22/07/2023	00:55:00	14985	14995	14984	14984	3010		
22/07/2023	01:00:00	15032	15040	15032	15040	3705		
22/07/2023	01:05:00	15060	15061	15051	15051	1876		
22/07/2023	01:10:00	15069	15077	15069	15077	1994		
22/07/2023	01:15:00	15077	15077	15077	15077	0		
22/07/2023	01:20:00	15044	15044	15043	15043	1398		
22/07/2023	01:25:00	15044	15044	15043	15043	583		
22/07/2023	01:30:00	15041	15051	15040	15051	1999		
22/07/2023	01:35:00	15051	15051	15051	15051	0		
22/07/2023	01:40:00	15031	15031	15013	15013	298		
22/07/2023	01:45:00	15013	15013	15013	15013	0		
22/07/2023	01:50:00	15000	15013	15000	15013	136		
22/07/2023	01:55:00	15000	15009	14995	15009	1242		
22/07/2023	02:00:00	15009	15009	15009	15009	0		
22/07/2023	02:05:00	15009	15009	15009	15009	0		
22/07/2023	02:10:00	15009	15009	15009	15009	0		
22/07/2023	02:15:00	15009	15009	15009	15009	0		
22/07/2023	02:20:00	15026	15026	15009	15009	87		
22/07/2023	02:25:00	14998	14998	14988	14988	67		
22/07/2023	02:30:00	14988	14988	14988	14988	0		
22/07/2023	02:35:00	15005	15026	15005	15026	2573		
22/07/2023	02:40:00	15030	15030	15030	15030	48		
22/07/2023	02:45:00	15030	15030	15030	15030	0		
22/07/2023	02:50:00	15030	15030	15030	15030	0		
22/07/2023	02:55:00	15033	15033	15033	15033	266		
22/07/2023	03:00:00	15031	15033	15030	15030	117		
22/07/2023	03:05:00	15030	15030	15030	15030	0		
22/07/2023	03:10:00	15030	15030	15030	15030	0		
22/07/2023	03:15:00	15031	15031	15030	15030	34		
22/07/2023	03:20:00	15030	15030	15030	15030	3		
22/07/2023	03:25:00	15030	15030	15030	15030	26		
22/07/2023	03:30:00	15030	15030	15030	15030	0		
