Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
14/03/2023	00:00:00	75.88	75.89	75.88	75.89	130		
14/03/2023	00:05:00	75.95	75.95	75.92	75.94	665		
14/03/2023	00:10:00	75.94	75.96	75.91	75.91	3037		
14/03/2023	00:15:00	75.94	75.99	75.85	75.89	9976		
14/03/2023	00:20:00	75.91	75.92	75.86	75.86	103		
14/03/2023	00:25:00	75.86	75.9	75.86	75.88	883		
14/03/2023	00:30:00	75.89	75.9	75.85	75.87	484		
14/03/2023	00:35:00	75.88	75.91	75.88	75.89	1782		
14/03/2023	00:40:00	75.89	75.9	75.85	75.89	1827		
14/03/2023	00:45:00	75.89	75.91	75.8	75.86	5397		
14/03/2023	00:50:00	75.85	75.86	75.85	75.85	454		
14/03/2023	00:55:00	75.84	75.9	75.84	75.9	522		
14/03/2023	01:00:00	75.9	75.97	75.89	75.93	1138		
14/03/2023	01:05:00	75.89	75.93	75.89	75.93	608		
14/03/2023	01:10:00	75.94	75.95	75.93	75.93	320		
14/03/2023	01:15:00	75.93	75.95	75.81	75.87	15737		
14/03/2023	01:20:00	75.87	75.87	75.83	75.83	222		
14/03/2023	01:25:00	75.84	75.87	75.81	75.81	5270		
14/03/2023	01:30:00	75.82	75.84	75.8	75.84	76		
14/03/2023	01:35:00	75.82	75.82	75.79	75.79	1050		
14/03/2023	01:40:00	75.82	75.83	75.79	75.83	1263		
14/03/2023	01:45:00	75.81	75.82	75.79	75.8	4195		
14/03/2023	01:50:00	75.8	75.82	75.8	75.81	80		
14/03/2023	01:55:00	75.8	75.8	75.79	75.8	1628		
14/03/2023	02:00:00	75.78	75.81	75.76	75.76	392		
14/03/2023	02:05:00	75.75	75.8	75.71	75.77	242		
14/03/2023	02:10:00	75.78	75.81	75.73	75.8	984		
14/03/2023	02:15:00	75.75	75.75	75.75	75.75	8		
14/03/2023	02:20:00	75.77	75.79	75.72	75.78	1080		
14/03/2023	02:25:00	75.79	75.84	75.78	75.81	1593		
14/03/2023	02:30:00	75.79	75.79	75.7	75.7	8091		
14/03/2023	02:35:00	75.72	75.73	75.72	75.72	193		
14/03/2023	02:40:00	75.71	75.72	75.7	75.72	152		
14/03/2023	02:45:00	75.72	75.72	75.66	75.68	1692		
14/03/2023	02:50:00	75.69	75.76	75.69	75.75	3654		
14/03/2023	02:55:00	75.75	75.75	75.71	75.73	310		
14/03/2023	03:00:00	75.74	75.74	75.74	75.74	45		
