Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
14/03/2023	00:00:00	19.37	19.37	19.36	19.36	103351		
14/03/2023	00:05:00	19.37	19.37	19.36	19.37	235663		
14/03/2023	00:10:00	19.37	19.37	19.36	19.37	61658		
14/03/2023	00:15:00	19.37	19.37	19.36	19.37	49048		
14/03/2023	00:20:00	19.36	19.37	19.36	19.37	104265		
14/03/2023	00:25:00	19.36	19.37	19.36	19.36	71208		
14/03/2023	00:30:00	19.36	19.37	19.36	19.37	24235		
14/03/2023	00:35:00	19.37	19.37	19.36	19.37	36429		
14/03/2023	00:40:00	19.37	19.37	19.36	19.36	63301		
14/03/2023	00:45:00	19.37	19.37	19.36	19.37	24915		
14/03/2023	00:50:00	19.37	19.37	19.36	19.36	46270		
14/03/2023	00:55:00	19.36	19.37	19.36	19.37	65658		
14/03/2023	01:00:00	19.37	19.37	19.36	19.36	56976		
14/03/2023	01:05:00	19.36	19.37	19.36	19.37	17352		
14/03/2023	01:10:00	19.37	19.37	19.36	19.36	20729		
14/03/2023	01:15:00	19.37	19.37	19.36	19.37	23224		
14/03/2023	01:20:00	19.36	19.37	19.36	19.37	18657		
14/03/2023	01:25:00	19.37	19.37	19.36	19.36	20844		
14/03/2023	01:30:00	19.36	19.37	19.36	19.37	46584		
14/03/2023	01:35:00	19.36	19.37	19.36	19.36	15139		
14/03/2023	01:40:00	19.36	19.37	19.36	19.36	33792		
14/03/2023	01:45:00	19.36	19.37	19.36	19.37	15259		
14/03/2023	01:50:00	19.37	19.37	19.36	19.37	20141		
14/03/2023	01:55:00	19.37	19.37	19.36	19.36	46704		
14/03/2023	02:00:00	19.37	19.37	19.36	19.36	51400		
14/03/2023	02:05:00	19.36	19.37	19.36	19.36	30166		
14/03/2023	02:10:00	19.36	19.37	19.36	19.37	29029		
14/03/2023	02:15:00	19.37	19.37	19.36	19.36	121397		
14/03/2023	02:20:00	19.36	19.37	19.36	19.36	48042		
14/03/2023	02:25:00	19.37	19.37	19.36	19.37	63490		
14/03/2023	02:30:00	19.37	19.37	19.36	19.37	24518		
14/03/2023	02:35:00	19.36	19.37	19.36	19.37	29583		
14/03/2023	02:40:00	19.36	19.37	19.36	19.37	90744		
14/03/2023	02:45:00	19.37	19.37	19.36	19.36	3899		
14/03/2023	02:50:00	19.37	19.37	19.36	19.36	34069		
14/03/2023	02:55:00	19.36	19.37	19.36	19.37	26031		
14/03/2023	03:00:00	19.36	19.37	19.36	19.36	16239		
14/03/2023	03:05:00	19.36	19.37	19.36	19.37	8657		
14/03/2023	03:10:00	19.37	19.37	19.36	19.37	20302		
14/03/2023	03:15:00	19.36	19.37	19.36	19.37	6711		
14/03/2023	03:20:00	19.37	19.37	19.36	19.37	16293		
14/03/2023	03:25:00	19.36	19.37	19.36	19.37	54751		
14/03/2023	03:30:00	19.37	19.37	19.36	19.37	28219		
14/03/2023	03:35:00	19.37	19.37	19.36	19.36	45310		
14/03/2023	03:40:00	19.36	19.37	19.36	19.37	94880		
14/03/2023	03:45:00	19.37	19.37	19.36	19.36	122846		
14/03/2023	03:50:00	19.36	19.37	19.36	19.36	53823		
14/03/2023	03:55:00	19.37	19.37	19.36	19.37	44389		
14/03/2023	04:00:00	19.37	19.37	19.36	19.36	21284		
14/03/2023	04:05:00	19.37	19.37	19.36	19.37	84274		
14/03/2023	04:10:00	19.36	19.37	19.36	19.36	73707		
14/03/2023	04:15:00	19.37	19.37	19.36	19.36	92389		
14/03/2023	04:20:00	19.36	19.37	19.36	19.36	87174		
14/03/2023	04:25:00	19.36	19.37	19.36	19.37	182274		
14/03/2023	04:30:00	19.37	19.37	19.36	19.36	251873		
14/03/2023	04:35:00	19.36	19.37	19.36	19.36	56184		
14/03/2023	04:40:00	19.37	19.38	19.36	19.38	274115		
14/03/2023	04:45:00	19.38	19.38	19.37	19.38	58785		
14/03/2023	04:50:00	19.38	19.38	19.37	19.38	55095		
14/03/2023	04:55:00	19.38	19.38	19.37	19.37	62177		
14/03/2023	05:00:00	19.38	19.38	19.37	19.38	149197		
14/03/2023	05:05:00	19.37	19.38	19.37	19.38	143544		
14/03/2023	05:10:00	19.38	19.38	19.36	19.37	352901		
14/03/2023	05:15:00	19.37	19.38	19.36	19.37	479329		
14/03/2023	05:20:00	19.38	19.38	19.37	19.38	264053		
14/03/2023	05:25:00	19.37	19.39	19.37	19.38	131105		
14/03/2023	05:30:00	19.38	19.39	19.38	19.38	86722		
14/03/2023	05:35:00	19.39	19.39	19.38	19.39	92947		
14/03/2023	05:40:00	19.39	19.39	19.38	19.38	175703		
14/03/2023	05:45:00	19.39	19.39	19.38	19.39	183255		
14/03/2023	05:50:00	19.38	19.39	19.38	19.39	107591		
14/03/2023	05:55:00	19.39	19.39	19.38	19.38	141400		
14/03/2023	06:00:00	19.38	19.39	19.38	19.39	413019		
14/03/2023	06:05:00	19.39	19.39	19.38	19.39	246799		
14/03/2023	06:10:00	19.38	19.39	19.38	19.39	161351		
14/03/2023	06:15:00	19.39	19.39	19.38	19.39	111031		
14/03/2023	06:20:00	19.39	19.39	19.38	19.38	194408		
14/03/2023	06:25:00	19.39	19.4	19.38	19.39	663046		
14/03/2023	06:30:00	19.39	19.4	19.39	19.4	214415		
14/03/2023	06:35:00	19.39	19.4	19.39	19.39	356380		
14/03/2023	06:40:00	19.39	19.4	19.39	19.4	151686		
14/03/2023	06:45:00	19.4	19.4	19.39	19.39	332707		
14/03/2023	06:50:00	19.39	19.4	19.39	19.39	290413		
14/03/2023	06:55:00	19.39	19.4	19.39	19.39	148425		
14/03/2023	07:00:00	19.4	19.4	19.39	19.39	323578		
14/03/2023	07:05:00	19.4	19.4	19.39	19.4	176658		
14/03/2023	07:10:00	19.39	19.4	19.39	19.4	362228		
14/03/2023	07:15:00	19.4	19.4	19.39	19.39	281533		
14/03/2023	07:20:00	19.4	19.4	19.38	19.38	658224		
14/03/2023	07:25:00	19.39	19.39	19.38	19.39	298617		
14/03/2023	07:30:00	19.39	19.39	19.38	19.38	563036		
14/03/2023	07:35:00	19.38	19.39	19.38	19.39	325867		
14/03/2023	07:40:00	19.39	19.4	19.38	19.4	758218		
14/03/2023	07:45:00	19.4	19.41	19.39	19.4	489121		
14/03/2023	07:50:00	19.4	19.41	19.38	19.39	2059119		
14/03/2023	07:55:00	19.39	19.4	19.39	19.4	379502		
14/03/2023	08:00:00	19.4	19.41	19.39	19.41	726815		
14/03/2023	08:05:00	19.41	19.41	19.4	19.41	494428		
14/03/2023	08:10:00	19.41	19.41	19.4	19.4	1076019		
14/03/2023	08:15:00	19.4	19.41	19.4	19.4	337148		
14/03/2023	08:20:00	19.4	19.41	19.4	19.4	554505		
14/03/2023	08:25:00	19.41	19.41	19.39	19.4	546919		
14/03/2023	08:30:00	19.4	19.4	19.39	19.4	300788		
14/03/2023	08:35:00	19.39	19.4	19.39	19.4	297768		
14/03/2023	08:40:00	19.4	19.4	19.39	19.39	324163		
14/03/2023	08:45:00	19.4	19.4	19.39	19.39	259179		
14/03/2023	08:50:00	19.4	19.4	19.39	19.39	209115		
14/03/2023	08:55:00	19.4	19.4	19.39	19.39	330879		
14/03/2023	09:00:00	19.4	19.4	19.39	19.4	691268		
14/03/2023	09:05:00	19.39	19.4	19.39	19.39	642192		
14/03/2023	09:10:00	19.4	19.4	19.39	19.39	715817		
14/03/2023	09:15:00	19.39	19.4	19.39	19.4	412944		
14/03/2023	09:20:00	19.39	19.4	19.39	19.39	394725		
14/03/2023	09:25:00	19.4	19.4	19.39	19.4	370049		
14/03/2023	09:30:00	19.39	19.4	19.39	19.39	457191		
14/03/2023	09:35:00	19.39	19.41	19.39	19.4	722378		
14/03/2023	09:40:00	19.4	19.41	19.4	19.41	294454		
14/03/2023	09:45:00	19.4	19.41	19.4	19.41	497333		
14/03/2023	09:50:00	19.41	19.41	19.4	19.4	358399		
14/03/2023	09:55:00	19.41	19.41	19.4	19.41	372999		
14/03/2023	10:00:00	19.41	19.41	19.4	19.41	303953		
14/03/2023	10:05:00	19.41	19.41	19.4	19.41	572262		
14/03/2023	10:10:00	19.4	19.41	19.4	19.4	532018		
14/03/2023	10:15:00	19.41	19.41	19.4	19.4	335909		
14/03/2023	10:20:00	19.4	19.41	19.4	19.4	378790		
14/03/2023	10:25:00	19.41	19.41	19.4	19.4	798248		
14/03/2023	10:30:00	19.41	19.41	19.4	19.4	302433		
14/03/2023	10:35:00	19.41	19.41	19.39	19.4	1038991		
14/03/2023	10:40:00	19.4	19.4	19.39	19.4	294880		
14/03/2023	10:45:00	19.4	19.4	19.39	19.4	296347		
14/03/2023	10:50:00	19.4	19.4	19.39	19.39	362503		
14/03/2023	10:55:00	19.4	19.4	19.39	19.4	551016		
14/03/2023	11:00:00	19.39	19.4	19.39	19.4	332309		
14/03/2023	11:05:00	19.4	19.4	19.39	19.4	402122		
14/03/2023	11:10:00	19.39	19.4	19.39	19.39	479147		
14/03/2023	11:15:00	19.4	19.4	19.39	19.4	296952		
14/03/2023	11:20:00	19.4	19.4	19.39	19.4	325688		
14/03/2023	11:25:00	19.4	19.4	19.39	19.4	369199		
14/03/2023	11:30:00	19.39	19.4	19.39	19.4	1967798		
14/03/2023	11:35:00	19.4	19.4	19.39	19.4	275682		
14/03/2023	11:40:00	19.39	19.41	19.39	19.41	857551		
14/03/2023	11:45:00	19.41	19.41	19.4	19.4	975525		
14/03/2023	11:50:00	19.41	19.41	19.4	19.41	620720		
14/03/2023	11:55:00	19.41	19.41	19.39	19.4	928604		
14/03/2023	12:00:00	19.39	19.4	19.39	19.4	612887		
14/03/2023	12:05:00	19.39	19.4	19.39	19.4	393724		
14/03/2023	12:10:00	19.4	19.4	19.39	19.4	448648		
14/03/2023	12:15:00	19.4	19.4	19.39	19.39	437020		
14/03/2023	12:20:00	19.4	19.41	19.39	19.4	797451		
14/03/2023	12:25:00	19.4	19.41	19.4	19.41	287589		
14/03/2023	12:30:00	19.41	19.42	19.38	19.38	1760658		
14/03/2023	12:35:00	19.39	19.4	19.38	19.39	975001		
14/03/2023	12:40:00	19.39	19.4	19.36	19.37	1962867		
14/03/2023	12:45:00	19.37	19.4	19.35	19.36	1305978		
14/03/2023	12:50:00	19.35	19.37	19.34	19.35	1655032		
14/03/2023	12:55:00	19.35	19.38	19.35	19.38	1072139		
14/03/2023	13:00:00	19.37	19.38	19.36	19.37	1201548		
14/03/2023	13:05:00	19.36	19.4	19.36	19.39	1254183		
14/03/2023	13:10:00	19.39	19.4	19.39	19.4	992197		
14/03/2023	13:15:00	19.4	19.4	19.39	19.4	1007886		
14/03/2023	13:20:00	19.4	19.41	19.39	19.41	1343600		
14/03/2023	13:25:00	19.41	19.41	19.4	19.41	772708		
14/03/2023	13:30:00	19.41	19.41	19.39	19.4	690254		
14/03/2023	13:35:00	19.39	19.4	19.39	19.39	697158		
14/03/2023	13:40:00	19.39	19.4	19.38	19.39	1093849		
14/03/2023	13:45:00	19.39	19.39	19.38	19.38	581316		
14/03/2023	13:50:00	19.39	19.39	19.38	19.39	464651		
14/03/2023	13:55:00	19.38	19.39	19.38	19.38	420779		
14/03/2023	14:00:00	19.38	19.39	19.38	19.39	342545		
14/03/2023	14:05:00	19.39	19.39	19.38	19.38	586018		
14/03/2023	14:10:00	19.39	19.39	19.37	19.37	815173		
14/03/2023	14:15:00	19.37	19.38	19.36	19.37	525052		
14/03/2023	14:20:00	19.37	19.37	19.36	19.36	386904		
14/03/2023	14:25:00	19.36	19.37	19.35	19.35	571553		
14/03/2023	14:30:00	19.36	19.36	19.34	19.36	865948		
14/03/2023	14:35:00	19.35	19.36	19.35	19.35	419410		
14/03/2023	14:40:00	19.36	19.36	19.35	19.35	255216		
14/03/2023	14:45:00	19.35	19.36	19.35	19.35	547905		
14/03/2023	14:50:00	19.35	19.36	19.35	19.36	366607		
14/03/2023	14:55:00	19.36	19.36	19.35	19.36	567619		
14/03/2023	15:00:00	19.36	19.36	19.35	19.36	587478		
14/03/2023	15:05:00	19.35	19.36	19.35	19.36	454117		
14/03/2023	15:10:00	19.36	19.36	19.35	19.36	483862		
14/03/2023	15:15:00	19.36	19.36	19.35	19.36	542708		
14/03/2023	15:20:00	19.36	19.36	19.35	19.35	515922		
14/03/2023	15:25:00	19.36	19.37	19.35	19.37	644454		
14/03/2023	15:30:00	19.36	19.37	19.36	19.36	230598		
14/03/2023	15:35:00	19.36	19.37	19.36	19.36	234070		
14/03/2023	15:40:00	19.37	19.37	19.36	19.37	347625		
14/03/2023	15:45:00	19.37	19.37	19.36	19.36	518713		
14/03/2023	15:50:00	19.37	19.37	19.36	19.36	322539		
14/03/2023	15:55:00	19.37	19.37	19.35	19.35	968798		
14/03/2023	16:00:00	19.35	19.36	19.35	19.36	477698		
14/03/2023	16:05:00	19.36	19.36	19.35	19.35	354073		
14/03/2023	16:10:00	19.35	19.36	19.35	19.36	692622		
14/03/2023	16:15:00	19.36	19.36	19.35	19.36	318962		
14/03/2023	16:20:00	19.36	19.36	19.35	19.36	321724		
14/03/2023	16:25:00	19.35	19.36	19.35	19.35	286034		
14/03/2023	16:30:00	19.36	19.36	19.35	19.36	464359		
14/03/2023	16:35:00	19.35	19.36	19.35	19.36	244027		
14/03/2023	16:40:00	19.36	19.36	19.35	19.36	283190		
14/03/2023	16:45:00	19.36	19.36	19.35	19.35	767760		
14/03/2023	16:50:00	19.36	19.36	19.35	19.35	351471		
14/03/2023	16:55:00	19.35	19.36	19.35	19.35	348778		
14/03/2023	17:00:00	19.35	19.36	19.35	19.35	1028401		
14/03/2023	17:05:00	19.35	19.36	19.35	19.35	571280		
14/03/2023	17:10:00	19.36	19.36	19.35	19.35	224705		
14/03/2023	17:15:00	19.36	19.36	19.35	19.35	493754		
14/03/2023	17:20:00	19.35	19.36	19.35	19.36	184152		
14/03/2023	17:25:00	19.35	19.36	19.35	19.35	292943		
14/03/2023	17:30:00	19.35	19.36	19.35	19.36	222183		
14/03/2023	17:35:00	19.36	19.36	19.35	19.35	209193		
