Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
22/07/2023	00:00:00	1.987	2.042	1.985	2.033	558565.36		
22/07/2023	00:05:00	2.033	2.043	2.009	2.028	371381.69		
22/07/2023	00:10:00	2.027	2.033	2.018	2.025	93643.97		
22/07/2023	00:15:00	2.024	2.046	2.016	2.044	140893.75		
22/07/2023	00:20:00	2.043	2.059	2.04	2.055	279339.66		
22/07/2023	00:25:00	2.054	2.061	2.042	2.045	332626.36		
22/07/2023	00:30:00	2.044	2.05	2.042	2.044	159509.82		
22/07/2023	00:35:00	2.044	2.053	2.039	2.047	115280.84		
22/07/2023	00:40:00	2.046	2.058	2.041	2.058	124239.13		
22/07/2023	00:45:00	2.058	2.068	2.043	2.045	327252.0		
22/07/2023	00:50:00	2.045	2.057	2.041	2.043	140914.58		
22/07/2023	00:55:00	2.043	2.061	2.04	2.054	124238.49		
22/07/2023	01:00:00	2.055	2.056	2.048	2.049	61329.31		
22/07/2023	01:05:00	2.051	2.056	2.045	2.05	81245.57		
22/07/2023	01:10:00	2.05	2.072	2.044	2.071	104902.01		
22/07/2023	01:15:00	2.071	2.071	2.056	2.06	268113.26		
22/07/2023	01:20:00	2.06	2.06	2.053	2.054	49749.63		
22/07/2023	01:25:00	2.055	2.058	2.052	2.056	40805.94		
22/07/2023	01:30:00	2.056	2.062	2.052	2.06	52770.55		
22/07/2023	01:35:00	2.059	2.062	2.055	2.056	67984.82		
22/07/2023	01:40:00	2.055	2.055	2.045	2.046	55799.53		
22/07/2023	01:45:00	2.045	2.049	2.042	2.048	60080.44		
22/07/2023	01:50:00	2.048	2.048	2.038	2.038	28924.89		
22/07/2023	01:55:00	2.039	2.053	2.031	2.045	93877.83		
22/07/2023	02:00:00	2.044	2.052	2.041	2.05	42791.89		
22/07/2023	02:05:00	2.051	2.053	2.044	2.051	43704.97		
22/07/2023	02:10:00	2.049	2.065	2.047	2.062	115047.28		
22/07/2023	02:15:00	2.061	2.065	2.053	2.06	97913.92		
22/07/2023	02:20:00	2.06	2.06	2.052	2.053	44148.15		
22/07/2023	02:25:00	2.052	2.062	2.052	2.053	66510.28		
22/07/2023	02:30:00	2.054	2.067	2.054	2.066	53206.73		
22/07/2023	02:35:00	2.066	2.069	2.063	2.065	39044.31		
22/07/2023	02:40:00	2.066	2.067	2.06	2.061	15630.74		
22/07/2023	02:45:00	2.062	2.062	2.057	2.061	23019.71		
22/07/2023	02:50:00	2.061	2.065	2.059	2.06	9907.64		
22/07/2023	02:55:00	2.06	2.063	2.053	2.054	41292.32		
22/07/2023	03:00:00	2.053	2.055	2.05	2.05	25987.83		
22/07/2023	03:05:00	2.05	2.051	2.044	2.044	34961.9		
22/07/2023	03:10:00	2.045	2.062	2.043	2.059	141229.29		
22/07/2023	03:15:00	2.057	2.065	2.056	2.064	48689.13		
22/07/2023	03:20:00	2.064	2.065	2.056	2.056	14514.72		
22/07/2023	03:25:00	2.056	2.057	2.047	2.047	11748.86		
22/07/2023	03:30:00	2.046	2.051	2.045	2.049	33084.55		
22/07/2023	03:35:00	2.049	2.051	2.044	2.044	40477.92		
22/07/2023	03:40:00	2.043	2.043	2.037	2.037	26192.23		
22/07/2023	03:45:00	2.037	2.039	2.035	2.035	18650.39		
22/07/2023	03:50:00	2.034	2.038	2.033	2.038	14404.93		
22/07/2023	03:55:00	2.038	2.038	2.031	2.032	22643.5		
22/07/2023	04:00:00	2.033	2.039	2.033	2.037	12690.39		
22/07/2023	04:05:00	2.037	2.044	2.035	2.044	22101.97		
22/07/2023	04:10:00	2.045	2.048	2.04	2.044	28948.35		
22/07/2023	04:15:00	2.043	2.046	2.042	2.046	20921.07		
22/07/2023	04:20:00	2.046	2.048	2.044	2.045	4616.0		
22/07/2023	04:25:00	2.045	2.052	2.045	2.049	8544.76		
22/07/2023	04:30:00	2.049	2.052	2.047	2.047	6946.35		
22/07/2023	04:35:00	2.047	2.047	2.037	2.038	36829.23		
22/07/2023	04:40:00	2.038	2.04	2.037	2.04	5490.48		
22/07/2023	04:45:00	2.039	2.039	2.027	2.033	36671.7		
22/07/2023	04:50:00	2.033	2.038	2.028	2.036	33927.96		
22/07/2023	04:55:00	2.036	2.037	2.031	2.034	66723.78		
22/07/2023	05:00:00	2.034	2.037	2.027	2.028	66261.1		
22/07/2023	05:05:00	2.027	2.028	2.024	2.027	28808.17		
22/07/2023	05:10:00	2.028	2.028	2.019	2.019	33174.59		
22/07/2023	05:15:00	2.02	2.024	2.019	2.02	47895.63		
22/07/2023	05:20:00	2.02	2.022	2.015	2.021	26764.51		
22/07/2023	05:25:00	2.02	2.022	2.018	2.022	4182.42		
22/07/2023	05:30:00	2.023	2.025	2.016	2.021	10633.83		
22/07/2023	05:35:00	2.021	2.024	2.02	2.021	13158.7		
22/07/2023	05:40:00	2.019	2.022	2.019	2.021	8931.39		
22/07/2023	05:45:00	2.02	2.031	2.02	2.027	67709.33		
22/07/2023	05:50:00	2.026	2.033	2.026	2.033	22735.6		
22/07/2023	05:55:00	2.032	2.037	2.031	2.031	43482.99		
22/07/2023	06:00:00	2.031	2.031	2.024	2.024	33248.2		
22/07/2023	06:05:00	2.023	2.026	2.021	2.023	6070.08		
22/07/2023	06:10:00	2.025	2.025	2.022	2.025	7470.98		
22/07/2023	06:15:00	2.025	2.025	2.022	2.025	3421.24		
22/07/2023	06:20:00	2.024	2.026	2.019	2.019	7754.25		
22/07/2023	06:25:00	2.02	2.02	2.019	2.02	12763.44		
22/07/2023	06:30:00	2.021	2.021	2.019	2.02	4740.26		
22/07/2023	06:35:00	2.02	2.02	2.017	2.019	49935.11		
22/07/2023	06:40:00	2.019	2.019	2.016	2.017	8377.94		
22/07/2023	06:45:00	2.017	2.019	2.016	2.016	2920.58		
22/07/2023	06:50:00	2.017	2.028	2.016	2.024	79028.01		
22/07/2023	06:55:00	2.025	2.025	2.023	2.024	1609.33		
22/07/2023	07:00:00	2.022	2.024	2.02	2.02	1687.72		
22/07/2023	07:05:00	2.02	2.023	2.02	2.023	4093.65		
22/07/2023	07:10:00	2.022	2.027	2.017	2.018	47370.71		
22/07/2023	07:15:00	2.018	2.024	2.016	2.023	56405.07		
22/07/2023	07:20:00	2.022	2.028	2.017	2.021	70439.71		
22/07/2023	07:25:00	2.023	2.027	2.023	2.027	15231.73		
22/07/2023	07:30:00	2.027	2.028	2.023	2.028	8079.44		
22/07/2023	07:35:00	2.029	2.03	2.025	2.028	19935.44		
22/07/2023	07:40:00	2.027	2.038	2.027	2.037	21469.01		
22/07/2023	07:45:00	2.038	2.046	2.032	2.036	165708.28		
22/07/2023	07:50:00	2.036	2.036	2.031	2.033	25383.87		
22/07/2023	07:55:00	2.033	2.035	2.033	2.035	8101.0		
22/07/2023	08:00:00	2.036	2.036	2.029	2.03	34109.39		
22/07/2023	08:05:00	2.03	2.03	2.024	2.024	32481.53		
22/07/2023	08:10:00	2.026	2.029	2.026	2.028	8676.04		
22/07/2023	08:15:00	2.028	2.029	2.026	2.027	5965.29		
22/07/2023	08:20:00	2.029	2.032	2.029	2.031	8577.03		
22/07/2023	08:25:00	2.03	2.031	2.025	2.025	5680.76		
22/07/2023	08:30:00	2.025	2.028	2.024	2.025	16899.65		
