Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
14/03/2023	00:00:00	0.2038	0.2038	0.203	0.2034	16637		
14/03/2023	00:05:00	0.2032	0.2034	0.2026	0.2034	11894		
14/03/2023	00:10:00	0.2031	0.2037	0.2031	0.2033	808		
14/03/2023	00:15:00	0.2031	0.2039	0.2031	0.2039	263		
14/03/2023	00:20:00	0.2036	0.2041	0.2035	0.2041	1138		
14/03/2023	00:25:00	0.2041	0.2041	0.2041	0.2041	0		
14/03/2023	00:30:00	0.2037	0.2037	0.2037	0.2037	62		
14/03/2023	00:35:00	0.2037	0.2047	0.2037	0.2041	7065		
14/03/2023	00:40:00	0.2034	0.2034	0.2034	0.2034	87		
14/03/2023	00:45:00	0.2034	0.2042	0.2034	0.2042	868		
14/03/2023	00:50:00	0.2043	0.2047	0.2041	0.2041	6228		
14/03/2023	00:55:00	0.2038	0.2038	0.2031	0.2035	2512		
14/03/2023	01:00:00	0.2028	0.2029	0.2028	0.2029	985		
14/03/2023	01:05:00	0.2033	0.2037	0.2033	0.2037	1101		
14/03/2023	01:10:00	0.2037	0.2039	0.2037	0.2039	20721		
14/03/2023	01:15:00	0.2038	0.2039	0.2038	0.2039	182		
14/03/2023	01:20:00	0.2038	0.204	0.2038	0.2038	6404		
14/03/2023	01:25:00	0.2038	0.2038	0.2035	0.2038	2380		
14/03/2023	01:30:00	0.2038	0.2038	0.2038	0.2038	0		
14/03/2023	01:35:00	0.2035	0.2036	0.2035	0.2035	3796		
14/03/2023	01:40:00	0.2033	0.2036	0.2033	0.2036	4094		
14/03/2023	01:45:00	0.2039	0.204	0.2039	0.204	15370		
14/03/2023	01:50:00	0.204	0.204	0.204	0.204	0		
14/03/2023	01:55:00	0.2044	0.2044	0.2044	0.2044	326		
14/03/2023	02:00:00	0.2043	0.2052	0.2042	0.2047	50530		
14/03/2023	02:05:00	0.2046	0.2046	0.2043	0.2045	1532		
14/03/2023	02:10:00	0.2043	0.2043	0.2038	0.2038	3447		
14/03/2023	02:15:00	0.2037	0.2038	0.2028	0.2032	16285		
14/03/2023	02:20:00	0.2035	0.2035	0.2035	0.2035	1242		
14/03/2023	02:25:00	0.2033	0.2033	0.2029	0.2029	1603		
14/03/2023	02:30:00	0.2029	0.2029	0.2029	0.2029	0		
14/03/2023	02:35:00	0.2026	0.2026	0.2026	0.2026	84		
14/03/2023	02:40:00	0.2029	0.2033	0.2029	0.2033	983		
14/03/2023	02:45:00	0.2033	0.2033	0.2029	0.2029	1777		
14/03/2023	02:50:00	0.2029	0.2029	0.2029	0.2029	0		
14/03/2023	02:55:00	0.2029	0.2029	0.2028	0.2028	1998		
14/03/2023	03:00:00	0.2027	0.2031	0.2027	0.2031	2388		
14/03/2023	03:05:00	0.2027	0.2028	0.2027	0.2028	2623		
14/03/2023	03:10:00	0.2028	0.2028	0.2027	0.2027	4960		
14/03/2023	03:15:00	0.2027	0.2027	0.2027	0.2027	1574		
14/03/2023	03:20:00	0.2027	0.2028	0.2027	0.2028	2176		
14/03/2023	03:25:00	0.2026	0.2026	0.2026	0.2026	3821		
14/03/2023	03:30:00	0.2027	0.2027	0.2027	0.2027	1111		
14/03/2023	03:35:00	0.2027	0.2031	0.2027	0.2031	29070		
14/03/2023	03:40:00	0.2032	0.2032	0.2032	0.2032	337		
14/03/2023	03:45:00	0.2035	0.2035	0.2034	0.2034	1253		
14/03/2023	03:50:00	0.2034	0.2034	0.2034	0.2034	0		
14/03/2023	03:55:00	0.203	0.203	0.2029	0.2029	3698		
14/03/2023	04:00:00	0.2029	0.2029	0.2029	0.2029	7951		
14/03/2023	04:05:00	0.2029	0.2036	0.2029	0.2036	4602		
14/03/2023	04:10:00	0.2033	0.2033	0.2033	0.2033	81		
14/03/2023	04:15:00	0.2034	0.2034	0.2034	0.2034	983		
14/03/2023	04:20:00	0.2031	0.2033	0.2031	0.2033	1558		
14/03/2023	04:25:00	0.2034	0.2055	0.2034	0.2043	59487		
14/03/2023	04:30:00	0.2039	0.2039	0.2031	0.2035	15084		
14/03/2023	04:35:00	0.2036	0.2042	0.2036	0.2042	3155		
14/03/2023	04:40:00	0.2043	0.2044	0.204	0.204	4514		
14/03/2023	04:45:00	0.2039	0.2043	0.2038	0.2043	557		
14/03/2023	04:50:00	0.2045	0.2045	0.2045	0.2045	574		
14/03/2023	04:55:00	0.2045	0.2045	0.2045	0.2045	0		
14/03/2023	05:00:00	0.2044	0.2045	0.2032	0.2032	43628		
14/03/2023	05:05:00	0.2039	0.204	0.2034	0.2034	2625		
14/03/2023	05:10:00	0.204	0.2049	0.204	0.2049	20227		
14/03/2023	05:15:00	0.2048	0.2048	0.2032	0.2032	33278		
14/03/2023	05:20:00	0.2036	0.2036	0.203	0.203	9868		
14/03/2023	05:25:00	0.2028	0.2028	0.2008	0.2024	70168		
14/03/2023	05:30:00	0.2023	0.203	0.2023	0.203	3600		
14/03/2023	05:35:00	0.203	0.203	0.2018	0.2018	12489		
14/03/2023	05:40:00	0.2021	0.2021	0.2018	0.2018	734		
14/03/2023	05:45:00	0.2018	0.2022	0.2018	0.2022	5318		
14/03/2023	05:50:00	0.2019	0.2019	0.2001	0.2007	105027		
14/03/2023	05:55:00	0.2007	0.2013	0.2005	0.2013	11160		
14/03/2023	06:00:00	0.2013	0.2019	0.2013	0.2019	2817		
14/03/2023	06:05:00	0.2018	0.2026	0.2018	0.2023	18616		
14/03/2023	06:10:00	0.2025	0.2025	0.2018	0.202	17302		
14/03/2023	06:15:00	0.2021	0.2021	0.2018	0.2019	1769		
14/03/2023	06:20:00	0.2018	0.2021	0.2018	0.202	1130		
14/03/2023	06:25:00	0.2019	0.2019	0.2005	0.2018	23933		
14/03/2023	06:30:00	0.2018	0.2018	0.2015	0.2015	830		
14/03/2023	06:35:00	0.2015	0.2015	0.2015	0.2015	0		
14/03/2023	06:40:00	0.2015	0.2019	0.2012	0.2012	7352		
14/03/2023	06:45:00	0.2011	0.2019	0.2006	0.2019	25944		
14/03/2023	06:50:00	0.2018	0.2019	0.2007	0.2014	9863		
14/03/2023	06:55:00	0.2012	0.2015	0.2007	0.2014	33617		
14/03/2023	07:00:00	0.2011	0.2013	0.2008	0.2013	25430		
14/03/2023	07:05:00	0.201	0.2014	0.2006	0.2013	25887		
14/03/2023	07:10:00	0.2007	0.201	0.2006	0.2008	7878		
14/03/2023	07:15:00	0.201	0.201	0.2008	0.201	7027		
14/03/2023	07:20:00	0.201	0.2011	0.2008	0.2008	4017		
14/03/2023	07:25:00	0.2008	0.2008	0.2005	0.2005	1482		
14/03/2023	07:30:00	0.2004	0.2005	0.1998	0.1999	36946		
14/03/2023	07:35:00	0.1997	0.2005	0.1996	0.2005	6307		
14/03/2023	07:40:00	0.2004	0.2004	0.1999	0.1999	2572		
14/03/2023	07:45:00	0.1998	0.1998	0.1985	0.1986	52625		
14/03/2023	07:50:00	0.1987	0.1994	0.1984	0.1987	20628		
14/03/2023	07:55:00	0.1992	0.2	0.1991	0.1991	9852		
14/03/2023	08:00:00	0.1994	0.1997	0.1989	0.1994	24483		
14/03/2023	08:05:00	0.1996	0.1998	0.199	0.199	8681		
14/03/2023	08:10:00	0.1988	0.199	0.1984	0.1984	16936		
14/03/2023	08:15:00	0.1984	0.1987	0.1983	0.1987	6753		
14/03/2023	08:20:00	0.1988	0.1989	0.1981	0.1984	9522		
14/03/2023	08:25:00	0.1988	0.1988	0.1984	0.1988	1638		
14/03/2023	08:30:00	0.199	0.1991	0.199	0.199	4587		
14/03/2023	08:35:00	0.1991	0.2001	0.1988	0.1999	18478		
14/03/2023	08:40:00	0.1994	0.1995	0.1994	0.1995	3201		
14/03/2023	08:45:00	0.1997	0.1997	0.1997	0.1997	1107		
14/03/2023	08:50:00	0.1997	0.1997	0.1997	0.1997	1056		
14/03/2023	08:55:00	0.1993	0.1993	0.1992	0.1992	1598		
14/03/2023	09:00:00	0.1988	0.1988	0.198	0.198	15814		
14/03/2023	09:05:00	0.198	0.1988	0.198	0.1983	6355		
14/03/2023	09:10:00	0.1985	0.1985	0.1985	0.1985	62		
14/03/2023	09:15:00	0.1984	0.1985	0.198	0.1985	4295		
14/03/2023	09:20:00	0.1984	0.1984	0.1981	0.1981	156		
14/03/2023	09:25:00	0.198	0.1984	0.198	0.1981	4970		
14/03/2023	09:30:00	0.1982	0.1982	0.1981	0.1981	655		
14/03/2023	09:35:00	0.1981	0.1986	0.1981	0.1985	11058		
14/03/2023	09:40:00	0.1985	0.1987	0.1984	0.1984	9690		
14/03/2023	09:45:00	0.1986	0.1987	0.1985	0.1985	1119		
14/03/2023	09:50:00	0.1985	0.1985	0.1985	0.1985	0		
14/03/2023	09:55:00	0.1985	0.199	0.1985	0.1989	2857		
14/03/2023	10:00:00	0.1989	0.1989	0.1989	0.1989	0		
14/03/2023	10:05:00	0.1987	0.2034	0.1987	0.2007	116648		
14/03/2023	10:10:00	0.2007	0.2011	0.2003	0.2003	5849		
14/03/2023	10:15:00	0.2006	0.2006	0.2006	0.2006	652		
14/03/2023	10:20:00	0.2005	0.2007	0.2005	0.2007	2780		
14/03/2023	10:25:00	0.2007	0.2009	0.2006	0.2009	2398		
14/03/2023	10:30:00	0.2009	0.2012	0.2008	0.2009	1946		
14/03/2023	10:35:00	0.2009	0.2009	0.2009	0.2009	0		
14/03/2023	10:40:00	0.2007	0.201	0.2003	0.201	4468		
14/03/2023	10:45:00	0.201	0.201	0.201	0.201	0		
14/03/2023	10:50:00	0.201	0.2011	0.2009	0.2009	2145		
14/03/2023	10:55:00	0.201	0.202	0.201	0.202	16079		
14/03/2023	11:00:00	0.2014	0.2014	0.2009	0.2009	19188		
14/03/2023	11:05:00	0.2008	0.2009	0.2007	0.2009	14720		
14/03/2023	11:10:00	0.2009	0.2009	0.2009	0.2009	901		
14/03/2023	11:15:00	0.2017	0.2021	0.2016	0.2017	2994		
14/03/2023	11:20:00	0.2014	0.2014	0.2009	0.2013	3986		
14/03/2023	11:25:00	0.2013	0.2013	0.2008	0.2008	8289		
14/03/2023	11:30:00	0.2005	0.2006	0.2001	0.2005	12729		
14/03/2023	11:35:00	0.2001	0.2008	0.2	0.2008	15027		
14/03/2023	11:40:00	0.2007	0.2007	0.2006	0.2006	113		
14/03/2023	11:45:00	0.2007	0.2009	0.2007	0.2009	1194		
14/03/2023	11:50:00	0.2013	0.2013	0.201	0.201	593		
14/03/2023	11:55:00	0.2012	0.2012	0.2012	0.2012	1337		
14/03/2023	12:00:00	0.201	0.2017	0.2007	0.2007	10071		
14/03/2023	12:05:00	0.201	0.2016	0.201	0.2012	6051		
14/03/2023	12:10:00	0.2012	0.2014	0.2012	0.2013	8558		
14/03/2023	12:15:00	0.2008	0.2008	0.2008	0.2008	135		
14/03/2023	12:20:00	0.2009	0.2016	0.2008	0.2008	3557		
14/03/2023	12:25:00	0.2006	0.2007	0.1983	0.2001	65005		
14/03/2023	12:30:00	0.1999	0.2045	0.1997	0.2037	59685		
14/03/2023	12:35:00	0.2038	0.2041	0.203	0.2041	40617		
14/03/2023	12:40:00	0.2041	0.208	0.2041	0.2063	72265		
14/03/2023	12:45:00	0.2063	0.2094	0.206	0.2077	51087		
14/03/2023	12:50:00	0.2079	0.2097	0.2064	0.2097	43674		
14/03/2023	12:55:00	0.2096	0.2115	0.2089	0.2115	49730		
14/03/2023	13:00:00	0.2105	0.2123	0.2101	0.2118	62968		
14/03/2023	13:05:00	0.2115	0.2115	0.2085	0.2089	86475		
14/03/2023	13:10:00	0.2089	0.2104	0.2081	0.21	65558		
14/03/2023	13:15:00	0.2101	0.2106	0.2081	0.2081	58621		
14/03/2023	13:20:00	0.208	0.2086	0.2066	0.2081	27598		
14/03/2023	13:25:00	0.2085	0.2107	0.2081	0.2099	45188		
14/03/2023	13:30:00	0.2104	0.2113	0.2102	0.2109	21362		
14/03/2023	13:35:00	0.2108	0.2116	0.2103	0.2114	11157		
14/03/2023	13:40:00	0.2117	0.2117	0.2111	0.2111	13937		
14/03/2023	13:45:00	0.2113	0.2119	0.2113	0.2118	28707		
14/03/2023	13:50:00	0.2118	0.2119	0.208	0.2097	85039		
14/03/2023	13:55:00	0.2102	0.212	0.2102	0.2119	39565		
14/03/2023	14:00:00	0.2119	0.2119	0.211	0.211	11689		
