Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
22/07/2023	00:00:00	0.1572	0.1575	0.1564	0.1575	813588		
22/07/2023	00:05:00	0.1575	0.1581	0.1575	0.1577	836737		
22/07/2023	00:10:00	0.1578	0.158	0.1572	0.1579	820425		
22/07/2023	00:15:00	0.1579	0.1586	0.1578	0.1586	547203		
22/07/2023	00:20:00	0.1586	0.1586	0.1576	0.1577	1212288		
22/07/2023	00:25:00	0.1577	0.1577	0.1571	0.1572	413960		
22/07/2023	00:30:00	0.1572	0.1572	0.1568	0.157	419626		
22/07/2023	00:35:00	0.157	0.1576	0.1568	0.1574	513577		
22/07/2023	00:40:00	0.1574	0.1574	0.1569	0.1571	256301		
22/07/2023	00:45:00	0.1571	0.1572	0.1565	0.1566	748849		
22/07/2023	00:50:00	0.1565	0.1573	0.1564	0.1572	629053		
22/07/2023	00:55:00	0.1572	0.1574	0.157	0.1572	214194		
22/07/2023	01:00:00	0.1571	0.1573	0.1565	0.1566	637990		
22/07/2023	01:05:00	0.1566	0.1566	0.1557	0.1561	778053		
22/07/2023	01:10:00	0.1561	0.1561	0.1555	0.1556	526381		
22/07/2023	01:15:00	0.1555	0.1559	0.1554	0.1559	705118		
22/07/2023	01:20:00	0.1559	0.1567	0.1559	0.1567	460996		
22/07/2023	01:25:00	0.1566	0.1567	0.1563	0.1567	384172		
22/07/2023	01:30:00	0.1566	0.1569	0.1562	0.1569	270626		
22/07/2023	01:35:00	0.157	0.1579	0.1569	0.1579	634705		
22/07/2023	01:40:00	0.1578	0.1585	0.1574	0.1578	871751		
22/07/2023	01:45:00	0.1577	0.1584	0.1577	0.1581	449031		
22/07/2023	01:50:00	0.1581	0.1584	0.1579	0.1583	511218		
22/07/2023	01:55:00	0.1583	0.1585	0.1577	0.1578	521990		
22/07/2023	02:00:00	0.1578	0.1588	0.1577	0.1583	716191		
22/07/2023	02:05:00	0.1584	0.1585	0.1581	0.1582	493639		
22/07/2023	02:10:00	0.1582	0.1583	0.1579	0.1581	189350		
22/07/2023	02:15:00	0.1582	0.1588	0.1581	0.1586	562917		
22/07/2023	02:20:00	0.1587	0.1594	0.1586	0.1591	793140		
22/07/2023	02:25:00	0.159	0.1598	0.1588	0.1589	833052		
22/07/2023	02:30:00	0.1589	0.1599	0.1587	0.1596	880096		
22/07/2023	02:35:00	0.1595	0.1606	0.1594	0.1605	964407		
22/07/2023	02:40:00	0.1604	0.1608	0.1599	0.1607	1751589		
22/07/2023	02:45:00	0.1607	0.1608	0.1598	0.1599	1284077		
22/07/2023	02:50:00	0.1598	0.1598	0.1594	0.1595	520724		
22/07/2023	02:55:00	0.1595	0.1599	0.1594	0.1597	321491		
22/07/2023	03:00:00	0.1597	0.1598	0.1594	0.1596	172053		
22/07/2023	03:05:00	0.1596	0.1599	0.1593	0.1593	238799		
22/07/2023	03:10:00	0.1593	0.1593	0.159	0.1591	411701		
22/07/2023	03:15:00	0.1591	0.1597	0.159	0.1597	325252		
22/07/2023	03:20:00	0.1597	0.1601	0.1594	0.1594	518491		
22/07/2023	03:25:00	0.1594	0.1595	0.1591	0.1592	242885		
22/07/2023	03:30:00	0.1592	0.1594	0.1589	0.159	388160		
22/07/2023	03:35:00	0.159	0.1592	0.1589	0.159	232795		
22/07/2023	03:40:00	0.159	0.159	0.1587	0.1587	234582		
22/07/2023	03:45:00	0.1588	0.1592	0.1586	0.1592	196592		
22/07/2023	03:50:00	0.1591	0.1593	0.1589	0.1592	123393		
22/07/2023	03:55:00	0.1592	0.1594	0.1587	0.1587	180826		
22/07/2023	04:00:00	0.1587	0.1588	0.1584	0.1587	205259		
22/07/2023	04:05:00	0.1586	0.1588	0.1586	0.1587	286211		
22/07/2023	04:10:00	0.1587	0.159	0.1587	0.159	220588		
22/07/2023	04:15:00	0.159	0.1593	0.1587	0.1588	120183		
22/07/2023	04:20:00	0.1588	0.1588	0.1585	0.1588	147319		
22/07/2023	04:25:00	0.1587	0.1589	0.1585	0.1588	176222		
22/07/2023	04:30:00	0.1589	0.1593	0.1589	0.1593	135786		
22/07/2023	04:35:00	0.1592	0.1592	0.1589	0.159	290946		
22/07/2023	04:40:00	0.159	0.1591	0.1586	0.1591	131324		
22/07/2023	04:45:00	0.1591	0.16	0.1589	0.1599	614592		
22/07/2023	04:50:00	0.1599	0.16	0.1592	0.1597	453542		
22/07/2023	04:55:00	0.1598	0.1601	0.1595	0.16	272100		
22/07/2023	05:00:00	0.16	0.1604	0.1599	0.1602	479956		
22/07/2023	05:05:00	0.1601	0.161	0.16	0.1605	1010165		
