Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
14/03/2023	00:00:00	0.3724	0.3724	0.3714	0.3714	938063		
14/03/2023	00:05:00	0.3713	0.3714	0.3702	0.3707	1009614		
14/03/2023	00:10:00	0.3707	0.3717	0.3701	0.3703	1225091		
14/03/2023	00:15:00	0.3703	0.372	0.3701	0.3714	1559671		
14/03/2023	00:20:00	0.3714	0.3717	0.3709	0.371	1960674		
14/03/2023	00:25:00	0.371	0.3714	0.3705	0.3706	1461066		
14/03/2023	00:30:00	0.3706	0.3713	0.3704	0.3705	916116		
14/03/2023	00:35:00	0.3704	0.371	0.3701	0.3705	2039172		
14/03/2023	00:40:00	0.3707	0.3712	0.3697	0.3699	1509472		
14/03/2023	00:45:00	0.3699	0.3714	0.3698	0.371	1059203		
14/03/2023	00:50:00	0.371	0.3711	0.3702	0.3707	1503549		
14/03/2023	00:55:00	0.3707	0.3707	0.369	0.3695	1592671		
14/03/2023	01:00:00	0.3694	0.3696	0.369	0.3694	1138863		
14/03/2023	01:05:00	0.3693	0.3701	0.3693	0.3698	794782		
14/03/2023	01:10:00	0.3697	0.3699	0.3688	0.369	1798495		
14/03/2023	01:15:00	0.369	0.37	0.3689	0.3699	1031870		
14/03/2023	01:20:00	0.3699	0.3706	0.3697	0.3698	1391922		
14/03/2023	01:25:00	0.3697	0.3702	0.3692	0.3702	1305955		
14/03/2023	01:30:00	0.3702	0.3709	0.3698	0.3699	1135496		
14/03/2023	01:35:00	0.3699	0.3704	0.3694	0.37	857595		
14/03/2023	01:40:00	0.37	0.3704	0.369	0.3699	1478842		
14/03/2023	01:45:00	0.3699	0.3709	0.3696	0.3701	1557909		
14/03/2023	01:50:00	0.37	0.3702	0.3696	0.3697	1858914		
14/03/2023	01:55:00	0.3697	0.3704	0.3695	0.3703	1433822		
14/03/2023	02:00:00	0.3704	0.3714	0.3703	0.3708	1158974		
14/03/2023	02:05:00	0.3708	0.371	0.3697	0.3701	897730		
14/03/2023	02:10:00	0.3701	0.3701	0.3695	0.3696	726077		
14/03/2023	02:15:00	0.3696	0.37	0.3693	0.3694	2074679		
14/03/2023	02:20:00	0.3694	0.3701	0.3693	0.3698	1138308		
14/03/2023	02:25:00	0.3698	0.3699	0.3688	0.3692	851493		
