Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
14/03/2023	00:00:00	1.088	1.09	1.085	1.086	19756.2		
14/03/2023	00:05:00	1.084	1.088	1.083	1.087	8311.2		
14/03/2023	00:10:00	1.086	1.09	1.086	1.086	10960.2		
14/03/2023	00:15:00	1.086	1.091	1.086	1.091	22267.3		
14/03/2023	00:20:00	1.091	1.093	1.089	1.093	7240.1		
14/03/2023	00:25:00	1.092	1.094	1.091	1.091	12093.6		
14/03/2023	00:30:00	1.091	1.095	1.091	1.091	12149.8		
14/03/2023	00:35:00	1.091	1.094	1.091	1.093	12037.9		
14/03/2023	00:40:00	1.094	1.094	1.09	1.09	13832.4		
14/03/2023	00:45:00	1.089	1.095	1.088	1.093	24023.5		
14/03/2023	00:50:00	1.093	1.093	1.089	1.089	9433.9		
14/03/2023	00:55:00	1.09	1.09	1.083	1.084	6737.9		
14/03/2023	01:00:00	1.085	1.086	1.081	1.084	12444.0		
14/03/2023	01:05:00	1.084	1.086	1.084	1.084	11564.0		
14/03/2023	01:10:00	1.084	1.084	1.081	1.081	8324.6		
14/03/2023	01:15:00	1.081	1.086	1.081	1.086	5155.4		
14/03/2023	01:20:00	1.085	1.087	1.083	1.083	8333.7		
14/03/2023	01:25:00	1.083	1.085	1.081	1.085	5214.0		
14/03/2023	01:30:00	1.084	1.084	1.082	1.084	5781.7		
14/03/2023	01:35:00	1.085	1.087	1.083	1.087	6823.6		
14/03/2023	01:40:00	1.085	1.088	1.084	1.088	15442.3		
14/03/2023	01:45:00	1.087	1.09	1.084	1.084	22403.4		
14/03/2023	01:50:00	1.085	1.086	1.084	1.084	21285.7		
14/03/2023	01:55:00	1.085	1.087	1.084	1.086	14678.2		
14/03/2023	02:00:00	1.087	1.09	1.087	1.089	4960.0		
14/03/2023	02:05:00	1.089	1.09	1.086	1.087	7966.0		
14/03/2023	02:10:00	1.086	1.087	1.083	1.083	29895.2		
14/03/2023	02:15:00	1.084	1.085	1.083	1.084	8547.4		
14/03/2023	02:20:00	1.085	1.085	1.085	1.085	352.7		
14/03/2023	02:25:00	1.084	1.084	1.081	1.082	5469.3		
14/03/2023	02:30:00	1.083	1.085	1.083	1.085	6003.5		
14/03/2023	02:35:00	1.085	1.085	1.084	1.085	5426.2		
14/03/2023	02:40:00	1.083	1.084	1.083	1.084	2639.8		
14/03/2023	02:45:00	1.085	1.085	1.083	1.084	5830.7		
14/03/2023	02:50:00	1.084	1.084	1.083	1.083	624.4		
14/03/2023	02:55:00	1.083	1.083	1.083	1.083	0.0		
14/03/2023	03:00:00	1.083	1.086	1.083	1.083	2283.5		
14/03/2023	03:05:00	1.082	1.084	1.082	1.084	439.8		
14/03/2023	03:10:00	1.083	1.084	1.083	1.084	1918.2		
14/03/2023	03:15:00	1.084	1.084	1.084	1.084	0.0		
14/03/2023	03:20:00	1.086	1.087	1.085	1.085	1504.0		
14/03/2023	03:25:00	1.085	1.086	1.084	1.086	354.5		
14/03/2023	03:30:00	1.086	1.088	1.086	1.088	10025.5		
14/03/2023	03:35:00	1.087	1.09	1.087	1.09	4166.5		
14/03/2023	03:40:00	1.09	1.09	1.089	1.09	955.7		
14/03/2023	03:45:00	1.09	1.091	1.088	1.089	9813.5		
14/03/2023	03:50:00	1.089	1.089	1.087	1.089	2088.9		
14/03/2023	03:55:00	1.089	1.091	1.089	1.091	6139.3		
14/03/2023	04:00:00	1.09	1.091	1.089	1.089	10432.2		
14/03/2023	04:05:00	1.089	1.089	1.088	1.088	3659.3		
14/03/2023	04:10:00	1.089	1.089	1.089	1.089	5197.4		
14/03/2023	04:15:00	1.089	1.09	1.088	1.088	2803.8		
14/03/2023	04:20:00	1.088	1.088	1.087	1.087	285.5		
14/03/2023	04:25:00	1.087	1.088	1.087	1.088	1319.4		
14/03/2023	04:30:00	1.087	1.087	1.085	1.087	4555.2		
14/03/2023	04:35:00	1.087	1.089	1.087	1.088	1382.6		
14/03/2023	04:40:00	1.089	1.089	1.087	1.087	1752.7		
14/03/2023	04:45:00	1.087	1.089	1.086	1.089	1666.7		
14/03/2023	04:50:00	1.089	1.089	1.088	1.088	1074.2		
14/03/2023	04:55:00	1.089	1.089	1.088	1.089	6970.3		
14/03/2023	05:00:00	1.089	1.09	1.088	1.089	1635.9		
14/03/2023	05:05:00	1.089	1.09	1.088	1.089	10189.1		
14/03/2023	05:10:00	1.089	1.098	1.089	1.096	47540.0		
14/03/2023	05:15:00	1.096	1.098	1.081	1.082	36651.7		
14/03/2023	05:20:00	1.083	1.083	1.078	1.08	12115.8		
14/03/2023	05:25:00	1.08	1.082	1.075	1.082	12461.2		
14/03/2023	05:30:00	1.082	1.089	1.082	1.084	14022.4		
14/03/2023	05:35:00	1.085	1.085	1.078	1.079	16114.8		
14/03/2023	05:40:00	1.079	1.079	1.077	1.077	6219.9		
14/03/2023	05:45:00	1.078	1.082	1.078	1.082	9012.2		
14/03/2023	05:50:00	1.083	1.084	1.078	1.078	9533.7		
14/03/2023	05:55:00	1.078	1.082	1.078	1.082	16917.8		
14/03/2023	06:00:00	1.083	1.084	1.082	1.084	9480.7		
14/03/2023	06:05:00	1.084	1.087	1.083	1.087	2320.0		
14/03/2023	06:10:00	1.086	1.086	1.08	1.08	16296.0		
14/03/2023	06:15:00	1.081	1.084	1.081	1.082	14264.9		
14/03/2023	06:20:00	1.082	1.086	1.082	1.086	9347.2		
14/03/2023	06:25:00	1.086	1.087	1.082	1.087	17366.5		
14/03/2023	06:30:00	1.086	1.087	1.084	1.084	11194.3		
14/03/2023	06:35:00	1.084	1.084	1.083	1.083	1932.3		
14/03/2023	06:40:00	1.083	1.083	1.08	1.08	8635.4		
14/03/2023	06:45:00	1.08	1.085	1.08	1.085	9264.1		
14/03/2023	06:50:00	1.085	1.085	1.082	1.083	6449.7		
14/03/2023	06:55:00	1.083	1.086	1.082	1.085	8808.7		
14/03/2023	07:00:00	1.085	1.086	1.084	1.085	8745.8		
14/03/2023	07:05:00	1.086	1.087	1.085	1.087	6902.6		
14/03/2023	07:10:00	1.087	1.089	1.086	1.087	6130.4		
14/03/2023	07:15:00	1.086	1.087	1.084	1.087	18402.8		
14/03/2023	07:20:00	1.087	1.089	1.087	1.089	17004.2		
14/03/2023	07:25:00	1.089	1.089	1.08	1.08	34071.7		
14/03/2023	07:30:00	1.081	1.082	1.08	1.081	7468.8		
14/03/2023	07:35:00	1.081	1.082	1.081	1.081	4461.6		
14/03/2023	07:40:00	1.081	1.081	1.078	1.078	3482.0		
14/03/2023	07:45:00	1.078	1.079	1.072	1.073	21094.8		
14/03/2023	07:50:00	1.074	1.077	1.074	1.076	18052.0		
14/03/2023	07:55:00	1.076	1.077	1.074	1.074	12268.9		
14/03/2023	08:00:00	1.074	1.075	1.071	1.072	13220.3		
14/03/2023	08:05:00	1.071	1.072	1.066	1.068	82926.2		
14/03/2023	08:10:00	1.068	1.068	1.062	1.064	27858.3		
14/03/2023	08:15:00	1.064	1.073	1.063	1.073	31147.1		
14/03/2023	08:20:00	1.074	1.075	1.072	1.073	9067.0		
14/03/2023	08:25:00	1.073	1.075	1.072	1.075	1622.6		
14/03/2023	08:30:00	1.075	1.077	1.074	1.075	14058.8		
14/03/2023	08:35:00	1.076	1.08	1.076	1.08	13060.8		
14/03/2023	08:40:00	1.079	1.08	1.076	1.076	15878.6		
14/03/2023	08:45:00	1.075	1.079	1.075	1.076	12304.2		
14/03/2023	08:50:00	1.076	1.076	1.074	1.075	15942.0		
14/03/2023	08:55:00	1.076	1.079	1.075	1.075	12925.6		
14/03/2023	09:00:00	1.075	1.075	1.07	1.071	16258.0		
14/03/2023	09:05:00	1.072	1.074	1.071	1.071	9736.8		
14/03/2023	09:10:00	1.071	1.076	1.071	1.076	16785.3		
14/03/2023	09:15:00	1.076	1.077	1.073	1.073	9462.2		
14/03/2023	09:20:00	1.072	1.073	1.071	1.073	4650.5		
14/03/2023	09:25:00	1.073	1.076	1.072	1.073	8341.5		
14/03/2023	09:30:00	1.072	1.074	1.071	1.074	4035.6		
14/03/2023	09:35:00	1.076	1.078	1.075	1.077	7371.4		
14/03/2023	09:40:00	1.076	1.078	1.075	1.077	4516.3		
14/03/2023	09:45:00	1.076	1.077	1.075	1.077	7026.1		
14/03/2023	09:50:00	1.077	1.079	1.076	1.078	9457.9		
14/03/2023	09:55:00	1.078	1.079	1.078	1.079	5173.3		
14/03/2023	10:00:00	1.079	1.079	1.077	1.077	5380.0		
14/03/2023	10:05:00	1.077	1.079	1.076	1.079	17146.0		
14/03/2023	10:10:00	1.079	1.079	1.076	1.076	15913.0		
14/03/2023	10:15:00	1.077	1.079	1.076	1.079	7560.2		
14/03/2023	10:20:00	1.079	1.081	1.079	1.08	10267.8		
14/03/2023	10:25:00	1.079	1.081	1.078	1.078	7390.2		
14/03/2023	10:30:00	1.078	1.079	1.077	1.079	2716.0		
14/03/2023	10:35:00	1.078	1.079	1.078	1.078	2665.4		
14/03/2023	10:40:00	1.077	1.079	1.077	1.078	4054.7		
14/03/2023	10:45:00	1.078	1.078	1.077	1.078	1098.5		
14/03/2023	10:50:00	1.078	1.079	1.077	1.078	7433.0		
14/03/2023	10:55:00	1.078	1.081	1.078	1.081	11266.2		
14/03/2023	11:00:00	1.081	1.081	1.075	1.076	22067.8		
14/03/2023	11:05:00	1.076	1.076	1.074	1.075	5202.8		
14/03/2023	11:10:00	1.075	1.077	1.074	1.077	4408.2		
14/03/2023	11:15:00	1.077	1.077	1.074	1.074	35751.5		
14/03/2023	11:20:00	1.073	1.073	1.071	1.071	6753.3		
14/03/2023	11:25:00	1.072	1.073	1.07	1.07	1327.5		
14/03/2023	11:30:00	1.071	1.072	1.07	1.07	5984.3		
14/03/2023	11:35:00	1.069	1.072	1.069	1.072	3434.6		
14/03/2023	11:40:00	1.072	1.072	1.071	1.071	1663.2		
14/03/2023	11:45:00	1.07	1.073	1.07	1.072	2371.7		
14/03/2023	11:50:00	1.073	1.074	1.073	1.074	5320.4		
14/03/2023	11:55:00	1.073	1.074	1.072	1.072	6413.3		
14/03/2023	12:00:00	1.072	1.074	1.069	1.069	12325.5		
14/03/2023	12:05:00	1.07	1.073	1.068	1.068	8060.4		
14/03/2023	12:10:00	1.068	1.07	1.068	1.069	9131.9		
14/03/2023	12:15:00	1.067	1.07	1.067	1.069	6682.1		
14/03/2023	12:20:00	1.07	1.07	1.068	1.069	5057.5		
14/03/2023	12:25:00	1.068	1.071	1.066	1.068	6682.8		
14/03/2023	12:30:00	1.067	1.092	1.065	1.086	107192.9		
14/03/2023	12:35:00	1.087	1.087	1.074	1.085	45821.0		
14/03/2023	12:40:00	1.086	1.1	1.084	1.098	55518.7		
14/03/2023	12:45:00	1.098	1.105	1.094	1.1	147949.3		
14/03/2023	12:50:00	1.1	1.113	1.098	1.113	73430.4		
14/03/2023	12:55:00	1.114	1.114	1.106	1.11	28587.6		
14/03/2023	13:00:00	1.111	1.123	1.111	1.122	74913.0		
14/03/2023	13:05:00	1.122	1.122	1.115	1.12	38377.5		
14/03/2023	13:10:00	1.119	1.123	1.117	1.122	14772.9		
14/03/2023	13:15:00	1.122	1.123	1.105	1.105	33373.7		
14/03/2023	13:20:00	1.106	1.111	1.105	1.109	33451.7		
14/03/2023	13:25:00	1.11	1.115	1.106	1.114	7174.5		
