Date	Time	Open	High	Low	Close	Volume	Taker by base	Taker buy quote
22/07/2023	00:00:00	8.48	8.49	8.45	8.49	435.32		
22/07/2023	00:05:00	8.49	8.5	8.46	8.48	1161.5		
22/07/2023	00:10:00	8.48	8.49	8.47	8.48	290.87		
22/07/2023	00:15:00	8.48	8.5	8.48	8.49	211.73		
22/07/2023	00:20:00	8.49	8.49	8.47	8.47	51.41		
22/07/2023	00:25:00	8.47	8.49	8.46	8.49	410.2		
22/07/2023	00:30:00	8.49	8.51	8.48	8.5	880.54		
22/07/2023	00:35:00	8.5	8.52	8.5	8.52	877.18		
22/07/2023	00:40:00	8.52	8.52	8.5	8.5	200.91		
22/07/2023	00:45:00	8.52	8.53	8.47	8.48	3934.0		
22/07/2023	00:50:00	8.48	8.51	8.48	8.49	768.48		
22/07/2023	00:55:00	8.5	8.51	8.49	8.5	314.27		
22/07/2023	01:00:00	8.51	8.55	8.51	8.51	700.9		
22/07/2023	01:05:00	8.52	8.52	8.5	8.51	1222.35		
22/07/2023	01:10:00	8.51	8.53	8.51	8.52	199.67		
22/07/2023	01:15:00	8.52	8.52	8.5	8.5	343.06		
22/07/2023	01:20:00	8.5	8.5	8.5	8.5	138.24		
22/07/2023	01:25:00	8.5	8.5	8.5	8.5	23.6		
22/07/2023	01:30:00	8.5	8.5	8.49	8.49	130.9		
22/07/2023	01:35:00	8.49	8.5	8.48	8.48	77.44		
22/07/2023	01:40:00	8.48	8.49	8.47	8.49	168.96		
22/07/2023	01:45:00	8.49	8.52	8.49	8.51	62.22		
22/07/2023	01:50:00	8.51	8.52	8.5	8.5	629.13		
22/07/2023	01:55:00	8.49	8.49	8.46	8.47	321.06		
22/07/2023	02:00:00	8.46	8.46	8.46	8.46	1.42		
22/07/2023	02:05:00	8.46	8.48	8.46	8.46	196.96		
22/07/2023	02:10:00	8.46	8.47	8.45	8.47	77.23		
22/07/2023	02:15:00	8.47	8.47	8.47	8.47	5.41		
22/07/2023	02:20:00	8.48	8.48	8.47	8.47	98.42		
22/07/2023	02:25:00	8.47	8.47	8.45	8.45	1068.42		
22/07/2023	02:30:00	8.45	8.46	8.45	8.46	59.17		
22/07/2023	02:35:00	8.46	8.46	8.46	8.46	317.65		
22/07/2023	02:40:00	8.46	8.46	8.46	8.46	118.34		
22/07/2023	02:45:00	8.46	8.47	8.45	8.46	636.94		
22/07/2023	02:50:00	8.47	8.48	8.47	8.47	1058.8		
22/07/2023	02:55:00	8.48	8.48	8.48	8.48	72.59		
22/07/2023	03:00:00	8.48	8.48	8.46	8.46	257.7		
22/07/2023	03:05:00	8.45	8.46	8.45	8.45	71.29		
22/07/2023	03:10:00	8.44	8.44	8.43	8.43	116.3		
22/07/2023	03:15:00	8.44	8.47	8.44	8.47	138.66		
22/07/2023	03:20:00	8.49	8.49	8.49	8.49	280.82		
22/07/2023	03:25:00	8.49	8.49	8.47	8.48	59.83		
22/07/2023	03:30:00	8.47	8.49	8.47	8.49	94.67		
22/07/2023	03:35:00	8.5	8.5	8.49	8.49	1283.27		
22/07/2023	03:40:00	8.49	8.5	8.48	8.5	25.3		
22/07/2023	03:45:00	8.5	8.5	8.5	8.5	15.14		
22/07/2023	03:50:00	8.51	8.51	8.49	8.49	144.08		
22/07/2023	03:55:00	8.49	8.49	8.49	8.49	36.85		
22/07/2023	04:00:00	8.49	8.52	8.49	8.52	90.66		
22/07/2023	04:05:00	8.52	8.53	8.52	8.53	576.23		
22/07/2023	04:10:00	8.53	8.53	8.52	8.53	81.54		
22/07/2023	04:15:00	8.53	8.56	8.53	8.53	2142.38		
